"","GSM2983085","GSM2983086","GSM2983087","GSM2983088","GSM2983089","GSM2983090","GSM2983091","GSM2983092","GSM2983093","GSM2983094","GSM2983095"
"hsa-miR-10a",0.00035709,0.00641649,0.00135475,0.00045787,0.00339934,0.00020424,0.00304049,0.00043853,0.00041132,0.00083357,0.00021221
"hsa-miR-10b",8.841e-05,0.000108,0.00272269,0.00177288,0.0004186,0.00082972,0.00018566,0.00345317,0.00162235,0.00163546,0.00334707
"hsa-miR-122",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-124",0.00306911,0.00084833,0.00130469,0.00022792,2.626e-05,1.61e-06,1.159e-05,0.00172638,0.00083261,0.00041469,0.00021265
"hsa-miR-125a-3p",4.716e-05,0.00011162,0.00016752,0.00011609,2.626e-05,5.244e-05,1.159e-05,3.36e-06,0.00010273,5.14e-05,5.296e-05
"hsa-miR-125a-5p",0.00295524,0.0068783,0.00537294,0.00736131,0.02755495,0.00682677,0.00600332,0.00681112,0.0066589,0.01351171,0.00673541
"hsa-miR-125b",0.09567049,0.21789134,0.34223987,0.11589006,0.43817687,0.05400557,0.0971056,0.22130148,0.2124179,0.42844161,0.21774074
"hsa-miR-126",0.00036878,0.00010811,0.00267209,0.00182512,0.00344485,0.00083223,0.00150752,0.00176319,0.00082976,0.00334349,0.00675984
"hsa-miR-127-3p",0.00604156,0.01388239,0.01091273,0.00740821,0.01383733,0.00339388,0.0030434,0.01381287,0.01336095,0.0135719,0.01362999
"hsa-miR-127-5p",2.85e-06,6.65e-06,8.467e-05,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,0.00010544,6.54e-06
"hsa-miR-128",0.00018479,0.00087834,0.00067775,5.658e-05,0.00043079,2.628e-05,0.00019078,0.0002152,0.00041325,0.00084638,0.00042584
"hsa-miR-129-3p",0.00036834,0.00085717,0.00033978,5.666e-05,2.626e-05,1.61e-06,0.00037918,0.00042233,0.00041918,0.00084856,0.00010409
"hsa-miR-129-5p",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-130a",0.00148811,0.0034333,0.00542684,0.00184719,0.00684255,0.00083774,0.00150675,0.00174222,0.00326636,0.00331478,6.54e-06
"hsa-miR-130b",0.00073695,0.00043267,0.00271609,0.00091858,0.00348224,0.00020414,0.00037707,0.00087086,0.00166365,0.00084618,0.00086091
"hsa-miR-132",0.00301387,0.00697996,0.00541134,0.00367681,0.00688548,0.00167033,0.00600894,0.00350166,0.00334849,0.00667162,0.00341497
"hsa-miR-133a",4.671e-05,0.00010781,5.17e-06,5.686e-05,2.626e-05,0.00010475,1.159e-05,0.00021906,0.00010179,0.00020858,0.00085335
"hsa-miR-133b",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,0.00158726,1.159e-05,5.366e-05,6.36e-06,6.4e-06,0.00010585
"hsa-miR-134",0.00300076,0.00169642,0.00272526,0.00091281,0.01361341,0.00166373,0.00151055,0.00702159,0.00342982,0.00333105,0.00686079
"hsa-miR-135a",2.85e-06,6.65e-06,5.17e-06,5.817e-05,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-135b",4.602e-05,0.00021915,0.00016763,3.52e-06,2.626e-05,1.317e-05,1.159e-05,0.00021958,0.00041553,0.00010168,0.0001075
"hsa-miR-136",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,0.10317776,1.159e-05,3.36e-06,6.36e-06,6.4e-06,5.442e-05
"hsa-miR-137",0.00150662,0.0033937,0.0109007,0.000921,0.01381144,0.00084743,0.00154302,0.00351548,0.00670492,0.00340909,0.00343523
"hsa-miR-138",0.0240509,0.02763897,0.02166223,0.00726121,0.00343393,0.00334901,0.02466449,0.01397723,0.02653286,0.0537961,0.00685231
"hsa-miR-139-3p",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-139-5p",0.00018524,0.00010464,8.121e-05,0.00011423,0.00042649,1.61e-06,0.0003699,3.36e-06,0.00020531,0.00041938,0.00042113
"hsa-miR-140-3p",0.00073335,0.00344408,0.0026642,0.0017955,0.0034153,0.0016587,0.00149364,0.00345,0.00164801,0.00330215,0.00336433
"hsa-miR-140-5p",0.0119494,0.02838981,0.04377156,0.02993516,0.02736442,0.01351399,0.01223394,0.0280788,0.01317244,0.02672077,0.0272889
"hsa-miR-141",2.072e-05,5.358e-05,4.104e-05,3.52e-06,2.626e-05,1.61e-06,1.159e-05,5.374e-05,5.258e-05,6.4e-06,6.54e-06
"hsa-miR-142-3p",4.526e-05,0.02678822,4.279e-05,2.88e-05,2.626e-05,2.614e-05,1.159e-05,0.00011045,0.00042211,0.00010408,0.00043212
"hsa-miR-142-5p",2.002e-05,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,2.724e-05,6.36e-06,0.00010411,6.54e-06
"hsa-miR-143",0.0118712,0.02775154,0.04286945,0.0294184,0.01385827,0.01350512,0.01221032,0.02785479,0.02628771,0.05373066,0.05476987
"hsa-miR-145",0.02366205,0.11036899,0.34533196,0.23310466,0.11107317,0.05287857,0.09693828,0.22573609,0.21124678,0.42206453,0.44217466
"hsa-miR-146a",0.00037,0.00042826,0.00033494,5.752e-05,0.00171086,0.00041678,9.556e-05,0.00021776,0.00020291,0.00081982,0.00085107
"hsa-miR-146b-3p",2.85e-06,6.65e-06,0.00016992,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-146b-5p",0.00037033,0.00021134,0.00135287,0.00092879,0.01377798,0.00168598,0.00305847,0.00175542,0.00166188,0.00334226,0.00340297
"hsa-miR-147",2.85e-06,6.65e-06,5.17e-06,3.52e-06,0.00018857,1.61e-06,1.159e-05,3.36e-06,0.0001055,6.4e-06,6.54e-06
"hsa-miR-147b",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-148a",0.0007372,0.00171255,0.00266767,0.00182909,0.00351504,0.00084589,0.00155642,0.00174535,0.00166525,0.00335582,0.00342211
"hsa-miR-148b",9.332e-05,0.00021439,0.00033838,0.00023392,0.00042683,5.248e-05,9.244e-05,0.00010815,0.00020768,0.00042528,0.00010534
"hsa-miR-149",0.00296992,0.00346445,0.00267873,0.00375674,0.00338525,0.00168858,0.00303893,0.003393,0.0016235,0.0067777,0.00351447
"hsa-miR-150",0.00295723,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.33e-05,1.159e-05,3.36e-06,6.36e-06,5.242e-05,4.851e-05
"hsa-miR-152",0.00297563,0.00342302,0.01097817,0.00745042,0.01381373,0.00168793,0.00616307,0.00708247,0.00669562,0.01349138,0.01379132
"hsa-miR-153",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-154",2.85e-06,6.65e-06,8.395e-05,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,0.00010701
"hsa-miR-15a",0.00566802,0.00085353,0.00137426,0.00090053,0.00163217,0.00041787,0.00075721,0.00086745,0.00077028,0.0016259,0.00083559
"hsa-miR-15b",0.00297314,0.00342336,0.00536934,0.00364376,0.00170963,0.00168245,0.00150052,0.00348698,0.0066685,0.00167486,0.00169608
"hsa-miR-16",0.04852701,0.05569365,0.08673306,0.05979082,0.10940664,0.02716947,0.04910376,0.05649653,0.05341998,0.05274509,0.05438593
"hsa-miR-17",0.01178124,0.02829955,0.02166132,0.0147619,0.02771987,0.01331116,0.01214949,0.01428087,0.01340871,0.02669774,0.01360981
"hsa-miR-181a",0.00073231,0.00348687,0.00266744,0.00091515,0.00084281,0.00082845,0.00154435,0.00347422,0.00336679,0.00324183,0.00337
"hsa-miR-181c",9.476e-05,0.00010444,8.451e-05,5.917e-05,0.00021874,2.622e-05,8.724e-05,0.00022449,0.00010382,9.808e-05,0.00021398
"hsa-miR-182",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-183",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-184",2.85e-06,4.607e-05,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-185",0.00037395,0.00085819,0.00066639,0.00045646,0.00043207,0.00010417,0.0003722,0.00042727,0.00080947,0.00082841,0.00042135
"hsa-miR-186",0.00584043,13.47973986,0.00539591,0.00745672,0.01376973,0.00333826,0.00617134,0.00355791,0.00331153,0.01336144,0.01397852
"hsa-miR-187",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,2.491e-05,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-188-3p",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,5.38e-05,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-18a",0.00037165,0.00085307,0.00067038,0.00091659,0.0008587,5.191e-05,0.00037899,0.00088679,0.00040803,0.00082629,0.00043379
"hsa-miR-18b",2.85e-06,6.65e-06,5.17e-06,0.0008974,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,0.00082613
"hsa-miR-190",4.644e-05,0.00010798,0.00033789,5.775e-05,0.00086539,2.585e-05,9.497e-05,5.44e-05,5.03e-05,0.00020958,0.0002136
"hsa-miR-191",0.02348084,0.01373465,0.04342723,0.02960494,0.10842574,0.02671437,0.0483714,0.02814659,0.02648149,0.05393014,0.05490717
"hsa-miR-192",9.178e-05,0.00021832,0.00017101,0.00022877,2.626e-05,5.283e-05,0.00018915,0.0004432,0.0002071,0.00041858,0.00042664
"hsa-miR-193a-3p",4.54e-05,0.00010905,0.00067565,0.00022946,0.00085783,2.577e-05,0.00018965,0.00021954,0.0001029,0.00041503,0.00085928
"hsa-miR-193a-5p",0.00591293,0.00692105,0.01072021,0.00739698,0.00688548,0.00165833,0.00607914,0.0068878,0.00666466,0.01342016,0.00336801
"hsa-miR-193b",0.02351984,0.05505383,0.04312582,0.029093,0.054763,0.02689482,0.02401423,0.02815783,0.02649227,0.05274355,0.05544581
"hsa-miR-194",0.00018388,0.00010656,0.00017083,5.595e-05,2.626e-05,2.588e-05,1.159e-05,5.267e-05,0.00010329,0.00010475,0.00010701
"hsa-miR-195",0.00147199,0.00346557,0.00540675,0.00363309,0.00675556,0.00167283,0.00305843,0.00354002,0.00329585,0.00667532,0.00343849
"hsa-miR-196b",0.00294853,0.00346775,0.00269942,0.0036644,0.02773853,0.00332217,0.00606994,0.00347514,0.00326873,0.00670668,0.00685271
"hsa-miR-197",0.00294967,0.00691253,0.00536579,0.00365239,0.00688247,0.00165614,0.00614099,0.00353512,0.00660349,0.00667602,0.00674093
"hsa-miR-198",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-199a-3p",0.04710865,0.11237529,0.08686337,0.05897175,0.10746146,0.02645021,0.02384906,0.05440175,0.10499331,0.10589655,0.05586569
"hsa-miR-199a-5p",0.00036981,0.00085035,0.0013386,0.00091838,0.00085891,0.00020804,1.159e-05,0.00091603,0.00082188,0.0004112,0.00085266
"hsa-miR-199b-5p",0.00037965,0.00021612,0.00016295,0.00011478,0.00041974,2.72e-05,1.159e-05,0.00011171,0.00020718,0.0002131,0.00010525
"hsa-miR-19a",0.01184515,5.81521185,0.01073746,0.00723884,0.02663524,0.0066773,0.00606585,0.01396816,0.01328462,0.02666209,0.01346475
"hsa-miR-19b",0.02281453,0.05457707,0.08597749,0.05930373,0.05405056,0.02657991,0.04855175,0.05635479,0.05220997,0.10829282,0.0533472
"hsa-miR-200a",2.85e-06,0.00036977,5.17e-06,3.52e-06,0.00042846,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-200b",2.85e-06,6.65e-06,8.533e-05,5.85e-05,2.626e-05,1.61e-06,0.00018502,0.00020688,0.00041112,0.00020127,0.000104
"hsa-miR-200c",9.463e-05,0.00021115,5.17e-06,0.00011239,0.00043138,0.00010273,1.159e-05,0.00021552,0.00020549,0.0004138,0.00044202
"hsa-miR-202",4.579e-05,6.65e-06,8.578e-05,5.839e-05,2.626e-05,2.606e-05,1.159e-05,0.00011249,0.00020835,0.00020014,6.54e-06
"hsa-miR-203",2.85e-06,6.65e-06,5.17e-06,5.763e-05,2.626e-05,1.61e-06,0.00019098,3.36e-06,0.00010428,0.00020991,6.54e-06
"hsa-miR-204",4.666e-05,6.65e-06,8.508e-05,0.00022915,0.00045443,0.00021039,0.00038625,0.0001107,0.00020532,0.00042114,0.00042654
"hsa-miR-205",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-208",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-208b",4.641e-05,0.00010676,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,0.00010366,6.54e-06
"hsa-miR-20a",0.01200883,0.05386488,0.02169631,0.01485465,0.02774192,0.00083162,0.01209606,0.01419551,0.01338829,0.02675513,0.01370067
"hsa-miR-20b",9.486e-05,0.00011008,0.00033928,0.00011612,0.00088437,5.273e-05,0.00019277,0.00010946,0.00010269,0.00042192,0.00010632
"hsa-miR-21",0.04693298,0.11040189,0.34655777,0.11798201,0.21848714,0.05381932,0.09771537,0.22782722,0.20950611,0.42314279,0.21899946
"hsa-miR-210",0.00619341,0.00332006,0.00267925,0.00369646,0.01368796,0.00168906,0.00304833,0.00338123,0.00337025,0.00669959,0.00673701
"hsa-miR-211",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,0.00010681,6.36e-06,0.0002033,6.54e-06
"hsa-miR-212",0.00018371,0.00042905,0.00033195,5.672e-05,2.626e-05,0.00020975,0.00037313,0.00021616,0.00010201,0.00041447,0.00042867
"hsa-miR-214",0.01190902,0.01363976,0.0215587,0.01483334,0.02715708,0.01342835,0.01200789,0.01380922,0.01316528,0.02660504,0.01334518
"hsa-miR-215",2.85e-06,6.65e-06,5.17e-06,5.47e-05,2.626e-05,1.61e-06,1.159e-05,5.369e-05,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-216a",2.85e-06,6.65e-06,5.17e-06,5.681e-05,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-216b",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,5.376e-05,6.54e-06
"hsa-miR-217",2.482e-05,6.65e-06,8.536e-05,3.52e-06,2.626e-05,2.567e-05,1.159e-05,3.36e-06,5.259e-05,6.4e-06,0.00021667
"hsa-miR-218",0.00150328,0.00174036,0.00137298,0.00091582,0.00175154,0.00042774,0.00019127,0.00087085,0.0008367,0.00168186,0.00084509
"hsa-miR-219-1-3p",2.85e-06,6.65e-06,5.17e-06,5.889e-05,2.626e-05,1.61e-06,1.159e-05,0.00117877,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-219-2-3p",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-219-5p",2.85e-06,6.65e-06,8.332e-05,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-22",0.00588978,0.0137045,0.02124364,0.00727169,0.00649695,0.00333242,1.159e-05,0.01355741,0.00662512,0.01347915,0.01377321
"hsa-miR-220",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,0.00088242,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-220b",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,0.00011682,6.4e-06,6.54e-06
"hsa-miR-220c",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-221",0.04737796,0.11071831,0.17389457,0.05878935,0.05430611,0.02660293,0.04805906,0.11282604,0.10733565,0.10867157,0.10977491
"hsa-miR-222",0.19098851,0.44918254,0.70757832,0.4766667,0.89795388,0.21679434,0.38911871,0.45666781,0.21245825,0.85866572,0.43882732
"hsa-miR-223",9.523e-05,5.535e-05,3.801e-05,2.939e-05,2.626e-05,0.00021276,9.072e-05,5.524e-05,4.941e-05,0.00085086,0.00021213
"hsa-miR-224",0.00073651,0.00174236,0.00541567,0.00368585,0.00692333,0.0016887,0.00151435,0.00356149,0.0033039,0.01342551,0.00341308
"hsa-miR-23a",0.00573223,0.00704092,0.01059108,0.00353229,0.0139418,0.00167655,0.00603022,0.00691012,0.01335398,0.01327162,0.00667965
"hsa-miR-23b",0.00036115,0.00170591,0.00270371,0.00091696,0.0033716,0.000415,0.00018192,0.00174637,0.001609,0.0016253,0.00167754
"hsa-miR-24",0.19066735,0.21823233,0.34198661,0.23155435,0.21769018,0.21362968,0.19033216,0.22261288,0.21012304,0.42381528,0.44060606
"hsa-miR-25",0.00075509,0.00087642,0.0006812,0.00046527,0.0008682,0.00020753,0.00038469,0.00043849,0.00084435,0.00170668,0.00087039
"hsa-miR-26a",0.02393427,0.05575047,0.04277394,0.02900965,0.05509378,0.01330301,0.02418394,0.02770611,0.02634015,0.05328198,0.05470791
"hsa-miR-26b",0.00297553,0.01385266,0.02173256,0.00738162,0.02740797,0.00337988,0.00606176,0.00700341,0.00659554,0.0268419,0.01367632
"hsa-miR-27a",0.01206656,0.02862334,0.0217353,0.01510428,0.0139663,0.00342757,0.00603109,0.01423371,0.02734023,0.02729661,0.01375009
"hsa-miR-27b",0.00294601,0.00685632,0.02172668,0.00737608,0.00687407,0.00166039,0.00303966,0.00702047,0.01343041,0.00662529,0.00682442
"hsa-miR-28-3p",0.00305552,0.00349952,0.00552008,0.00184625,0.00691859,0.00167657,0.00305821,0.00359857,0.00331801,0.0066587,0.00342734
"hsa-miR-28-5p",0.00075638,0.00176738,0.00271488,0.0018382,0.00170607,0.00084985,0.00154534,0.00174965,0.00167796,0.00671962,0.00168702
"hsa-miR-296-3p",2.85e-06,6.65e-06,8.356e-05,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,0.00010306,6.54e-06
"hsa-miR-296-5p",0.00072602,0.00086605,0.0013341,0.00093036,0.00172444,0.00041364,0.00018674,0.00173295,0.00168774,0.00169318,0.00169208
"hsa-miR-298",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-299-3p",4.638e-05,6.65e-06,5.17e-06,5.665e-05,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,0.00010603
"hsa-miR-299-5p",0.00018513,0.00010719,0.00033546,0.00022713,0.00042846,0.21524938,0.00019078,0.00021657,0.00039846,0.00010381,0.00042833
"hsa-miR-29a",0.09513901,0.22644816,0.17588273,0.12021133,0.22574364,0.11038905,0.04921566,0.22789339,0.10765911,0.21976774,0.10941976
"hsa-miR-29b",0.00076367,0.00085541,0.00273927,0.00045648,0.00347731,5.223e-05,0.00075185,0.00085848,0.00084473,0.00041435,0.00085699
"hsa-miR-29c",0.00585181,0.01376979,0.00538354,0.00183463,0.00342967,0.00166543,0.00301631,0.00700066,0.00166272,0.00335681,0.00168803
"hsa-miR-301a",0.00074956,0.00087145,0.00269231,0.00091586,0.00086513,0.00042271,0.00075859,0.00085669,0.00041389,0.00166762,0.00084796
"hsa-miR-301b",4.611e-05,0.00021622,0.00016903,5.745e-05,0.00021758,5.232e-05,9.513e-05,0.00010884,0.00010408,0.00020755,0.00010768
"hsa-miR-302a",2.267e-05,6.65e-06,8.509e-05,2.907e-05,2.626e-05,1.61e-06,1.159e-05,2.885e-05,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-302b",2.85e-06,0.00022069,8.541e-05,5.766e-05,2.626e-05,2.672e-05,1.159e-05,0.0001109,5.129e-05,5.273e-05,5.451e-05
"hsa-miR-302c",2.85e-06,6.65e-06,8.679e-05,3.52e-06,2.626e-05,0.00673717,1.159e-05,5.57e-05,6.36e-06,5.213e-05,0.00010932
"hsa-miR-30b",0.00588348,0.00678821,0.01069083,0.00731093,0.01365011,0.00336639,0.0060221,0.0070431,0.01335968,0.02675803,0.01362973
"hsa-miR-30c",0.01194971,0.02665452,0.02178213,0.01483033,0.0279532,0.0067615,0.01214992,0.01414921,0.01321096,0.02686678,0.02790649
"hsa-miR-31",0.04722743,0.11139619,0.08601409,0.02925901,0.05485402,0.01323726,0.04840897,0.11126648,0.10697045,0.05370736,0.05447342
"hsa-miR-32",2.299e-05,6.65e-06,0.00016948,2.882e-05,0.00021747,1.161e-05,9.361e-05,5.631e-05,5.247e-05,0.00010528,5.233e-05
"hsa-miR-320",0.01205911,0.0138221,0.02159235,0.01484041,0.02761742,0.01356984,0.01219801,0.01401168,0.01327096,0.0267668,0.01360397
"hsa-miR-323-3p",0.00148369,0.00346818,0.0027233,0.00091439,0.00171222,0.00084244,0.00151107,0.00174015,0.00332239,0.00166639,0.00169633
"hsa-miR-324-3p",0.00036954,0.00042725,0.00067147,0.00045354,0.00042689,0.00020723,0.0003781,0.00043447,0.00041738,0.0008315,0.00085999
"hsa-miR-324-5p",0.00018784,0.00087062,0.00136244,0.000922,0.00174827,0.00021542,0.00019131,0.00044064,0.0008306,0.00084008,0.00043227
"hsa-miR-325",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-326",2.85e-06,6.65e-06,5.17e-06,5.65e-05,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-328",0.00035811,0.00085436,0.00270089,0.00179558,0.00170728,0.00083474,0.00304323,0.00350351,0.0033148,0.00669021,0.00344298
"hsa-miR-329",4.736e-05,6.65e-06,4.25e-05,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-330-3p",4.463e-05,0.00010403,4.213e-05,5.68e-05,0.00041678,1.419e-05,0.00036929,0.00010562,6.36e-06,0.00020799,0.0001078
"hsa-miR-330-5p",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,0.00010403,6.54e-06
"hsa-miR-331-3p",0.00293364,0.00687789,0.01084712,0.00729204,0.00675576,0.00668076,0.00596138,0.0069482,0.00657739,0.01327049,0.01359686
"hsa-miR-331-5p",2.85e-06,0.00085686,0.00034126,3.52e-06,2.626e-05,1.61e-06,1.159e-05,0.0002114,0.00039964,6.4e-06,0.00010741
"hsa-miR-335",0.00074752,0.00171053,0.00540431,0.00355913,0.0067588,0.00168756,0.00150078,0.00349359,0.00331364,0.00660923,0.00337448
"hsa-miR-337-5p",0.00036973,0.00085754,0.00066648,0.00046125,2.626e-05,0.00021256,1.159e-05,0.00174736,0.00083079,0.00083916,0.0008674
"hsa-miR-338-3p",2.85e-06,6.65e-06,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,0.00168068,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-339-3p",0.00074164,0.00043487,0.00133971,0.00090977,0.00084787,0.00083645,0.00151202,0.00172023,0.00080203,0.00166089,0.00171733
"hsa-miR-339-5p",0.00036552,0.0008627,0.00271136,0.00184034,0.00174808,0.00083474,0.00075031,0.0017191,0.00165244,0.00325383,0.00170347
"hsa-miR-33b",2.85e-06,5.547e-05,5.17e-06,3.52e-06,2.626e-05,1.61e-06,1.159e-05,3.36e-06,6.36e-06,6.4e-06,6.54e-06
"hsa-miR-340",0.00018526,0.00088119,0.00067442,0.00022984,0.00086111,0.00010498,0.00019156,0.00043587,0.00041779,0.00083318,0.00086215
