"","GSM2779536","GSM2779537","GSM2779538","GSM2779539","GSM2779540","GSM2779541","GSM2779542","GSM2779543","GSM2779544","GSM2779545","GSM2779546","GSM2779547","GSM2779548","GSM2779549","GSM2779550","GSM2779551","GSM2779552","GSM2779553","GSM2779554","GSM2779555","GSM2779556","GSM2779557","GSM2779558","GSM2779559","GSM2779560","GSM2779561","GSM2779562","GSM2779563","GSM2779564","GSM2779565","GSM2779566","GSM2779567"
"hsa-miR-29c-3p",4.5643,5.3177,7.2056,-3.3219,5.6079,6.2262,5.8946,6.547,4.0465,4.458,5.0131,4.5959,4.0749,3.1468,3.5258,-3.3219,3.6406,4.2649,-3.3219,4.3751,6.9086,-3.3219,5.2324,5.4239,4.9299,5.7104,5.7844,6.0293,5.1133,5.2591,2.5691,5.2386
"hsa-miR-301a-3p",-3.3219,-3.3219,4.3324,-3.3219,-3.3219,3.5845,4.2891,5.2603,2.2388,2.0859,3.7009,4.2053,4.0453,4.1305,5.8057,-3.3219,-3.3219,-3.3219,-3.3219,2.4999,3.2857,-3.3219,3.2932,4.3146,3.3894,2.0265,3.0494,4.3558,4.0329,4.5728,3.637,2.9485
"hsa-miR-301b",-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,3.6384,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,0.6334,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,2.185,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,0.5718,-3.3219,-3.3219
"hsa-miR-302c-5p",-3.3219,-3.3219,-3.3219,2.763,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-3064-5p",-3.3219,4.0697,-3.3219,-3.3219,-3.3219,4.4399,-3.3219,-3.3219,4.1731,-3.3219,1.7564,1.409,-3.3219,-3.3219,3.631,3.733,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-3065-5p",-3.3219,-3.3219,-3.3219,2.9598,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,2.0409,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-3074-5p",-3.3219,-3.3219,1.8093,-3.3219,-3.3219,-3.3219,3.2283,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,3.2037,3.4227,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-30a-3p",-3.3219,-3.3219,5.8466,-3.3219,-3.3219,5.9124,6.8848,-3.3219,4.9253,2.1643,4.6923,6.3139,3.8724,2.0527,3.7921,-3.3219,-3.3219,-3.3219,2.9863,-3.3219,4.0034,3.5465,6.4351,-3.3219,5.3623,3.8947,5.3478,6.1191,3.0835,4.387,1.7483,-3.3219
"hsa-miR-30a-5p",4.8074,4.8062,8.895,-3.3219,6.2986,8.9009,10.1262,4.9732,8.5245,6.6064,8.577,9.4466,7.0264,6.1845,7.7106,-3.3219,4.6044,4.7552,6.8319,-3.3219,6.5203,7.222,9.039,2.9959,8.2058,6.847,8.3837,9.2299,6.2579,7.2692,5.9283,-3.3219
"hsa-miR-30b-3p",-3.3219,1.9844,-3.3219,2.9983,-3.3219,1.9358,-3.3219,-3.3219,1.978,2.3741,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
