"","GSM1224991","GSM1224992","GSM1224993","GSM1224994","GSM1224995"
"hsa-miR-4537",6.56985560833095,6.4594316186373,13.7004397181411,3.88752527074159,5.0866139474095
"hsa-miR-4473",6.18982455888002,6.49185309632967,13.6818972267862,4.18586654531133,4.63575439127776
"hsa-miR-1279",6.22881869049588,6.10852445677817,13.5721080600623,4.59693514238723,6.26040209302579
"hsa-miR-3686",8.81057163474115,8.97154355395077,5.49185309632967,9.868822554775,13.2960386254682
"hsa-miR-4497",11.9733386208004,11.894059846274,5.61470984411521,8.14974711950468,11.6622455620891
"hsa-miR-4712-3p",8.27146302790437,9.1548181090521,6.08746284125034,9.63481105017172,13.2096437425101
"hsa-miR-4709-3p",11.0244471240406,10.90989308377,4.95419631038687,9.02790599656988,12.6016268830768
"hsa-miR-4747-5p",10.3465137331656,10.4439795426013,5.24792751344359,9.14465824283188,12.8489632323665
"hsa-miR-1290",6.62935662007961,7.61470984411521,7.54689445988764,9.96434086779242,13.1635238906684
"hsa-miR-4520a-3p",6.04439411935845,5.7279204545632,13.1658491461764,5.77346892790519,8.53364121177828
"hsa-miR-4777-5p",7.4178525148859,8.7714894695006,6.14974711950468,9.61286849729104,12.9654939130655
"hsa-miR-223-3p",11.1743015444676,8.84549005094438,6.02236781302845,8.66533591718518,12.5905496254338
"hsa-miR-4456",10.7772553151919,11.8494051009478,6.62935662007961,8.11894107272351,11.7984029453998
"hsa-miR-483-5p",9.63843591399047,10.2312211807112,5.35755200461808,9,12.6594563413026
"hsa-miR-675-5p",11.6013065261218,11.5347892114803,9.67771964164101,7.16992500144231,10.4654949824949
"hsa-miR-3646",11.7747870596012,10.8572034715082,5.75488750216347,7.94836723158468,11.4081917280181
"hsa-miR-4533",9.67595703294175,10.103287808412,5.70043971814109,8.82017896241519,12.5309086079705
"hsa-miR-4648",6.14974711950468,6.35755200461808,12.9845964704049,4.51727569320958,4.97773784924282
"hsa-miR-642b-5p",7.79441586635011,8.5352753766208,6.5077946401987,9.06069593168755,12.7782517047905
"hsa-miR-585",11.2854022188622,12.2398968224459,6.37503943134692,6.34872815423108,8.56711948795167
"hsa-miR-1273g-3p",10.7714894695006,12.0014081943928,5.93073733756289,7.45121111183233,10.8030574762167
"hsa-miR-513b",6.82017896241519,6.93073733756289,12.8336807486547,5.02236781302845,5.53449743373817
"hsa-let-7e-5p",9.35093918154643,9.868822554775,6.53915881110803,8.61102479730735,12.3481361295192
"hsa-miR-142-3p",10.2946207488916,9.58496250072116,6.2667865406949,8.467605550083,12.2277633338354
"hsa-miR-4732-5p",7.64385618977472,7.876516946565,7.52356195605701,8.98013957763916,12.5233512209426
"hsa-miR-204-3p",10.4491486453754,10.3944626946103,6.44294349584873,8.17990909001493,11.9030571053092
"hsa-miR-22-3p",10.1711767976518,10.2131042196419,6.90689059560852,8.00562454919388,11.960722375429
"hsa-miR-660-3p",9.56224242422107,11.1472049249422,6.35755200461808,8.1548181090521,11.5320051937906
"hsa-miR-3202",9.54109661534952,10.1254134704833,6.56985560833095,8.36194377373524,11.9707206670138
"hsa-miR-106b-5p",11.3314768218596,11.1947568544222,5.90689059560852,6.85798099512757,10.1100917519251
"hsa-miR-4421",10.3739526553702,10.2252074369435,5.85798099512757,8.00562454919388,11.7014710844325
"hsa-miR-3124-3p",8.90989308377004,9.85798099512757,6.06608919045777,8.13955135239879,11.9602553953761
"hsa-miR-4290",7.81378119121704,8.28540221886225,10.1254134704833,8.07146236255662,11.8944312753722
"hsa-miR-411-3p",6.14974711950468,6.28540221886225,12.3589258691547,4.60880924267552,5.92457500339273
"hsa-miR-5572",9.29001884693262,11.7368246990989,5.7279204545632,7.12928301694497,10.2724198383288
"hsa-miR-2964a-5p",10.2419831496943,10.9978851278291,5.7279204545632,7.48381577726426,10.8884921250585
"hsa-miR-126-3p",9.7279204545632,7.93073733756289,6.82017896241519,8,11.9057555296716
"hsa-miR-3611",8.07681559705083,8.07146236255662,6.04439411935845,8.16992500144231,11.9598715621681
"hsa-miR-4459",10.8225708309502,10.5068034377956,5.75488750216347,7.20945336562895,10.3457933138628
"hsa-miR-4534",10.6438561897747,10.5420645422834,5.85798099512757,7.25738784269265,10.4241977883659
"hsa-miR-4804-3p",6,6.14974711950468,12.1221809012598,4.0703893278914,5.56285295958392
"hsa-miR-3656",9.2045711442492,11.5468944598876,6.61470984411521,6.76818432477693,9.56042837376685
"hsa-miR-4784",8.62570884306447,8.60733031374961,5.55458885167764,7.98868468677217,11.7463295637271
"hsa-miR-4312",6.70043971814109,6.91886323727459,12.0341111460966,5.04875931191986,5.94766615679601
"hsa-miR-20a-5p",10.7952279660287,9.93073733756289,5.95419631038687,7.18982455888002,10.5344974337382
"hsa-miR-630",9.19475685442225,9.13185696060879,6.4262647547021,7.17990909001493,11.4230896408795
"hsa-miR-423-5p",9.87958324961278,9.61470984411521,6.4093909361377,7.67948009950545,11.0330168422356
"hsa-miR-518e-5p",10.3219280948874,10.0808175276083,6.12928301694497,7.24792751344359,10.5270859788075
"hsa-miR-15a-5p",9.75488750216347,9.27612440527424,5.85798099512757,7.54689445988764,11.0316116129726
"hsa-miR-101-3p",10.2957689344205,10.2033480029798,6.4093909361377,7.05528243550119,10.1520819886728
"hsa-miR-15b-5p",10.3663222142458,9.70908381255034,6,7.12928301694497,10.4394361401943
"hsa-miR-4698",9.34207466799914,9.31288295528435,4.58496250072116,7.70043971814109,11.1010367604386
"hsa-miR-659-3p",9.73470962022584,10.1267044728432,6.12928301694497,7.23840473932508,10.4284753324436
"hsa-miR-17-5p",10.8376279331714,10.2106713437856,6,6.2667865406949,8.68057050553235
"hsa-miR-3621",10.6555307231556,10.3498340914572,6.14974711950468,6.37851162325373,8.50084187955693
"hsa-miR-185-5p",9.60733031374961,9.84077792359505,6.2667865406949,7.21916852046216,10.4225378757388
"hsa-miR-3668",5.85798099512757,5.95419631038687,6.4262647547021,6.85798099512757,11.5022699285063
"hsa-miR-4505",10.5206186805563,9.9915218460757,6.18982455888002,6.55305325276641,9.14524437791745
"hsa-miR-149-3p",10.3442959079158,10.6899979714194,6.74146698640115,4.72246602447109,5.77978500530113
"hsa-miR-3679-3p",8.51175265376738,8.83920378809694,5.95419631038687,7.64385618977472,10.9960144084662
"hsa-miR-4723-3p",6.68650052718322,7.40087943628218,5.08746284125034,7.75488750216347,11.3365958189231
"hsa-miR-3182",8.35755200461808,8.59245703726808,8.84862294042934,7.35755200461808,10.7853789010967
"hsa-let-7b-5p",9.31741261376487,9.39231742277876,6.37503943134692,7.28540221886225,10.599075985126
"hsa-miR-4279",8.89178370321831,8.79766152585376,6.33985000288462,7.56224242422107,10.877751917313
"hsa-miR-4728-3p",6.62935662007961,7.60733031374961,9.82972273508606,7.4594316186373,10.7101434680414
"hsa-miR-30c-5p",9.68825030913318,9.24317398347295,5.70043971814109,6.8073549220576,10.4940555317654
