"","GSM3139433","GSM3139434","GSM3139435","GSM3139436","GSM3139437","GSM3139438","GSM3139439","GSM3139440","GSM3139441"
"hsa-miR-106a-5p",11.77,11.9,6.56,8.32,7.38,2.81,10.33,3.8,2.5
"hsa-miR-107",10.73,10.07,5.1,7.86,6.53,3.02,10.18,4.91,2.27
"hsa-miR-192-5p",6.29,7.13,3.55,3.75,3.07,1,5.05,3.82,1
"hsa-miR-196a-5p",6.49,6.92,2.63,3.36,1,1,1,1,1
"hsa-miR-197-3p",4.53,9.47,4.6,1,5.77,2.8,5.26,5.74,1
"hsa-miR-198",3.02,9.23,4.56,2.69,5.37,1,3.37,6.13,1
"hsa-miR-199a-5p",3.55,6.66,2.68,2.7,4.22,1,9.01,4.68,2.59
"hsa-miR-199a-3p, hsa-miR-199b-3p",2.35,1,3.94,1,1,1,9.56,1,2.35
"hsa-miR-208a-3p",1,1,1,1,1,1,1,1,1
"hsa-miR-129-5p",2.98,6.68,2.84,1,4.26,1,1,3.3,2.46
"hsa-miR-148a-3p",7.42,6.35,5.67,4.35,1,1,6.26,3.05,1
"hsa-miR-30c-5p",9.42,9.97,4.51,6.78,6.13,2.42,8.82,1,2.47
"hsa-miR-30d-5p",8.72,10.5,5.33,6.11,6.15,1.84,8.47,5.52,1
"hsa-miR-139-5p",1,1,1,1,1,1,1,1,1
"hsa-miR-147a",1,4.79,2.66,1,1,1,1,1,1
"hsa-miR-7-5p",10.08,9.59,9.55,5.62,5.8,1,4.83,1,1
"hsa-miR-10a-5p",8.68,9.39,3.92,5.53,3.72,1,7.32,1,1
"hsa-miR-10b-5p",7.99,8.42,9.79,4.84,4.14,1,6.44,1,1
"hsa-miR-34a-5p",8.59,8.44,3.18,5.29,4.1,1,8.73,3.49,1
"hsa-miR-181a-5p",6.8,8.16,3.09,4.67,5.12,1,9.97,4.86,1
"hsa-miR-181b-5p",3.97,6.24,1,1,3.74,1,7.94,4.51,1
"hsa-miR-181c-5p",3.88,1,1,1,1,1,6.99,1,1
"hsa-miR-182-5p",8.9,9.5,3.88,6.24,5.14,1,5.56,1,1
"hsa-miR-182-3p",4.9,1,1,1,1,1,1,1,2.42
"hsa-miR-183-5p",4.51,8.26,3.32,1,3.98,1,4.5,1,1
"hsa-miR-187-3p",3.98,6.02,2.47,1,2.8,1,4.36,1,2.17
"hsa-miR-199b-5p",3.81,6.11,2.07,1,4.23,1,7.49,4.61,2.93
"hsa-miR-203a-3p",7.95,8.4,3.38,4.82,3.29,1,6.9,4.08,3.25
"hsa-miR-204-5p",1,7.11,3.36,1,2.92,1,1,1,2.6
"hsa-miR-205-5p",1,3.58,4.82,1,2.49,2.27,12.31,8.97,2.7
"hsa-miR-210-3p",9.38,10.98,5.22,5.29,7.55,3.99,8.07,4.78,1
"hsa-miR-211-5p",3.74,7.34,4.06,1,3.94,1,2.26,4.33,2.33
"hsa-miR-212-3p",5.52,7.26,3.6,1,4.08,2.43,4.6,3.24,2.67
"hsa-miR-181a-3p",6.19,1,2.88,3.56,1,2.18,6.37,1,1
"hsa-miR-214-3p",3.82,7.8,5.04,1,4.17,3.02,5,4.43,1
"hsa-miR-215-5p",2.55,1,1,1,1,1,1,1,1
"hsa-miR-216a-5p",1,1,1,1,1,1,1,1,1
"hsa-miR-217",1,1,1,1,1,1,1,1,1
"hsa-miR-218-5p",2.6,1,1,1,1,1,3.66,1,1
"hsa-miR-219a-5p",3.12,1,1,1,1,1,1,1,1
"hsa-miR-221-3p",11.43,12.77,7.68,8.89,8.55,5.14,12.35,7.02,3.76
"hsa-miR-222-3p",9.87,12.53,7.13,7.94,8.34,5.04,10.19,6.6,3.02
"hsa-miR-223-3p",1,6.83,2.81,1,4.02,2.5,3.93,5.31,1
"hsa-miR-224-5p",3.4,1,1,1,1,1,6.21,1,1
"hsa-miR-200b-3p",10.29,10.14,5.71,7.47,6.22,1.98,8.48,4.79,1
"hsa-let-7g-5p",10,9.86,3.88,6.58,5.71,3.14,9.04,1,3.12
"hsa-let-7i-5p",9.69,9.6,4.31,6.78,5.68,1,9.31,3.85,1
"hsa-miR-1-3p",1,1,1,1,1,2.01,1,1,1
"hsa-miR-15b-5p",7.68,9.29,4.25,5.02,5.7,1.99,8.67,3.58,1
"hsa-miR-23b-3p",11.07,12.3,9.86,8.58,8.45,4.73,12.19,8.03,1
"hsa-miR-27b-3p",9.72,10.03,4.07,6.7,5.91,2.32,10.92,5.19,1
"hsa-miR-30b-5p",9.99,10.12,4.6,6.83,5.54,2.78,8.16,3.14,1
"hsa-miR-122-5p",1,1,1,1,1,1,1,1,1
"hsa-miR-124-3p",1,1,2.19,1,1,1,1,1,1
"hsa-miR-125b-5p",10.68,11.56,6.9,8.51,7.74,3.74,11.14,6.41,1
"hsa-miR-128-3p",6.65,7.63,2.01,2.8,3.21,1,4.93,1,2.53
"hsa-miR-130a-3p",8.65,8.77,3.14,5.81,4.23,1,9.27,3.08,1
"hsa-miR-132-3p",2.76,1,1,3.63,1,1,1,1,2.27
"hsa-miR-133a-3p",2.62,6.52,2.58,2.99,3.6,2.07,3.04,4.67,1
"hsa-miR-135a-5p",1,1,1,1,1,1,1,1,1
"hsa-miR-137",2.96,1,1,2.94,1,1.91,3.48,1,2.3
"hsa-miR-138-5p",3.33,6.63,1,1,3.97,1,8.01,4.28,2.85
"hsa-miR-140-5p",6.12,5.72,1,1,1,1,5.33,1,1
"hsa-miR-141-3p",11.26,9.51,4.98,7.44,4.9,1,8.62,1,1
"hsa-miR-142-5p",3.69,1,2.36,1,1,1,1,1,1
"hsa-miR-142-3p",3.86,1,9.39,1,1,1,1,1,1
"hsa-miR-143-3p",2.55,1,9.54,1,1,1,8.39,1,1
"hsa-miR-144-3p",1,1,1.93,1,1,1,1,1,1
"hsa-miR-145-5p",6.21,8.11,3.52,3.92,4.47,2.26,7.61,1,1
"hsa-miR-152-3p",1,1,1,1,1,1,5.59,1,1
"hsa-miR-153-3p",6.33,1,1,1,1,1,1,1,1
"hsa-miR-191-5p",10.24,10.85,5.52,7.25,6.23,1.96,7.75,1,1
"hsa-miR-9-5p",8.21,1,2.18,4.61,1,1,1,1,1
"hsa-miR-9-3p",7.34,5.39,1,4.62,1,1,1,1,2.34
"hsa-miR-125a-5p",8.38,9.57,5.04,6.39,6.07,2.51,9.58,5.73,1
"hsa-miR-126-5p",5.86,1,1,3.38,1,1,1,1,1
"hsa-miR-126-3p",8.01,7.6,2.8,4.79,3.33,1,5.36,1,1
"hsa-miR-127-3p",1,1,3.73,1,1,1,6.66,3.01,3
"hsa-miR-134-5p",2.81,7.38,5.5,3.26,4.56,1,5.63,5.91,2.58
"hsa-miR-136-5p",1,1,1,1,1,1,6.01,1,1
"hsa-miR-146a-5p",1,6.2,1,1,1,1,11.33,5.03,1
"hsa-miR-149-5p",5.17,8.59,9.88,2.67,4.83,1.94,6.4,5.03,1
"hsa-miR-150-5p",2.8,6.75,9.73,1,2.98,1,1,1,2.64
"hsa-miR-154-5p",2.57,1,9.46,1,2.53,1,4.69,1,1
"hsa-miR-154-3p",1,1,1,1,1,1,5.74,1,1
"hsa-miR-184",1,4.89,9.82,1,1,1,1,1,1
"hsa-miR-185-5p",7.57,8.29,2.98,4.25,4.24,1,5.96,1,1
"hsa-miR-186-5p",7.23,8.67,3.45,4.37,4.04,1,6.04,1,1
"hsa-miR-188-5p",5.17,8.38,3.68,1,4.72,1.8,4.64,4.5,2.4
"hsa-miR-190a-5p",1,1,1,1,1,1,1,1,1
"hsa-miR-193a-3p",5.52,1,1.97,3.05,2.92,1,7.33,1,2.55
"hsa-miR-194-5p",6.01,1,1,2.99,1,1,4,1,1
"hsa-miR-195-5p",7.5,7.37,2.98,4.64,3.23,1,6.02,1,1
"hsa-miR-206",5.09,3.75,2.03,1,1,1,3.97,1,1
"hsa-miR-320a",8.41,10.78,6.91,6.38,7.33,4.68,8.11,5.89,1
"hsa-miR-200c-3p",10.89,11.15,7.48,8.98,7.97,4.25,9.53,6.42,1
"hsa-miR-155-5p",1,1,1,1,1,1,7.76,1,1
"hsa-miR-106b-5p",10.37,9.6,4.23,7.41,5.42,1,8.93,1,1
"hsa-miR-29c-3p",9.57,8.61,3.07,5.5,3.89,1,8.11,1,1
"hsa-miR-200a-3p",9.94,8.91,4.62,6.48,4.2,2.17,7.62,1,1
"hsa-miR-302a-5p",1,1,1,1,1,1,1,1,1
"hsa-miR-302a-3p",3.18,1,1,1,1,1,1,1,1
"hsa-miR-34b-5p",6.44,5.59,1.93,3.69,2.35,1,6.76,1,1
"hsa-miR-34c-5p",1,1,2.51,1,1,1,4.71,1,1
"hsa-miR-299-3p",1,1,1,2.66,1,1,4.16,1,2.53
"hsa-miR-301a-3p",7.9,7.23,2.68,5.13,3.74,1,5.97,1,2.44
"hsa-miR-99b-5p",8.12,8.82,5.13,5.34,5.23,3.07,7.41,4.49,1
"hsa-miR-296-5p",8.68,12.67,8,6.73,10.16,6.39,9.53,10.99,3.93
"hsa-miR-130b-3p",7.51,7.72,1,4.83,3.87,1,7.3,1,2.3
"hsa-miR-30e-5p",8.64,8.47,3.59,5.4,3.5,1,7.1,1,1
"hsa-miR-30e-3p",6.16,5.95,1,3.65,1,1,6.02,1,1
"hsa-miR-361-5p",6.86,7.92,2.84,4.64,3.6,1,7.51,3.76,1
"hsa-miR-362-5p",4.29,1,5.06,3.81,1,1,3.56,3.62,1
"hsa-miR-363-3p",2.92,1,2.88,1,1,1,1,3.07,2.96
"hsa-miR-365a-3p, hsa-miR-365b-3p",7.71,9.34,3.87,4.9,6.11,2.62,8.42,6.92,1
"hsa-miR-302b-5p",1,1,2.11,3.08,1,1,1,1,2.78
"hsa-miR-302b-3p",1,1,1,1,1,1,1,1,2.21
"hsa-miR-302c-5p",7.01,5.79,4.31,3.62,3.84,1,6.42,4.82,2.23
"hsa-miR-302c-3p",1,1,1,1,1,1,1,1,1
"hsa-miR-302d-3p",1,1,1,1,1,1,1,1,1
"hsa-miR-367-3p",1,1,1,3.43,2.63,1,1,1,1
"hsa-miR-376c-3p",2.42,1,1,2.71,1,1.99,6.97,1,2.27
"hsa-miR-369-3p",1,1,1,1,1,1,2.37,1,1
"hsa-miR-370-3p",6.44,12.45,7.05,3.51,9.57,5.97,6.95,8.81,2.87
"hsa-miR-371a-3p",1,1,1,1,2.83,1,1,4.32,1
"hsa-miR-372-3p",1,1,1,1,2.46,1,1,3.48,2.87
"hsa-miR-373-5p",5.35,10.14,4.72,3.42,7.35,3.32,7.11,8.7,3.29
"hsa-miR-373-3p",1,6.34,1,1,1,1,1,3.95,1
"hsa-miR-374a-5p",7.6,3.69,2.41,4.13,1,1,5.29,1,1
"hsa-miR-375",3.81,4.13,4.92,2.55,3.38,1,3.16,1,2.23
"hsa-miR-376a-3p",2.75,1,4.45,1,1,1,6.76,1,2.78
"hsa-miR-377-3p",1,1,1,2.9,1,1,6.87,1,1
"hsa-miR-378a-5p",3.52,6.01,3.07,3.04,2.29,3.1,4.26,3.14,1
"hsa-miR-378a-3p",7.33,9.62,3.06,5,6.52,1,6.26,1,1
"hsa-miR-379-5p",1,1,1,1,1,1,6.03,1,1
"hsa-miR-380-5p",1,1,1,1,1,1,1,1,1
"hsa-miR-380-3p",1,1,5.04,2.62,1,1,2.55,1,1
"hsa-miR-381-3p",1,1,1,1,1,1,6.15,1,1
"hsa-miR-382-5p",3.9,1,1,1,1,1,5.78,1,1
"hsa-miR-383-5p",1,1,1,1,1,1,1,1,1
"hsa-miR-340-3p",2.92,5.58,1,1,2.22,1,1,1,1
"hsa-miR-330-3p",5.59,7.11,3.46,2.93,3.27,1,4.11,1,1
"hsa-miR-328-3p",3.47,9.62,5.35,2.48,5.22,1.8,4.09,5.67,1
"hsa-miR-342-3p",5.68,7.72,3.17,2.86,3.8,1,6.38,3.92,2.42
"hsa-miR-337-3p",1,6.59,1,1,3.08,1,5.25,3.13,1
"hsa-miR-323a-3p",1,1,3.21,1,1,1,3.72,1,1
"hsa-miR-326",3.58,8.61,4.71,2.89,3.97,1,2.69,4.59,1
"hsa-miR-151a-3p",8.21,8.79,5.4,6.04,4.82,3.19,7.17,1,3.06
"hsa-miR-135b-5p",8.49,4.71,5.57,4.95,2.34,3.11,5.89,1,2.7
"hsa-miR-148b-3p",6.03,6.84,2.31,3.8,2.49,2.21,6.27,1,1
"hsa-miR-331-3p",6.72,8.05,3.95,4.69,4.67,1,6.91,4.99,1
"hsa-miR-324-5p",7.33,7.6,2.38,4,3.36,1,6.27,1,1
"hsa-miR-324-3p",5.54,8.06,3.76,3.21,4.85,2.29,5.66,3.35,2.27
"hsa-miR-338-3p",1,1,1,1,1,1,1,1,1
"hsa-miR-339-5p",5.99,8.46,3.46,1,4.57,1,5.84,1,1
"hsa-miR-335-5p",6.43,1,1,3.61,1,1,3,1,1
"hsa-miR-133b",3.4,8.25,3.46,3.66,4.78,2.39,5.07,5.61,2.86
"hsa-miR-325",1,1,1,2.56,1,1,1,1,1
"hsa-miR-345-5p",5.5,7.86,4.1,3.65,5.3,1.75,5.22,3.56,1
"hsa-miR-346",5.32,9.04,4.97,2.6,5.29,1,5.81,5.99,2.17
"hsa-miR-384",1,1,1,1,1,1,1,1,2.15
"hsa-miR-196b-5p",7.07,6.1,3.45,3.76,2.91,1,1,1,1
"hsa-miR-422a",6.9,10.13,4.12,4.63,8.19,1,5.18,1,1
"hsa-miR-423-3p",6.66,8.29,5.75,4.87,5.03,2.02,6.89,4.98,3.18
"hsa-miR-424-5p",6.12,1,4.55,4.33,2.69,2.62,11.78,6.3,2.96
"hsa-miR-425-3p",5.93,7.3,3.81,3.9,3.78,1.84,4.88,5.02,1
"hsa-miR-18b-5p",8.71,8.33,3.6,5.51,4.43,1,7.2,1,1
"hsa-miR-20b-5p",11.25,11.51,6.1,7.76,6.78,2.38,9.86,4.17,2.47
"hsa-miR-448",1,1,1,1,1,1,1,1,2.26
"hsa-miR-429",8.24,7.43,2.92,3.66,2.67,1,4.83,1,1
"hsa-miR-449a",3.06,1,1,1,1,1,1,1,1
"hsa-miR-450a-5p",4.3,4.84,2.45,2.74,1,1,5.62,1,1
"hsa-miR-191-3p",4.89,7.14,2.76,3.25,4.43,2.31,4.24,5.12,1
"hsa-miR-200a-5p",5.14,6.1,3.41,2.98,3.15,1,2.83,1,1
"hsa-miR-369-5p",2.63,1,1.98,1,2.43,2.13,4.37,1,1
"hsa-miR-431-5p",2.56,1,1,2.75,1,1,4.57,1,2.91
"hsa-miR-433-3p",1,3.8,2.37,3.44,2.27,1,1,3.04,2.85
"hsa-miR-329-3p",1,1,2.14,1,1,1,4.65,1,1
"hsa-miR-323b-5p",3.56,4.26,2.04,1,2.74,2.39,1,1,1
"hsa-miR-451a",1,1,6.34,2.87,3.5,3.63,1,4.23,3.29
"hsa-miR-452-5p",3.71,1,4.36,2.86,3.15,1,3.51,1,2.76
"hsa-miR-452-3p",1,1,5.13,1,1,1,1,1,1
"hsa-miR-409-5p",1,1,5.52,1,1,2.87,4.78,1,2.96
"hsa-miR-409-3p",5.42,7.35,2.86,1,4.53,1,6.09,4.71,1
"hsa-miR-412-3p",3.17,5.98,1.97,1,3.45,1,2.92,1,1
"hsa-miR-410-3p",1,1,1,1,1,1,4.43,1,1
"hsa-miR-376b-3p",1,1,1,1,1,1,5.64,1,1
"hsa-miR-483-3p",3.91,9.63,4.51,1,5.4,2.72,4.89,5.43,1
"hsa-miR-484",6.35,9.47,5.54,4.43,5.87,2.64,7.1,6.43,3.06
"hsa-miR-485-5p",3.73,6.93,1,3.19,3.32,1,3.85,3.69,1
"hsa-miR-485-3p",2.95,7.73,4.28,1,3.63,1,4.47,4.28,3.4
"hsa-miR-486-5p",4.92,9.16,4.24,3.87,6.25,1,5.59,6.69,2.13
"hsa-miR-487a-3p",5.68,1,1,2.48,2.86,1,6.55,1,2.58
"hsa-miR-488-5p",2.35,6.31,3.11,1,3.15,1,1,1,1
"hsa-miR-489-3p",1,6.01,3.18,1,4.34,1,1,1,1
"hsa-miR-490-3p",2.59,1,5.11,3.08,3.66,1,1,3.5,3.28
"hsa-miR-491-5p",7.62,12.18,7.66,6.6,10.68,6.11,8.1,8.31,3.62
"hsa-miR-511-5p",1,1,5.5,1,1,3.31,1,1,1
"hsa-miR-146b-5p",4.68,1,4.85,1,1,1,9.7,4.04,1
"hsa-miR-202-5p",1,1,1,1,1,1,1,1,1
"hsa-miR-202-3p",2.68,1,1,1,1,1,3.51,1,1
"hsa-miR-492",1,8.16,2.41,1,4.27,1,3.07,3.14,1
"hsa-miR-493-5p",1,1,1,1,1,1,5.9,1,1
"hsa-miR-432-5p",1,5.15,3.46,1,1,1,5.15,1,1
"hsa-miR-432-3p",5.28,6.33,3.07,3.06,3.16,1,4.39,3.15,3.1
"hsa-miR-494-3p",9.89,11.85,7.53,7.54,7.37,5.33,11.55,1,2.74
"hsa-miR-495-3p",1,1,1,1,3.22,1,6.47,1,2.83
"hsa-miR-496",1,1,1,1,1,1,3.42,1,2.13
"hsa-miR-193b-3p",6.82,8.63,4.22,4.44,5.18,1.99,7.18,5.24,1
"hsa-miR-497-5p",5.12,4.67,1,2.95,3.38,1,3.49,1,2.89
"hsa-miR-181d-5p",1,1,1,1,2.81,1,6.56,1,1
"hsa-miR-512-5p",5.74,6.91,3.82,3.57,3.78,1,5.41,3.68,2.12
"hsa-miR-512-3p",1,1,0,2.48,2.33,1.79,1,3.06,2.86
"hsa-miR-498",3.76,8.29,7.46,2.92,5.88,2.36,3.66,7.27,4.29
"hsa-miR-520e",1,1,5.71,1,1,1,1,1,1
"hsa-miR-515-5p",1,1,5.73,3.23,1,1,1,1,1
"hsa-miR-515-3p",1,1,1,1,1,1,1,1,1
"hsa-miR-519e-5p",3.45,7.09,2.37,1,3.38,1,3.82,4.04,1
"hsa-miR-519e-3p",1,1,1,1,1,1,1,1,1
"hsa-miR-520f-3p",1,1,1,1,1,1,1,1,1
"hsa-miR-519c-5p, hsa-miR-523-5p, hsa-miR-518e-5p, hsa-miR-522-5p, hsa-miR-519a-5p, hsa-miR-519b-5p",1,1,2.5,1,3.45,1.96,1,3.19,1
"hsa-miR-519c-3p",1,1,1,1,1,1,1,1,1
"hsa-miR-520a-5p",1,1,1,1,1,1,1,1,1
"hsa-miR-520a-3p",1,1,2.43,3.33,2.61,1,1,1,2.15
"hsa-miR-526b-5p",2.32,5.49,2.23,1,1,1,2.5,3.16,1
"hsa-miR-526b-3p",3.21,1,3.05,2.81,1,2.77,1,1,2.56
"hsa-miR-519b-3p",1,1,1,1,1,1,1,1,1
"hsa-miR-525-5p",3.03,3.53,1,2.57,3.29,2.17,1,1,1
"hsa-miR-525-3p",1,1,1,1,1,1,1,1,2.56
"hsa-miR-523-3p",1,1,1,2.49,2.92,1,1,1,2.97
"hsa-miR-518f-5p",3.05,1,1,1,1,1,1,1,1
"hsa-miR-518f-3p",1,1,2.05,1,1,1,1,1,1
"hsa-miR-520b",1,1,6.58,2.49,2.23,1,1,1,3.1
"hsa-miR-518b",4.05,7.13,5.93,1,4.65,2.85,4.9,5.15,1
"hsa-miR-526a, hsa-miR-520c-5p, hsa-miR-518d-5p",3.94,1,3.28,1,3.27,1,4.49,4.31,2.66
"hsa-miR-520c-3p",1,1,1,1,1,1,1,1,1
"hsa-miR-518c-5p",4.21,7.87,3.65,1,3.7,1,4.34,7.39,1
"hsa-miR-518c-3p",1,1,2.56,1,1,1,1,1,1
"hsa-miR-524-5p",3.84,1,9.75,1,1,1,3.05,1,2.41
"hsa-miR-524-3p",1,1,9.57,1,1,1,1,1,1
"hsa-miR-517-5p",1,1,3.46,1,1,1,1,1,1
"hsa-miR-517a-3p, hsa-miR-517b-3p",2.75,4.31,1,1,1,1,1,1,1
"hsa-miR-519d-3p",1,6.76,3.51,1,3.27,1,3.34,3.95,1
"hsa-miR-521",1,3.92,3.59,1,1,1,1,1,1
"hsa-miR-520d-5p",3.01,5.87,3.66,2.6,3.84,1,4.32,3.65,2.21
"hsa-miR-520d-3p",3.22,1,1,1,2.72,1,1,1,1
"hsa-miR-520g-3p",1,1,2.92,1,1,1,1,1,1
"hsa-miR-516b-5p",1,1,1,1,1,1,1,1,1
"hsa-miR-516b-3p, hsa-miR-516a-3p",1,1,1,1,1,1,1,1,2.77
"hsa-miR-518e-3p",1,1,1,2.54,1,1,1,3.12,3.33
"hsa-miR-527, hsa-miR-518a-5p",3.07,4.22,5.13,2.89,3.73,2.32,5.5,3.6,2.46
"hsa-miR-518a-3p",1,1,4.85,1,1,2.25,1,1,2.35
"hsa-miR-518d-3p",2.43,1,9.71,1,1,1.8,1,1,1
"hsa-miR-517c-3p",1,1,9.77,1,1,1,1,1,1
"hsa-miR-520h",1,1,1,1,1,1,1,1,1
"hsa-miR-522-3p",1,1,2.45,1,1,1,1,1,1
"hsa-miR-519a-3p",1,1,1,1,1,1,1,1,1
"hsa-miR-499a-5p",1,1,1,1,1,1,1,1,1
"hsa-miR-500a-3p",4.62,5.87,1,1,2.97,1,3.68,1,1
"hsa-miR-501-5p",3.46,6.34,2.92,1,2.2,1,3.7,1,1
"hsa-miR-502-5p",1,1,1,1,1,1,1,1,1
"hsa-miR-503-5p",1,5.57,1,1,4.36,1,8.02,4.26,1
"hsa-miR-504-5p",1,1,1,1,1,1,1,1,1
"hsa-miR-505-3p",1,1,1,1,1,1,1,3.35,1
"hsa-miR-513a-5p",6.24,8.26,5.84,5.12,5.86,7.77,5.81,3.96,2.51
"hsa-miR-506-3p",3.01,4.67,2.85,1,3.45,1,3.16,1,1
"hsa-miR-507",1,1,1,3.02,1,2.34,1,1,1
"hsa-miR-508-3p",1,1,1,1,1,1,1,1,1
"hsa-miR-509-3p",1,1,9.68,1,1,1,1,1,1
"hsa-miR-510-5p",3.88,1,9.7,1,1,1,1,1,1
"hsa-miR-514a-3p",1,1,2.76,1,1,1,1,1,1
"hsa-miR-532-5p",4.74,5.84,3.95,1,1,1,3.81,1,1
"hsa-miR-299-5p",1,7.23,1,1,1,1,5.26,3.18,1
"hsa-miR-18a-3p",3.73,6.78,1,1,3.44,1,3.68,1,1
"hsa-miR-455-5p",4.17,1,1,1,1,1,5.78,1,1
"hsa-miR-493-3p",3.18,7.35,4.94,1,4.65,3.81,4.75,1,1
"hsa-miR-539-5p",1,5.89,1,1,3.15,1,1,1,1
"hsa-miR-544a",1,1,1,1,1,1,1,1,1
"hsa-miR-545-3p",1,1,1,1,1,1,1,1,1
"hsa-miR-487b-3p",10.08,1,6.77,6.45,1,1,10.39,1,1
"hsa-miR-551a",5.35,7.48,2.91,3.4,3.94,1,1,4.54,1
"hsa-miR-552-3p",1,1,1,1,1,1,1,1,1
"hsa-miR-553",1,1,1,1,1,1,1,1,1
"hsa-miR-554",1,1,1,2.51,1,1,1,1,1
"hsa-miR-92b-3p",6.32,9.2,0,3.61,5.48,1.98,7.33,5.25,1
"hsa-miR-555",1,1,2.52,1,1,1,1,1,1
"hsa-miR-556-5p",1,1,2.55,1,1,1,1,1,1
"hsa-miR-557",5.21,11.55,6.11,3.09,7.78,3.91,6.09,9.7,2.56
"hsa-miR-558",1,1,1,1,1,1,1,1,1
"hsa-miR-559",1,1,1,1,1,1,1,1,1
"hsa-miR-561-3p",1,1,1,1,1,1,1,1,1
"hsa-miR-562",1,1,1,1,1,1,1,1,1
"hsa-miR-563",1,1,1,2.59,1,1,1,1,2.52
"hsa-miR-564",5.49,11.57,6.63,3.55,9.45,4.62,5.48,6.04,1
"hsa-miR-566",6.18,8.82,3.9,2.98,5.25,1,6.16,6.86,1
"hsa-miR-567",1,1,1,1,1,1,1,1,1
"hsa-miR-568",1,1,1,2.97,1,1,1,1,1
"hsa-miR-551b-3p",1,4.78,3.44,1,2.33,1,3.22,3.49,1
"hsa-miR-569",1,1,1,1,1,1,1,1,1
"hsa-miR-570-3p",1,1,1,1,1,1.78,1,1,1
"hsa-miR-571",1,1,9.51,1,1,1,1,1,1
