"","GSM1315087","GSM1315088","GSM1315089","GSM1315090","GSM1315091","GSM1315092","GSM1315093","GSM1315094","GSM1315095","GSM1315096","GSM1315097","GSM1315098","GSM1315099","GSM1315100","GSM1315101","GSM1315102"
"hsa-miR-134",1.22e-05,0.00185901,0.004170867,1.56e-06,0.013866452,0.001801358,1.85e-05,0.000218569,0.00030418,0.000378893,0.000691051,0.010865138,14.96829508,0.129479266,0.156207865,0.000340376
"hsa-miR-135a",8.95e-06,0.000175586,0.000467565,0.001899501,1.45e-06,4.11e-06,1.74e-06,4.64e-05,0.005567271,0.000417175,0.002340209,0.000186861,0.018638028,0.034077445,0.001178413,0.000295549
"hsa-miR-135b",0.000932047,5.33e-06,4.91e-05,0.150539605,0.00912714,0.000223755,2.63e-05,1.18e-06,0.000305417,0.021262401,0.012846372,0.000294407,0.008232983,0.009248884,0.013691943,0.005273174
"hsa-miR-136",0.013640818,0.000428966,0.030351718,0.000170727,0.325087841,2.55e-06,0.000115299,0.000635287,0.0038294,0.000251833,0.000302777,0.00740903,0.001589764,0.000755381,0.000857505,0.443957753
"hsa-miR-137",0.155214581,0.000428966,8.29e-07,0.000160827,2.67e-06,1.85e-05,8.07e-05,0.000796353,0.0038294,0.005938496,0.001609501,0.001374905,0.009816912,0.034077445,0.001178413,0.001952637
"hsa-miR-138",0.000124559,0.000175586,2.76e-05,2.26e-06,6.08e-05,6.03e-05,0.011285382,0.00054482,0.002140391,0.020738758,0.000691051,0.001374905,0.002117431,0.067426055,0.000476552,0.002121859
"hsa-miR-139",4.27e-05,0.000912062,4.79e-05,4.37e-05,4.56e-06,0.192923696,0.000338121,0.000838486,0.001136541,0.005938496,0.005890782,0.000645505,0.060572678,0.007188278,0.004097163,4.042854548
"hsa-miR-140",0.001068443,0.00185901,0.001339546,0.001526293,0.000971728,0.00123392,0.001316256,0.000838486,0.000394986,0.000378893,0.00012665,0.004416993,0.015108257,0.034077445,0.000857505,0.003489447
"hsa-miR-141",8.18e-05,3.72e-05,4.01e-06,1.47e-05,1.05e-05,1.51e-05,1.32e-05,3.65e-05,0.0038294,0.000526174,0.007511958,0.004416993,0.018638028,0.007188278,0.156207865,0.007624256
"hsa-miR-142",0.03688211,0.15250379,0.004636089,0.036281678,0.036821941,0.039142426,0.07237268,0.055836286,0.001398213,0.010726129,0.002247115,0.009872515,0.006910237,0.004024795,0.003891327,0.002211283
"hsa-miR-143",1.77e-06,0.119520086,0.310951181,0.001621182,1.79e-05,0.000358747,0.009048077,0.005580723,0.000373559,0.014768123,0.00019635,0.010865138,0.014927755,0.004955471,0.093844239,4.042854548
"hsa-miR-145",8.33e-06,9e-05,0.003350175,0.000148943,0.001251129,4.92e-05,0.009048077,4.09e-06,0.002486784,0.014768123,0.007511958,0.009396331,0.015108257,0.000839835,0.0195512,0.02571784
"hsa-miR-146a",0.009258999,0.053167631,0.001890138,0.005300308,0.013866452,0.010755945,0.015691238,0.015520682,0.000168906,0.007653356,0.001609501,0.00740903,0.006910237,0.003754184,0.000234442,0.005543494
"hsa-miR-146b",5.48e-05,0.00074994,0.013582652,0.00125986,1.96e-05,9.49e-05,6.13e-05,0.000105706,0.00823699,0.002211007,0.000300823,0.009396331,0.008232983,0.000755381,0.000234442,0.003489447
"hsa-miR-147",0.131991232,0.000478732,1.84e-05,0.002262753,0.009496776,6.11e-06,1.32e-05,3.5e-05,0.000293073,0.032154117,0.000302777,0.006278425,0.195037981,0.001873972,0.000355604,0.006783424
"hsa-miR-147b",2.87e-06,0.000845189,0.000609469,0.136477686,0.000198996,2.21e-05,1.74e-06,5.8e-07,0.001100542,0.000345957,0.01161429,0.000645505,0.006720187,0.001129355,0.005591395,0.021792044
"hsa-miR-148a",0.000705408,7.54e-05,0.000212724,0.000231073,0.000469106,0.000223755,0.000274381,8.34e-05,0.000281082,0.020738758,0.012846372,0.001374905,0.001113982,0.009248884,0.005328422,0.017736256
"hsa-miR-148b",2.11e-05,1.44e-05,6.09e-05,1.03e-05,2.66e-05,2.21e-05,1.27e-05,4.03e-05,0.6926061,0.005672523,0.001354437,0.004143499,0.015108257,0.000350282,0.030727858,0.001141676
"hsa-miR-149",4.27e-05,1.74e-06,0.000381469,8.95e-05,0.005268911,0.151397617,0.001638029,0.006916092,0.000373559,0.000417175,0.012846372,0.026953909,0.000547521,0.000755381,0.008365045,0.010334643
"hsa-miR-152",5.6e-05,0.000235253,4.68e-05,2.67e-05,1.19e-05,4.4e-05,3.28e-05,0.000396048,8.23e-05,0.000173203,0.002340209,0.000122702,0.009816912,0.009647361,0.001178413,0.006783424
"hsa-miR-153",0.000125451,2.96e-05,0.00208672,0.005819839,1.27e-05,1.37e-05,0.014769441,0.002089136,0.000295757,0.025691827,0.01161429,0.004416993,0.043696332,0.001873972,0.001760339,0.001141676
"hsa-miR-154",1.74e-06,7.54e-05,0.310951181,0.001526293,1.55e-06,4.27e-05,2.63e-05,0.000236917,8.48e-05,0.010597408,0.010292268,0.00740903,0.0005318,0.005450767,0.009728385,0.840310432
"hsa-miR-15a",0.00042385,0.001969539,0.002251195,0.000562331,0.000325212,0.001055354,0.000927016,0.004576669,0.002486784,0.000441055,0.245634447,0.000152804,0.015108257,0.004955471,0.001113827,0.840310432
