"","GSM2588966","GSM2588967","GSM2588968","GSM2588969","GSM2588970","GSM2588971","GSM2588972","GSM2588973","GSM2588974","GSM2588975","GSM2588976","GSM2588977","GSM2588978","GSM2588979","GSM2588980","GSM2588981","GSM2588982","GSM2588983","GSM2588984","GSM2588985","GSM2588986","GSM2588987","GSM2588988","GSM2588989","GSM2588990","GSM2588991","GSM2588992","GSM2588993","GSM2588994","GSM2588995","GSM2588996","GSM2588997","GSM2588998","GSM2588999","GSM2589000","GSM2589001","GSM2589002","GSM2589003","GSM2589004","GSM2589005","GSM2589006","GSM2589007","GSM2589008","GSM2589009","GSM2589010","GSM2589011","GSM2589012","GSM2589013"
"hsa-miR-24-1-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-24-3p",5.13,3.34,3.475,0,5.754,4.838,5.02,1.95,1.596,4.668,4.742,2.15,3.549,0,0,6.396,6.601,5.482,5.756,2.554,3.69,2.62,0,4.545,0,4.273,4.385,4.39,5.843,4.404,0,7.084,9.074,0,5.831,4.423,0,5.033,5.289,3.103,6.055,2.341,6.874,6.083,5.947,6.286,5.105,5.702
"hsa-miR-24-2-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-25-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0,0,0,0
"hsa-miR-25-3p",4.361,0,0,0,0,0,5.643,0,0,0,0,0,2.768,0,0,5.372,3.531,3.06,1.778,0,0,0,0,3.63,0,0,4.125,0,1.416,2.723,0,5.172,10.591,0,5.158,0.945,0,2.455,0,0,4.13,0,4.38,0,4.643,3.97,1.711,3.319
"hsa-miR-26a-5p",2.416,0,2.292,0,4.219,2.741,4.489,0.603,0,4.593,2.586,2.246,3.043,1.338,0,4.152,3.139,2.335,5.166,1.299,2.451,0.695,0,3.082,0,3.706,2.163,3.462,1.762,3.361,0,4.996,7.735,0,1.785,2.906,0,3.29,0.668,0,4.934,1.119,4.264,3.357,2.49,5.748,2.928,4.131
"hsa-miR-26a-1-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-26b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-26b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-27a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
