"","GSM3039940","GSM3039941","GSM3039942","GSM3039943","GSM3039944","GSM3039945","GSM3039946","GSM3039947","GSM3039948","GSM3039949"
"hsa-miR-3173-5p",1.2081509716591,0,1.20358004631087,0,2.27899391788204,1.93076504271783,1.52650902797407,0,0.908472904179639,1.5942123891967
"hsa-miR-3174",0,1.68229937187028,1.56299074170383,0,1.83549127640026,1.0874827238272,1.172435849589,2.60981200918664,0.908472904179639,0
"hsa-miR-3175",0,0,0.983552631145608,0,0,0,0.702178463394378,0,1.46158888214229,1.5942123891967
"hsa-miR-3176",0,2.43796838066215,1.56299074170383,0,1.19185608233661,1.42628833633279,1.52650902797407,0,0,0
"hsa-miR-3177-3p",3.34665815521423,5.56672999079177,3.51410183121174,4.60043792093326,4.14551766664871,4.4838516543065,4.00423452560084,1.82868059877507,3.73105353224271,4.10050433669373
"hsa-miR-3179",0,1.07361137761562,0.723822734171863,0,0.715658213611535,1.0874827238272,2.04781692136933,1.82868059877507,1.46158888214229,0
"hsa-miR-3180",0,0,0,0,0.715658213611535,0.643869709956802,1.52650902797407,0,0,0
"hsa-miR-3180-3p",0,0,0,0,0.715658213611535,0.643869709956802,1.52650902797407,0,0,0
"hsa-miR-3180-5p",1.2081509716591,0,1.20358004631087,0,0.715658213611535,0,1.8105823539062,1.82868059877507,0,0
"hsa-miR-3183",1.2081509716591,0,0,0,0,0,0.702178463394378,0,0,0
"hsa-miR-3184-3p",13.053972042623,14.1048182556588,12.2403294497624,13.1821713132965,13.0374059946725,13.845052794186,14.2512381991704,14.6837879190884,14.1155325575096,13.4397229595524
"hsa-miR-3184-5p",12.2691315318693,12.6432216494515,12.3761358677743,12.6961875720149,12.7626542766537,12.3226083024456,12.5263613940439,13.433643227336,12.071704198512,12.7546854998629
"hsa-miR-3186-5p",0,0,0,0,0.715658213611535,0,0,0,0,0
"hsa-miR-3187-3p",0,1.07361137761562,0.723822734171863,0,1.19185608233661,1.0874827238272,0,1.82868059877507,0,0
"hsa-miR-3187-5p",0,0,0.406837252782322,0,0.715658213611535,0.357560248083621,0,0,0,0
"hsa-miR-3188",1.2081509716591,2.10905488932194,0.983552631145608,0,0,0.643869709956802,0.702178463394378,1.82868059877507,0.908472904179639,0
"hsa-miR-3190-3p",0,1.07361137761562,0,0,1.19185608233661,0.357560248083621,1.172435849589,0,0.908472904179639,1.5942123891967
"hsa-miR-3190-5p",0,2.10905488932194,0.723822734171863,2.11192926116196,1.83549127640026,0.8826602356209,1.52650902797407,1.82868059877507,2.17256121908651,2.33302086586153
"hsa-miR-3191-3p",0,2.43796838066215,0.983552631145608,2.11192926116196,1.83549127640026,1.0874827238272,1.52650902797407,2.60981200918664,2.42902346996175,2.33302086586153
"hsa-miR-3191-5p",0,1.07361137761562,0,0,1.19185608233661,0.357560248083621,1.172435849589,0,0.908472904179639,1.5942123891967
"hsa-miR-3192-5p",1.2081509716591,0,0.406837252782322,0,0,0.357560248083621,0,0,0,1.5942123891967
"hsa-miR-3194-3p",0,0,0.723822734171863,0,2.07421819911163,0,0,0,0.908472904179639,1.5942123891967
"hsa-miR-3198",1.2081509716591,0,0.406837252782322,3.45523764081041,1.54927333750006,0,0,1.82868059877507,1.46158888214229,0
"hsa-miR-3199",1.2081509716591,0,0.723822734171863,0,0.715658213611535,1.56988051358826,1.8105823539062,0,0.908472904179639,1.5942123891967
"hsa-miR-3200-3p",1.2081509716591,1.07361137761562,0,0,0.715658213611535,0,0,0,1.46158888214229,0
"hsa-miR-3200-5p",1.2081509716591,0,0,0,0,0,1.52650902797407,1.82868059877507,2.42902346996175,0
"hsa-miR-3202",1.2081509716591,0,0,0,1.19185608233661,0,0,0,0.908472904179639,1.5942123891967
"hsa-miR-320a",11.8400800402872,12.1057872414872,11.5958273099126,13.1842328212938,11.8433592237265,12.3270374979212,12.6171250348311,12.8552201234913,12.6817130638255,13.2334735596414
"hsa-miR-320b",8.002987113517,8.40529788535591,7.79995238126244,9.17778826066234,8.25464179353655,8.89494995176211,9.27129560603684,9.32549051276984,9.37516007449983,9.79355635874849
"hsa-miR-320c",5.07725724034763,5.66423500918389,5.44879133981092,6.39347182563818,5.99861897491188,6.55606414924747,6.79074515777416,6.32401382769974,6.17075959431216,7.39747442474704
"hsa-miR-320d",2.30195046716531,3.45183851666792,2.47530976004199,2.93458807824271,3.01159497527639,3.88573138800765,3.54328724548127,3.11376084142291,3.15275424885908,4.10050433669373
"hsa-miR-320e",0,0,0,0,0.715658213611535,0,0,0,0,0
"hsa-miR-323a-3p",4.54083487673543,5.97413775027933,5.12435808922608,3.83701059630427,4.99218608068068,3.43882594494682,4.39661906250778,3.11376084142291,3.99186000907749,4.40551346605008
"hsa-miR-323a-5p",0,1.07361137761562,0.406837252782322,0,1.54927333750006,0.643869709956802,0,0,0,1.5942123891967
"hsa-miR-323b-3p",4.89864821889786,5.46215430437051,4.55327186273159,4.38792342701257,5.90894188246487,3.77152427546866,3.82437606904914,4.23762832534981,3.28844358138412,5.22293339996631
"hsa-miR-32-3p",4.2739474871023,4.52944028275849,4.16513710493434,4.13860547345899,3.72272979933014,4.24796309214252,4.00423452560084,3.11376084142291,3.63247163279351,3.71323152442263
"hsa-miR-324-3p",2.30195046716531,1.68229937187028,1.85048323347995,0,2.07421819911163,2.21919801047406,2.04781692136933,0,2.64670309687757,0
"hsa-miR-324-5p",4.45724055379957,3.29830086572887,3.81055084127509,0,2.45828384636676,3.85801596065683,3.37912111790226,3.782471830331,3.28844358138412,1.5942123891967
"hsa-miR-32-5p",6.61427677128139,6.4456974469695,8.7829067846824,6.14519816181247,7.9063519754891,7.53531272988393,7.3014039162506,6.91826304907954,6.2887473652106,6.75519082362403
"hsa-miR-326",7.03045658892082,6.60152552663503,6.13061284074378,5.66790190850828,6.66089779668046,7.18274200747409,6.49230617536913,6.27730824249392,6.49920606317178,6.24248754816267
"hsa-miR-328-3p",8.03937238561644,8.19298097911094,8.46419474822927,9.32705654699183,9.43069351263046,7.9685242110204,7.89095602465517,9.64352031706328,7.61254994232859,9.24984401657381
"hsa-miR-329-3p",4.96067418023647,5.26901966751998,5.02681293069282,2.11192926116196,4.9327550202698,4.70220879822029,4.26166842734501,3.782471830331,4.14274784621399,4.26105441931991
"hsa-miR-329-5p",0,1.68229937187028,0.406837252782322,0,1.19185608233661,0.643869709956802,1.172435849589,0,0.908472904179639,0
"hsa-miR-330-3p",7.30605804006622,7.53515181130425,7.10670427549979,7.5215841935121,7.39214907363165,7.27732471394946,6.96012996354385,7.56876885506838,7.55987661439802,7.49759144431298
"hsa-miR-330-5p",4.83383529938687,5.66423500918389,5.0123234955205,5.57039173900912,5.76302058699249,5.28428234175768,4.95856722640524,5.19887479850226,5.62170514256784,5.50539938736487
