"","GSM1086789","GSM1086790","GSM1086791","GSM1086792","GSM1086793","GSM1086794","GSM1086795","GSM1086796","GSM1086797","GSM1086798","GSM1086799","GSM1086800","GSM1086801","GSM1086802","GSM1086803","GSM1086804","GSM1086805","GSM1086806","GSM1086807","GSM1086808"
"hsa-miR-128",7.548051238,7.855802872,7.398743692,7.660709039,7.119459934,7.33315535,7.800576389,7.647818156,7.384352064,7.918863237,8.052839719,8.152791852,6.789859641,7.412993173,7.552669098,7.796039609,7.063395081,7.095397023,7.390598906,7.143383214
"hsa-miR-30a*",7.642773763,7.581200582,7.27076252,7.071462363,7.162391329,7.238882374,7.641329262,7.011786331,7.227375274,8.057991723,7.535664191,8.21042783,7.802193217,7.430034319,8.23457796,7.893301531,7.543805176,7.071462363,7.381975479,7.085870755
"hsa-miR-28-5p",7.425006041,7.569286011,7.167919866,11.16390121,6.941927925,6.717676423,7.50779464,7.227615943,7.132114103,7.99816729,7.796039609,8.132885254,6.45532722,7.681941137,8.020979939,7.7478573,6.265849421,7.036723106,6.889047583,7.071462363
"hsa-miR-455-5p",8.048486874,8.354249382,7.408542042,7.059885201,6.809928866,7.238882374,8.494855584,8.307997658,7.659103963,8.291746281,8.232660757,8.292666734,7.025693274,7.241029774,6.696967526,7.577806447,7.083479327,6.946613905,6.727239777,6.435461914
"hsa-miR-487b",8.024862627,8.157599574,7.408542042,6.811214118,7.093549613,7.33315535,8.266435192,7.555931161,8.005764882,7.59058705,7.373300197,7.141085319,6.76884596,7.09011242,7.007868243,8.786759701,7.21916852,7.220378328,6.934870291,8.095397023
"hsa-miR-375",6.9489512,6.529040056,7.483412734,6.345183447,7.080551077,7.635899466,6.394033895,6.780703794,7.62497818,7.76420813,8.30560579,8.904183003,8.621868725,8.257152089,8.142107057,6.826548487,8.772314574,8.068778278,7.004220466,6.388878339
"hsa-miR-1208",7.373300197,7.0725346,7.561478892,7.931032942,7.853933289,7.902073579,7.43837603,7.031494449,8.327552644,6.908092341,6.908092341,6.778734244,8.067972078,7.132885254,7.236492618,7.255500733,7.725536678,7.502235115,7.782670659,8.052432197
"hsa-miR-146a",7.34251919,7.354469792,7.800414607,7.652486495,7.313109776,7.181152257,7.681941137,6.881113961,6.605849867,7.200162974,7.269594252,7.529820947,7.6463787,7.530601415,8.802112419,7.600656308,6.86387652,7.155324229,7.684573313,8.530211233
"hsa-miR-301a",6.63008507,7.476948673,7.206770189,7.071462363,7.093549613,6.844862656,7.821773982,7.480992104,7.484017257,8.291746281,8.633176885,8.206770189,7.831782257,7.577806447,7.131856961,7.642773763,7.485426827,7.384136172,7.046032615,7.03534898
"hsa-miR-32*",7.097505456,6.840463234,7.776103988,6.752213368,9.398102352,7.449973986,7.30241045,7.147713722,7.502235115,6.563005553,6.508587112,6.492654371,7.157346935,6.885086225,7.283551423,8.347178416,8.001408194,7.841878797,7.8899602,9.079218087
"hsa-miR-1306",7.691743519,7.211644987,7.754720514,6.752213368,7.938109326,7.167919866,6.880195729,7.071998581,7.832257114,6.519636253,7.033423002,6.176921112,8.302867361,7.01346226,7.176422513,7.386940245,7.746514321,9.040289721,7.549977143,8.685449638
"hsa-miR-1238",7.562624039,7.277519887,7.435045131,7.904183003,7.149239039,7.887677574,7.394033895,7.639159795,7.305833758,7.174426394,7.065550771,7.218199944,7.278449458,7.50779464,7.699745948,6.789859641,7.271463028,7.573079085,7.570614722,8.147968054
"hsa-miR-449b",7.289096702,7.306973057,6.348728154,7.045486656,7.162391329,7.58458675,7.910792613,7.25124569,7.752882366,8.872905693,7.558420713,7.763212367,8.315715658,6.638073837,7.751711415,7.347178416,6.581953751,7.080551077,8.019868678,7.102763097
"hsa-miR-422a",7.939138405,7.531186489,7.513332824,7.349612972,7.440661571,7.741129869,7.126188211,6.791814071,7.269360484,7.274028649,6.844234988,6.828453874,7.615813525,7.151016539,7.578750064,7.033423002,8.582706527,7.724513853,7.490850877,7.815703503
"hsa-miR-1307",7.250772132,7.270295326,7.608809243,8.137503524,7.803646814,8.038095925,7.085870755,7.11816243,7.065281486,7.13442632,6.967514481,6.526694846,8.028182348,7.423326047,7.052568051,7.108524457,8.211766646,7.276124405,7.766528909,7.595443985
"hsa-miR-590-5p",7.152791852,7.306973057,7.398743692,7.597121429,7.140062856,7.39145842,7.466382409,7.011786331,7.243650042,7.689299161,8.169799762,8.166916252,7.425425735,7.439623138,7.588901986,7.562433244,6.668175869,7.29553937,7.241029774,7.46943832
"hsa-miR-409-3p",6.757556689,7.139039668,7.01234519,6.699745948,6.941927925,6.970393538,7.140062856,7.395105655,6.933690655,7.057991723,7.125671763,6.910492832,6.581200582,7.044394119,6.978996396,7.255500733,15.99997799,6.531381461,7.141085319,6.594697827
"hsa-miR-425*",7.21916852,7.648177796,7.262094845,7.258330473,7.244125943,8.150762744,7.566815154,7.340740281,6.883254231,7.531381461,6.816983623,6.944272818,7.818262608,7.164906927,7.092228584,7.276124405,8.558229362,7.095397023,7.951284715,7.160879862
"hsa-miR-205",6.925406083,7.244125943,7.787739349,7.186361891,7.301267541,7.110091752,7.50779464,7.429615964,7.065281486,7.237926947,7.125671763,7.60936345,7.30103885,7.277054876,6.807998839,6.758223215,7.799929151,9.754720514,7.452447178,7.143383214
"hsa-miR-200a*",7.534497434,7.36719631,7.870056418,7.133142212,7.301267541,7.692441147,7.240791332,7.238404739,7.729110867,7.112178834,6.915879379,7.273795599,7.775939438,7.109047078,7.154818109,7.339850003,7.701479748,7.132885254,7.17292749,7.704249502
"hsa-miR-766",7.500244367,7.192292814,7.167919866,7.422905743,7.934575473,7.350055177,7.316960287,7.197216693,7.863566829,7.29553937,7.155830172,7.218199944,6.985841937,7.289096702,7.368724704,7.456149035,7.289096702,7.332036548,7.33315535,7.815703503
"hsa-miR-663b",7.137503524,7.233140296,7.368942914,8.5345947,7.448735798,8.733608553,7.521992956,7.340740281,7.260449141,7.080551077,7.339850003,7.003939486,6.605849867,7.277054876,7.007868243,7.132885254,7.003939486,7.095397023,8.499148283,6.724513853
"hsa-miR-181d",7.548051238,7.724513853,7.476948673,7.035073997,7.186857067,7.285864547,7.619119511,7.497253084,7.330020516,7.35380846,7.108001646,7.561478892,7.615813525,6.92421868,7.419960178,7.211401637,7.30833903,7.285864547,7.498051366,7.345627012
"hsa-miR-617",7.485225544,7.022367813,7.447909749,7.160375687,7.582330188,7.285864547,6.648896806,6.87036472,7.212861117,6.563005553,6.944272818,6.196725061,9.062046138,7.218684313,7.800252806,7.108524457,7.562624039,8.115823977,7.736401931,8.178166855
"hsa-miR-518a-5p",7.137503524,7.277519887,7.458201525,7.475733431,8.671364147,7.58458675,7.155324229,6.955359305,7.475733431,6.724513853,6.780703794,7.04220656,7.220378328,6.758889433,6.935459748,7.529820947,7.840620587,8.012205496,7.513924942,7.639159795
"hsa-miR-1281",7.62935662,7.17292749,7.368942914,7.045486656,7.541483864,7.557655155,7.423746229,7.011786331,7.525912261,7.057991723,6.601399391,7.132371199,7.818262608,7.180903709,7.222794903,7.522973781,7.543805176,7.306973057,7.071194179,8.24697806
"hsa-miR-583",7.675957033,7.449148645,7.889503963,7.852061279,6.83541884,7.974127743,7.240791332,7.031494449,7.440869168,6.858602712,6.944272818,7.447496547,7.258330473,7.326878855,6.63008507,7.062316027,7.562624039,7.01346226,7.673132372,7.815703503
"hsa-miR-136",6.692092375,7.36719631,7.135452784,7.133142212,6.83541884,6.791814071,7.701479748,7.1382718,7.251719093,8.415741768,8.133655993,7.956956894,6.919459269,7.501439145,6.821455119,7.619669773,8.059885201,7.741129869,6.934870291,6.808642468
"hsa-miR-361-3p",7.517078805,7.537606691,7.408542042,6.955359305,7.04220656,6.717676423,7.701479748,7.093285504,7.177419538,7.719046504,7.492654371,7.956956894,7.0061858,7.389738879,7.933100475,7.416164165,6.885391332,7.140574178,7.325530332,7.484218708
"hsa-miR-18a",7.548051238,9.58082385,7.3226042,6.855179947,7.021257621,6.844862656,7.423746229,6.917073663,7.186361891,7.859845344,8.128638813,7.949243096,6.964629667,7.330468767,7.131856961,7.244601688,6.839833648,7.00506308,6.915879379,6.701133155
"hsa-miR-181c",7.21916852,7.484218708,7.135452784,6.940754047,6.816983623,6.988684687,7.357112092,7.227615943,7.168922782,7.796688594,7.496853777,8.024031502,7.761883612,7.164906927,7.767522386,7.22881869,7.746514321,7.095397023,7.505017556,6.828453874
"hsa-miR-335",7.152791852,7.484218708,7.276124405,7.561287945,6.783653086,7.58458675,7.598982971,7.178415874,7.415319248,7.821455119,8.4325419,8.197462446,7.360627646,7.296916207,7.140062856,7.010108453,6.392317423,6.917968728,7.589838376,6.548436625
"hsa-miR-542-3p",7.186361891,7.669948004,7.029563314,7.370251481,6.307428525,7.137503524,8.026108418,8.029977347,7.635899466,8.211401637,8.726729059,8.145295335,6.704595348,7.330468767,6.807998839,6.900866808,6.345183447,7.095397023,6.964629667,6.882337361
"hsa-miR-654-5p",6.880195729,6.982993575,7.135452784,7.899961067,7.232181058,7.110091752,7.100662339,6.524345816,6.762880293,6.883865155,7.065550771,7.033973543,9.148921398,7.132885254,8.664269492,6.936637939,7.15936681,6.701826258,7.8899602,8.221103725
"hsa-miR-1237",7.360408175,7.277519887,7.362163012,7.886001351,7.110091752,7.527867927,7.071998581,7.632268215,7.017921908,7.057991723,7.139039668,7.04220656,7.30103885,7.248402006,7.419960178,6.858291887,7.562624039,7.422485316,7.390598906,7.687200695
"hsa-miR-204",7.59058705,7.25313837,7.339850003,6.912290583,6.908092341,7.167919866,7.261154673,7.147713722,7.432124273,7.404290064,7.412358137,8.885086225,6.85237345,7.260684356,7.800252806,7.899961067,6.161887682,6.866969778,6.889047583,7.831782257
"hsa-miR-650",7.578183968,7.910342919,7.528258743,7.133142212,7.346956889,7.775610281,7.701479748,7.441906705,7.466382409,6.908092341,6.85237345,6.352264173,6.605849867,6.915879379,7.386940245,7.799929151,6.508587112,6.900866808,8.041932882,7.95419631
"hsa-miR-200b*",6.815383296,7.109047078,6.960581211,7.45532722,7.007307647,7.726558779,7.140062856,6.928962441,7.6898233,7.450592681,7.237687991,7.699572453,7.582706527,7.419328202,7.476948673,7.096715154,7.562624039,7.036723106,7.251719093,7.389738879
"hsa-miR-1285",7.59058705,7.399598369,7.230260665,7.696272084,7.093549613,6.610286657,7.227375274,7.30058136,7.570614722,7.285864547,7.161887682,7.154818109,7.319220503,7.180903709,7.164404158,7.396390716,7.58044702,7.339850003,7.071194179,7.46943832
"hsa-miR-526b",7.186361891,7.160879862,7.503428247,7.986979709,7.847057346,7.096715154,6.820178962,6.813139851,7.494655613,7.080551077,7.040015679,7.04220656,6.504620392,7.226412193,7.33315535,7.082681303,7.562624039,7.400025518,7.836681593,7.726558779
"hsa-miR-595",7.137503524,6.982993575,7.581200582,6.394891366,9.232540847,6.862947248,6.921840937,6.667466405,7.649615459,6.724513853,6.381975479,6.910492832,6.605849867,6.611024797,7.429615964,8.031770114,7.04220656,8.106693791,7.830039776,8.507398241
"hsa-miR-484",7.270996061,7.297374861,7.186361891,7.082149041,7.110091752,7.527867927,7.531381461,7.245077275,7.139295533,7.311067102,7.272629785,7.350055177,6.85237345,7.296916207,7.236492618,7.522973781,7.15936681,7.241744865,7.218199944,7.741466986
"hsa-miR-664*",7.168421411,7.458201525,7.167919866,6.868513924,6.666756592,6.809928866,7.126188211,6.980139578,6.659639187,8.113090983,7.320574934,8.145295335,6.750204509,7.164906927,7.46311562,7.448322833,8.091435386,7.270996061,7.193278936,7.668707738
"hsa-miR-31*",7.152791852,7.458201525,7.357112092,7.007868243,6.681589817,7.463524373,7.663558104,6.903279342,7.260449141,7.796688594,7.528063348,7.973697366,7.973697366,7.428150768,7.198690586,7.19991768,6.532161085,6.908092341,7.304465409,6.724513853
"hsa-miR-224",7.270996061,7.297374861,7.677191085,7.14822234,6.985841937,6.900263044,7.316960287,7.170926525,6.46515823,7.080551077,7.132885254,7.745506266,6.832890014,7.83810087,8.481193978,8.057991723,6.668175869,7.047123912,7.17292749,7.204815648
"hsa-miR-502-3p",7.360408175,7.306973057,6.994353437,7.045486656,6.816983623,7.080551077,7.494655613,7.275193334,7.121015401,7.552669098,7.597866334,7.651948611,7.220378328,7.476138625,7.681062677,7.269126679,7.408542042,6.866969778,7.015972508,7.204815648
"hsa-miR-648",7.408966552,7.564530601,7.59058705,7.071462363,7.59058705,7.350055177,6.880195729,7.694183743,7.541483864,7.209697044,6.844234988,7.132371199,7.0061858,7.198690586,6.921840937,7,7.485426827,7.036723106,7.260684356,7.562242424
