"","GSM3467238","GSM3467239","GSM3467240","GSM3467241","GSM3467242","GSM3467243","GSM3467244","GSM3467245","GSM3467246","GSM3467247","GSM3467248","GSM3467249","GSM3467250","GSM3467251","GSM3467252","GSM3467253","GSM3467254","GSM3467255","GSM3467256","GSM3467257","GSM3467258","GSM3467259","GSM3467260","GSM3467261","GSM3467262","GSM3467263","GSM3467264","GSM3467265","GSM3467266","GSM3467267","GSM3467268","GSM3467269","GSM3467270","GSM3467271","GSM3467272","GSM3467273","GSM3467274","GSM3467275"
"hsa-miR-380-5p",1.433,-3.322,1.888,-3.322,1.263,-3.322,0.848,-3.322,-3.322,-3.322,-3.322,3.609,4.129,4.446,2.036,-3.322,2.104,3.524,3.621,0.926,-3.322,1.263,1.263,3.053,3.138,2.744,2.511,3.036,2.655,1.632,-3.322,-3.322,0,2.848,2.807,0.678,1.722,2.888
"hsa-miR-380-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-0.737,1.433,-3.322,0.926,-3.322,-3.322,-3.322,-3.322,-1.737,-0.515,-2.322,-3.322,1.963,-3.322
"hsa-miR-381-5p",-3.322,-3.322,-0.152,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,0.379,-3.322,-0.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-1.322,-3.322
"hsa-miR-381-3p",7.954,6.007,7.74,7.068,8.741,7.659,8.147,6.306,6.06,6.113,5.573,8.814,8.538,8.655,9.002,8.707,8.16,9.733,7.818,8.496,8.096,6.592,8.435,8.6,9.606,8.843,8.79,9.022,7.627,9.198,6.638,7.805,6.42,9.336,8.758,5.466,8.815,8.057
"hsa-miR-382-5p",7.919,6.219,8.31,7.17,9.913,9.997,9.64,7.915,8.936,9.813,7.206,10.764,9.171,10.554,10.586,11.552,11.421,9.512,9.207,10.727,11.019,8.457,8.264,9.682,9.886,8.986,9.945,8.592,11.38,11.031,8.769,8.141,6.868,9.448,10.296,5.855,8.69,9.455
"hsa-miR-382-3p",4.717,2.138,4.744,4.233,3.561,5.489,4.248,2.07,2,-3.322,2,5.19,5.797,-3.322,5.392,5.092,2.104,6.385,2.828,3.733,2.828,2.511,5.919,5.368,6.998,6.654,5.278,5.858,4.485,2.848,4.293,5.943,3.916,6.057,4.413,4.385,6.426,3.935
"hsa-miR-383-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-0.737,-3.322,-3.322,-3.322,-3.322,-3.322,0.678,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-0.515,-3.322
"hsa-miR-340-5p",11.369,10.67,11.338,11.271,10.221,10.119,10.644,9.649,10.134,9.491,10.292,10.336,11.082,10.776,10.929,10.841,10.421,11.507,11.047,11.182,10.263,10.599,12.258,11.427,12.246,12.316,11.509,12.044,10.434,11.01,11.668,12.487,12.467,11.701,10.83,12.553,12.498,10.985
"hsa-miR-340-3p",6.601,5.675,6.411,5.959,5.632,5.489,6.194,4.053,6.285,4.792,6.244,4.776,6.34,6.031,5.755,5.9,6.265,6.428,6.471,4.733,5.86,5.057,7.464,6.293,7.407,7.735,7.157,7.708,5.555,6.002,6.703,8.183,8.267,7.534,6.926,7.814,8.174,6.951
"hsa-miR-330-5p",3.217,-3.322,2.485,2.963,4.7,3.485,3.42,-3.322,4.413,5.789,4.897,5.19,2.982,4.446,4.695,4.678,4.678,3.858,3.322,3.926,4.888,4.868,4.597,-3.322,3.787,3.888,3.744,3.036,4.655,4.954,4.916,3.485,3.766,3.121,4.621,2.678,3.154,4.202
"hsa-miR-330-3p",7.869,7.442,8.343,7.418,8.022,9.322,7.888,6.144,8.129,8.375,8.366,8.425,7.296,8.533,8.781,8.485,9.161,7.631,8.755,8.759,8.98,8.011,7.632,8.718,8.323,8.022,8.411,6.925,8.397,8.603,8.47,8.098,7.962,8.586,8.926,7.966,7.784,8.76
