"","GSM3904621","GSM3904622","GSM3904623","GSM3904624","GSM3904625","GSM3904626","GSM3904627","GSM3904628","GSM3904629","GSM3904630","GSM3904631","GSM3904632","GSM3904633","GSM3904634","GSM3904635","GSM3904636","GSM3904637","GSM3904638","GSM3904639","GSM3904640","GSM3904641","GSM3904642","GSM3904643","GSM3904644","GSM3904645","GSM3904646","GSM3904647","GSM3904648","GSM3904649","GSM3904650","GSM3904651"
"hsa-miR-222",3.21020871582661,2.35749073733694,3.19544189174155,6.06575513321543,6.08941848219553,6.06071662767489,7.0538660520122,5.06417142608308,2.32783190808061,2.3263834121901,5.07650701881792,3.20786133840321,3.19222462887231,4.08434681650248,4.11398149899096,4.12669867355879,1.0173870285211,4.12842114827656,5.06545295819303,7.06213353783026,6.05525190015785,2.31757933517591,4.14598579627036,3.21464966275367,5.05691556968037,4.10963248513437,7.04809192637725,2.32145371359679,4.12163096543104,4.10722372719805,1.61000257678384
"hsa-miR-223",4.12283275137185,4.13838038137959,0.173060716089288,0.59684708045589,0.596028644860514,0.328522563506479,7.01831105032734,0.0224344897450861,0.044202684633856,0.0451215858301615,0.0444400890105903,0.0892214088808349,0.0880139337461285,0.0873240642858261,0.0897488515554065,0.595248984686959,0.593045032285763,0.171363593470034,1.00987305448963,3.21099544036473,0.587636441716144,0.0222187238782964,0.00141675201215827,0.0226782866550293,1.00808603685213,0.324667639944819,1.60770788525159,0.575846387245024,0.324247917508655,0.169032883655811,0.000698066634367432
"hsa-miR-224",0.17133324347768,0.1738114734113,0.16998311843994,0.328502607105788,0.589176080296363,0.593084799822856,1.58400866023158,0.584227876142947,0.0439044362791798,0.0874935550521775,0.318567852773291,0.599606675168882,0.086984357447502,0.581663404406556,0.327501871100492,0.333319844491818,0.088554924750241,0.170769634834338,0.324147490923185,1.62153644654419,1.01479357714264,0.0435389091102342,0.330225319879551,0.0882772553978795,0.320962793702505,0.326177308237535,2.34769712031474,0.0427130948957927,0.323493481226905,0.320083833278251,0.0876701942419153
"hsa-miR-23a",0.000174007381657661,0.0226983112524218,8.71217229053686e-05,0.592555786588218,0.601658744471522,0.561468147850798,0.995850488257911,0.98343125185324,0.000344604258701072,0.000694331856932538,0.315360714235181,0.00141846713312989,0.00138952599524664,0.00275306332072081,0.000699523050746634,4.39726747060564e-05,8.81892523724547e-05,0.312102145476947,0.601212840231124,1.57670968334096,1.00343958793098,0.000688881083323744,0.00141675201215827,0.000707223287167975,0.564858658431478,0.320701582969326,0.570083641821279,0.000678037155011903,0.311785395718374,0.00138990073480605,0.000698066634367432
"hsa-miR-23b",0.000174007381657661,0.000175276799618198,8.71217229053686e-05,0.000351383290019542,0.00552482666620168,0.00140602885666402,0.00139684781208135,0.000694966337178484,0.0054253415825908,0.000694331856932538,0.000696004576979169,0.00141846713312989,0.00138952599524664,0.0410907972183112,0.000699523050746634,4.39726747060564e-05,8.81892523724547e-05,0.000347142793308539,0.000695990156986822,0.0028161027181358,0.000173040892234554,0.000688881083323744,0.00141675201215827,0.01180851802001,0.000349205349388118,0.000173401522692124,0.00139977364581857,0.000678037155011903,0.000348498599734696,0.00138990073480605,0.000698066634367432
"hsa-miR-24",2.31871619057601,2.3338178934334,3.16623314755764,6.03267238660614,6.04716767774511,5.0588021777361,7.03003230125369,5.0465468967549,2.31286084177565,2.32428457463969,5.05924546913229,3.19936578884023,2.30915988283649,4.0801002533258,5.06322848920216,4.13772013880383,1.62344193448481,4.08573678800392,6.02834265229139,8.04727817514693,6.01572386791858,2.31528872393244,4.11198496085767,3.1925407934708,6.05759318397824,4.09285264607277,7.01284859644601,3.14481030445916,4.08422542166594,4.10307186182847,1.5840633061309
"hsa-miR-25",0.327847477197068,0.171184494941064,0.0451649735506046,0.333326039353305,0.175772119818038,0.0883116294279945,1.0167632686602,0.325483899785173,0.0111313696061103,0.0225145289853837,0.0884999324695881,0.176517931821211,0.0227871120219263,0.00275306332072081,0.089745963952431,0.0895023134964202,0.023210633384569,0.172708588065838,0.173150593188546,0.603971935641722,0.323217599414144,0.0225749922426778,0.0455810406940291,0.000707223287167975,0.08815933525873,0.0883948538001727,0.330086839907179,0.000678037155011903,0.0899913895743609,0.0882740527224928,0.0114843319573878
"hsa-miR-26a",0.590481818183851,0.585101185138429,0.32052403893824,1.01969816449791,1.01265955864011,1.0170455234458,2.33455865671372,0.590060411955499,0.170656140703182,0.169228235928573,0.585053176063866,0.326897585759845,0.17133447337581,0.318800742053897,0.323971661305366,0.596369857661403,0.0885012486182325,0.322828021231165,0.585716227371536,1.01704198045315,2.31836199734465,0.0859172504641888,0.174155136316584,0.173255242282712,0.580953688331602,0.587442083042949,0.999524077403573,0.163106459124546,0.587280884885152,0.320387998325085,0.0880472553721535
"hsa-miR-26b",0.0454464237190028,0.0875504186675574,0.011356787070935,0.324273083557541,0.17393602454666,0.594938702804656,1.60786645276545,0.0877785702119514,0.0869075038593178,0.0443648804426694,0.170116655556816,0.0903776961444553,0.0222848960763401,0.0440379937895393,0.173942278037184,0.0226051021984829,0.00270606276329779,0.0874798955022106,0.173765392265429,0.169902007906116,0.583882980282708,0.0220940567585419,0.0451299614537222,0.0457441158981667,0.022307653610494,0.0873762905300519,0.325851260617895,0.0108110120849745,0.171780703452359,0.0883717989722291,0.0113368191421792
"hsa-miR-27a",0.32342359046912,0.329221334493141,0.326963282961362,1.6059970987087,1.62434513287108,1.02207332048154,3.20373136600272,1.60027283683812,0.594790367010743,0.596018489503515,1.00848179025793,0.60017548991253,0.323254325974414,0.584050082744531,0.59280575356498,0.331961818001712,0.0895698905916909,0.321123793305337,1.01075932584666,1.61528159392151,1.60579633421726,0.588812394382304,0.598967628641539,0.334143653546307,1.00799452597188,0.590073839134233,1.60465308228417,0.16938724405571,1.01600935132049,1.01042086732264,0.173806702936328
"hsa-miR-27b",0.170236051430865,0.17056914598916,0.170148698009827,1.00668792799645,1.0299347590937,0.324000024601265,1.59205184648927,1.00797642683244,0.168497566291049,0.324200418852082,0.59300694700307,0.328208881755833,0.171602976032511,0.167471964227683,0.323383628313179,0.172022654719712,0.0894957644242794,0.325579847177638,0.587698342201638,1.00728480218114,1.00352930858141,0.169258899663317,0.172387995562606,0.0886511324552629,0.593578789952047,0.591716206626189,1.00107039992625,0.0855894621697689,0.321690169086342,0.5891164010061,0.0894356281795108
"hsa-miR-28-3p",0.0883266516940483,0.0870878004228582,0.0874717214353081,0.325919192323019,0.60298437511574,0.329017972793006,1.0184844208882,0.170019921241409,0.0439218173675008,0.0870737974814473,0.171234066678371,0.00141846713312989,0.0869628149493847,0.317591802907956,0.0876927851195114,0.0882437355193894,0.0113057859990003,0.171512502880808,0.324704721269137,1.01407045400464,0.322996678364924,0.0441634096035262,0.00141675201215827,0.0454580826329816,0.327523393429054,0.169760858293136,1.01138356083846,0.167728278982181,0.171076658678156,0.169776723244324,0.000698066634367432
