"","GSM5259648","GSM5259649","GSM5259650","GSM5259651","GSM5259652","GSM5259653","GSM5259654","GSM5259655","GSM5259656","GSM5259657","GSM5259658","GSM5259659","GSM5259660","GSM5259661","GSM5259662","GSM5259663","GSM5259664","GSM5259665","GSM5259666","GSM5259667","GSM5259668","GSM5259669","GSM5259670","GSM5259671","GSM5259672","GSM5259673","GSM5259674","GSM5259675","GSM5259676","GSM5259677","GSM5259678","GSM5259679","GSM5259680","GSM5259681","GSM5259682","GSM5259683","GSM5259684","GSM5259685","GSM5259686","GSM5259687","GSM5259688","GSM5259689"
"hsa-miR-525-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,33.503,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-876-5p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,39.119,33.351,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,39.363,40
"hsa-miR-582-5p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,35.329,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,38.791,40,40,37.427,40,40,39.942,40,40,40,40,40
"hsa-miR-488-3p",40,40,40,37.196,40,39.762,40,40,40,40,37.998,40,39.758,40,40,39.884,40,35.849,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,39.58,40
"hsa-miR-892a",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,30.015,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-491-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,31.397,40,39.123,38.258,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-576-5p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,33.944,40,40,40,40,39.123,40,40,40,34.972,40,40,39.942,40,40,40,40,40
"hsa-miR-127-5p",40,34.622,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,33.944,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-299-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,37.66,39.884,40,40,35.329,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,37.265,37.734,40,39.942,40,40,40,40,40
"hsa-miR-520f-3p",40,37.156,40,40,38.951,39.762,40,40,40,40,38.951,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,32.011,40,40,40,40,40,39.123,39.763,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-372-3p",40,40,40,38.281,39.58,31.655,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,38.203,40,40,40,39.123,40,40,40,40,40,39.101,39.942,40,40,40,40,40
"hsa-miR-516b-5p",40,36.711,40,35.042,40,39.762,40,40,40,40,40,40,39.758,40,37.968,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,39.761,40,40,40,37.463,40,39.942,40,40,40,40,40
"hsa-miR-615-5p",40,37.196,40,38.311,40,39.762,37.463,40,40,40,39.254,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,38.669,40,40,40,39.347,39.123,40,40,40,38.808,37.836,40,39.942,40,40,40,40,40
"hsa-miR-516a-5p",40,40,40,40,38.05,39.762,40,36.311,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,36.793,40,40,34.88,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-199b-5p",40,40,40,40,37.265,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,39.506,39.123,35.121,40,40,38.628,40,40,39.942,40,40,40,35.177,40
"hsa-miR-515-5p",40,40,40,40,40,39.762,38.02,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,28.982,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,38.311,40
"hsa-miR-33b-5p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,24.764,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,38.951,40
"hsa-miR-188-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,32.778,40,40,40,40,39.123,30.918,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-208a-3p",40,40,40,40,37.87,39.762,35.849,36.406,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,33.453,40,39.942,40,40,40,40,40
"hsa-miR-885-3p",40,40,22.978,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-542-5p",40,40,40,40,38.311,39.762,40,40,40,40,38.364,34.622,39.758,40,38.05,39.884,40,40,40,39.756,40,40,40,39.751,40,36.342,38.311,40,40,39.123,40,40,40,38.951,40,40,39.942,40,40,40,39.529,40
"hsa-miR-518a-5p",40,40,40,40,40,39.762,40,40,40,34.435,40,40,39.758,40,40,39.884,37.265,40,40,39.756,40,36.599,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,33.944,40,40,40,40,40
"hsa-miR-325",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,21.836,40,40
"hsa-miR-873-5p",40,40,40,36.255,40,39.762,40,35.329,40,40,39.393,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,35.078,38.311,40,40,38.092,39.123,40,40,40,40,40,40,39.942,40,40,40,38.791,40
"hsa-miR-518a-3p",40,37.734,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,25.488,40,40,39.756,40,40,40,39.751,37.968,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-219a-2-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,33.653,39.756,35.79,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,34.522,36.376
"hsa-miR-889-3p",40,40,40,40,38.149,39.762,40,40,40,40,36.128,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,35.752,40,40,39.123,40,40,40,40,40,37.427,39.942,40,40,40,38.281,34.152
