"","GSM5324369","GSM5324370","GSM5324371","GSM5324372","GSM5324373","GSM5324374","GSM5324375","GSM5324376","GSM5324377","GSM5324378","GSM5324379","GSM5324380","GSM5324381","GSM5324382","GSM5324383","GSM5324384","GSM5324385","GSM5324386","GSM5324387","GSM5324388","GSM5324389","GSM5324390","GSM5324391","GSM5324392","GSM5324393","GSM5324394","GSM5324395","GSM5324396","GSM5324397","GSM5324398","GSM5324399","GSM5324400","GSM5324401","GSM5324402","GSM5324403","GSM5324404","GSM5324405","GSM5324406","GSM5324407","GSM5324408","GSM5324409","GSM5324410","GSM5324411","GSM5324412","GSM5324413","GSM5324414","GSM5324415","GSM5324416","GSM5324417","GSM5324418","GSM5324419","GSM5324420","GSM5324421","GSM5324422","GSM5324423","GSM5324424","GSM5324425","GSM5324426","GSM5324427","GSM5324428","GSM5324429","GSM5324430","GSM5324431","GSM5324432","GSM5324433","GSM5324434","GSM5324435","GSM5324436","GSM5324437","GSM5324438","GSM5324439"
"hsa-let-7e-3p",0,0,0,2.58496250072116,0,1.58496250072116,0,0,2,0,1.58496250072116,2.8073549220576,0,0,0,0,0,0,1,3.32192809488736,0,2.32192809488736,0,3.16992500144231,0,0,0,0,0,3.4594316186373,2,3,3.58496250072116,0,1.58496250072116,3,0,0,0,0,0,0,0,1,0,3.70043971814109,0,0,0,0,0,0,0,0,1.58496250072116,0,2,0,0,0,0,0,1.58496250072116,0,0,0,1.58496250072116,0,0,0,0
"hsa-let-7f-5p",16.7671757816384,13.4412583314061,16.0444368121169,16.9391774405287,16.8315175555138,15.8042318772105,16.8847548258417,17.5617801772853,17.6825214508797,19.1528022474272,14.5301014758168,16.9325723358024,17.5035074430687,17.2017314841923,17.9195267728184,18.7926155633073,16.2034627165361,16.8686899480337,17.5027541241326,19.8553065002939,15.5633154588863,17.6579045649463,18.2323319177615,17.8048053618178,18.4738721901975,16.5685054161841,17.7517859350042,15.2172382908345,16.7776919623497,15.7070894644151,18.2465782490603,16.8964743199728,17.7442754312665,17.9456038627662,20.3729617448446,18.8937873725525,18.1976198602044,16.6200049863542,17.4356214324351,17.7075546096238,16.8786017836658,18.0526635650576,15.960115090833,19.0771677745311,16.6087890331628,19.9770814364077,16.7683394227012,12.868822554775,15.2526654324502,15.5261629786502,11.5636729598275,12.1195896207411,15.3575863671814,8.38370429247405,13.4985999287703,14.9241165916532,14.9717231611768,12.4850745636986,14.2942617534333,12.8350634920051,13.6417130983539,11.9399464524587,13.4424251933316,10.9858419370033,13.7794115802002,13.9968265280207,13.8401878240405,12.6553071015105,11.0633950812885,12.7675637662868,13.7160692020146
"hsa-let-7f-1-3p",4.58496250072116,0,0,3.58496250072116,0,4.32192809488736,4.52356195605701,4.32192809488736,1,3.32192809488736,1,4.39231742277876,1.58496250072116,0,2,5.28540221886225,0,3.16992500144231,4.85798099512757,3.70043971814109,2,3.90689059560852,3.32192809488736,3.4594316186373,4.90689059560852,3.32192809488736,0,0,3.70043971814109,0,5.32192809488736,0,3.8073549220576,4,5.78135971352466,4.52356195605701,5.52356195605701,0,3.32192809488736,0,2.32192809488736,4.8073549220576,4.39231742277876,4.39231742277876,0,5.52356195605701,2,0,1.58496250072116,4.95419631038687,2,0,1.58496250072116,0,2.32192809488736,4.39231742277876,4.24792751344359,1,1.58496250072116,3,3,1,2.32192809488736,0,2.32192809488736,3.16992500144231,1.58496250072116,1,1,1,2.8073549220576
"hsa-let-7f-2-3p",5.24792751344359,0,2,5.08746284125034,2.8073549220576,4.24792751344359,3.4594316186373,4.52356195605701,6.58496250072116,5.90689059560852,4.64385618977472,5.83289001416474,4.4594316186373,4.4594316186373,4.52356195605701,6.37503943134692,0,4.64385618977472,4.85798099512757,5.90689059560852,3.58496250072116,5.35755200461808,5.7279204545632,5.28540221886225,6.16992500144231,4.24792751344359,2.58496250072116,3.58496250072116,3.58496250072116,3.58496250072116,5.12928301694497,4.8073549220576,5.4262647547021,4.58496250072116,8.21916852046216,6.12928301694497,6.79441586635011,3.32192809488736,5.32192809488736,7.89481776330794,2,3.8073549220576,0,6.55458885167764,5,5.64385618977472,3.90689059560852,4,4.90689059560852,5.75488750216347,2.8073549220576,2.32192809488736,4.70043971814109,0,2.58496250072116,4.95419631038687,5.16992500144231,1.58496250072116,3,4.39231742277876,2.8073549220576,4.85798099512757,3.8073549220576,3.32192809488736,2.8073549220576,2.58496250072116,2.8073549220576,2,2,0,2
"hsa-miR-15a-5p",12.9781741744682,10.1947568544222,10.8719052376592,12.331196877153,11.4496645384762,12.6254805504711,12.7519624134609,13.1620765703743,13.196755792715,13.9473629825044,13.8786257298054,12.1623913287569,13.3534225436147,12.983171762188,11.4051414631363,15.0426426275994,11.3842441222431,12.2926092227643,13.5535093043092,13.2309210881379,11.6370776571437,13.8772841335232,13.5784906308696,12.3356694869461,14.4018794790965,12.0334230015375,13.1454545640095,10.4848228942621,11.8085620299575,12.0794847838268,12.6270778405174,11.8818787076004,12.3847837500934,13.4265268484517,15.167143694041,14.3010674382185,13.7597841789655,12.4921035424792,12.6917435191713,12.8107724413447,11.0741414627525,13.1134166114859,11.0478055540076,14.590353130978,12.9270371687203,12.4120405145517,13.0323901688665,10.0320457269308,11.9650627567446,12.1789760113745,8.71080643369935,8.83920378809694,12.5063075811003,4.08746284125034,9.98584193700334,12.3219280948874,13.1755495506362,8.79766152585376,10.7039035734447,10.8376279331714,10.8360503550581,8.79766152585376,10.4367115421372,8.65463602852797,11.8955752823807,11.1395513523988,11.0063260785249,9.70043971814109,9.54109661534952,9.76652890859886,10.6229669447905
"hsa-miR-15a-3p",0,0,0,0,2.8073549220576,2.32192809488736,2.58496250072116,3,0,4,2.32192809488736,1,2.58496250072116,0,0,4.52356195605701,0,2.58496250072116,2,2,0,3.4594316186373,0,3.16992500144231,2,2.32192809488736,1,0,0,0,4,0,3.32192809488736,3.16992500144231,3.8073549220576,0,2.58496250072116,0,0,0,0,0,0,4.32192809488736,0,3.58496250072116,0,0,2.32192809488736,1.58496250072116,0,1,2.32192809488736,0,1.58496250072116,1.58496250072116,2,0,1.58496250072116,1.58496250072116,0,3.32192809488736,0,0,3.16992500144231,0,2.8073549220576,2.58496250072116,1,0,1
"hsa-miR-16-5p",19.7062228158167,16.6595778693896,17.9195675062858,19.4960657583693,18.0753329003979,18.7608173884545,19.8943263468683,20.7307197173868,19.3281358142607,20.5493955046597,19.0177354582632,18.365053663007,20.440997887047,19.3937779788462,19.2672141735945,21.9654570347338,18.5044000438299,19.1357668925688,20.4534243768363,20.531282454609,18.0985410417349,19.9633279224943,20.9011666800162,19.5748207782527,21.0232101867915,19.4478782785288,20.5170503467958,17.6968045620184,19.2052467717365,18.7163237980166,19.8604338247703,18.8684518280648,19.9062843555275,20.3469367685361,22.3970047624794,20.8640750322019,21.8981227014527,19.6085129284311,20.1669917429173,19.787306370813,18.5612879451648,20.71061728143,18.3746150069118,21.3399771880032,19.8393529742063,20.2270482838383,19.5774859935761,15.7658299597851,17.3869234101925,18.1387167732006,14.0747268533229,15.3521813969179,18.8284681300339,9.00562454919388,15.3494885771361,18.352228821444,19.0377051261297,14.9638895036987,16.9963410767244,16.2399713861093,16.8900386007356,13.7391477099865,16.5578974261696,14.473261814179,18.1346469111939,17.6442013245479,16.4446913933995,15.6073014133191,14.9926728501891,15.3907063728728,16.7532428695798
"hsa-miR-16-1-3p",0,0,0,0,0,1.58496250072116,2.32192809488736,0,3,4.58496250072116,3.16992500144231,3.90689059560852,0,3.70043971814109,2.8073549220576,5.12928301694497,0,2,2.32192809488736,3.4594316186373,0,4.39231742277876,2.32192809488736,2,4.24792751344359,2,2.58496250072116,0,0,3,3,0,2,0,6.28540221886225,3.70043971814109,4,0,0,6.76818432477693,0,0,0,6.14974711950468,0,3.4594316186373,1,0,4.8073549220576,2.8073549220576,0,1,3.90689059560852,0,0,2.32192809488736,2,0,0,3.32192809488736,2,4.58496250072116,0,0,1.58496250072116,3,0,0,0,0,0
"hsa-miR-17-5p",9.88264304936184,6.90689059560852,9.07414146275251,9.64024493622235,8.92481250360578,8.7714894695006,9.8811139606751,10.8626373575588,10.1228279948077,11.6284455401372,9.09539702279256,10.0498485494506,10.3520434257954,9.20945336562895,10.4199601778479,12.6289011520282,8.76155123244448,10.4757334309664,10.5255208090951,13.1000052244227,8.85486838326024,10.4542992936199,11.617008227652,10.753216749179,11.6768386064742,10.0808175276083,11.495355392236,8.14465824283188,10.1560830762887,9.19721669311005,11.8037275265531,9.74483383749955,11.237209960755,11.116993677547,14.4806008917408,12.6893428461342,13.3079123024929,9.89330153086056,10.8313072438021,11.5323559252888,10.3619437737352,11.6110247973074,9.24317398347295,12.8517490414161,8.31288295528435,13.3593377735232,10.7372473430277,7.18982455888002,9.5274770060604,10.2749604721406,6.75488750216347,7.15987133677839,10.5420645422834,0,7.67948009950545,8.98299357469431,9.90237511448603,7.11894107272351,9.19229281447077,6.98868468677217,7.67948009950545,6.88264304936184,7.79441586635011,7.4093909361377,8.7176764230664,8.56224242422107,9.10328780841202,6.96578428466209,6.20945336562895,7.86418614465428,8.56985560833095
"hsa-miR-17-3p",3,0,1,2.32192809488736,4.32192809488736,2.8073549220576,3.8073549220576,3.90689059560852,5.55458885167764,7.81378119121704,6.04439411935845,6.39231742277876,0,2.32192809488736,3.70043971814109,6.39231742277876,0,4.58496250072116,3.58496250072116,8.12412131182919,2.8073549220576,6.76818432477693,5.90689059560852,4.24792751344359,6.04439411935845,2.8073549220576,4.64385618977472,0,4.64385618977472,2,6.58496250072116,2.8073549220576,3.58496250072116,3.70043971814109,8.93073733756289,6.5077946401987,5.97727992349992,2.8073549220576,4.32192809488736,6.78135971352466,3.16992500144231,5.78135971352466,0,7.8703647195834,6,7.21916852046216,5.04439411935845,2.32192809488736,5.58496250072116,4.32192809488736,0,1,5.88264304936184,0,5.04439411935845,3.8073549220576,3.90689059560852,1,3.16992500144231,3.4594316186373,2.8073549220576,5.4594316186373,0,3.90689059560852,4.64385618977472,4.16992500144231,3.58496250072116,0,1,2.58496250072116,1.58496250072116
