"","GSM1399577","GSM1399578","GSM1399579","GSM1399580","GSM1399581","GSM1399582","GSM1399583","GSM1399584"
"hsa-miR-24-1*",3.27262045466299,4.82746338693883,4.71468512916976,3.55446606389588,4.33292271095895,3.62503664626844,4.37587351985015,3.6815617079354
"hsa-miR-24",10.4789000324041,11.1340932040407,11.3228193599798,9.48979779631819,9.14530297833079,8.62056075253752,11.1664405456099,9.96105025713022
"hsa-miR-25",7.3380232141887,7.33362051650259,7.46528069433398,9.32386766618714,5.30822979988149,5.99263249204298,9.06951152875992,7.95274124718649
"hsa-miR-26a",10.7685672830069,10.15305162488,10.0725426384916,3.31469652565629,6.29296575471765,6.2577084059738,9.28652079857135,8.29203168408987
"hsa-miR-26b",8.56244850879265,8.38722035308966,8.42653313811667,5.2060180040209,5.02697706628104,5.70387589557646,8.01211608432581,6.52750828366261
"hsa-miR-27a",10.7776169711788,11.3373877516486,11.6847534410835,4.62772355630785,3.7578766597479,3.90486940738916,11.0340485385156,9.54298927366152
"hsa-miR-28-5p",6.9223286937609,6.70063391401832,7.26266805003409,10.6113586816897,3.78156954481597,7.2478136119705,7.91968569666029,6.13809769337092
"hsa-miR-29a",12.4820074976769,12.5677852323401,12.2017771924664,4.8293929385271,4.92690082129775,4.22380865860602,12.4184782852242,10.9966380157902
"hsa-miR-30a",8.6535509143523,8.63050012194012,9.18226025847712,4.67508197942648,4.03597574366513,4.31346354588161,11.1159838924105,9.59003306842786
"hsa-miR-30a*",6.37277801706204,6.34638962502836,6.43716114325472,3.80766403787657,4.51380653743372,3.65466466735122,8.45479690159252,7.20988221122127
"hsa-miR-31",9.28822704132984,9.99628422410622,9.66003512464178,4.88406059529864,4.21754093986252,5.4805559586729,3.73400503372005,11.5227516827363
"hsa-miR-32",4.67440415393769,4.48684306443981,4.21800615028443,7.21503786047663,3.5457213111304,4.26220762493905,5.25674650236607,4.31135779237161
"hsa-miR-33a",3.53717179860023,7.31976242766925,4.00171218395292,6.01634031069995,7.77166113009337,4.39958128053752,4.83471121580472,3.69788499707159
"hsa-miR-92a",6.9982406430929,6.82908844400489,7.44905782909535,3.97700509826985,5.55845132716222,5.61526914804853,8.63148266364434,7.62596448788866
"hsa-miR-93",6.50438204203692,6.42090341305468,7.93460495712158,4.07578931563399,5.59529478400598,6.53794830111146,9.58987207445821,8.06866006349276
"hsa-miR-95",3.26813492392489,3.4231747515708,3.57978355900252,8.08394729626854,3.7578766597479,3.88772021635919,4.1129502893909,3.78230371409402
"hsa-miR-96",3.16607267594671,7.02454131516913,5.19920118381294,5.39858979625925,4.20100646605609,12.6531641675696,7.71836847652589,5.91771816541802
"hsa-miR-98",8.95799292816296,7.56831337855457,7.8811323193499,5.24872457206237,3.84378289759757,4.51254295509686,8.41371677261071,6.81611326531369
"hsa-miR-99a",10.0849545097362,10.9366011350882,10.877155274623,4.68543562141132,4.92390979472,4.50054713742068,10.6041019109117,9.02567112930452
"hsa-miR-100",10.6520230299901,11.9515371645104,11.6976170273248,5.2413444579322,5.29156672404726,4.47521461587823,11.2767897530876,10.2298402377279
"hsa-miR-101",4.61441538650813,3.45312244659581,3.62503664626844,3.51172103270762,4.27015513876653,4.86725402523603,6.56725641728299,3.77957491427981
"hsa-miR-29b",11.240693559433,10.7850355385308,10.9188386456723,7.009391964629,3.71006251370151,4.02662303068641,12.5095929243275,10.7858725459468
"hsa-miR-103a",9.82669942215832,10.0312807717813,10.5703054312565,4.04246924243396,5.42660022616993,6.10450440529959,11.8644187063057,9.83066097439976
"hsa-miR-105",3.59621957898946,6.16204886834889,4.38598315929781,4.04561770521798,5.75806327661922,3.8171115727957,8.36553944916664,7.30597052098439
"hsa-miR-106a",8.55000408719813,8.54811290680049,9.64846364540977,3.63517394667492,6.14730669878029,6.56670862196287,11.1460951242272,9.49368535727477
"hsa-miR-107",9.39586612061965,9.64577730126025,10.1478218186889,3.4942875927355,5.40442632200452,5.20879035342002,11.4506102072718,10.0499873681435
"hsa-miR-192",4.74706509372572,4.46786635273041,5.41498114290309,5.69315238072582,4.02582613280087,4.74383806798219,6.97732572261552,5.2258147596386
"hsa-miR-196a",7.88812220852061,6.87066062667928,6.5092999647965,3.49825086752783,3.61553400582907,10.748595405991,3.91714528849154,3.8613599063222
"hsa-miR-197",3.69877410890368,3.81044310384517,3.6056128547021,5.20343610380364,5.19037781526427,4.37788724511564,4.8741575933097,3.68178656688861
"hsa-miR-198",3.5489297694764,3.35614381022528,12.0930015328401,4.67333027851733,5.12089102533812,4.26408598762516,3.93593113975227,4.02556040232443
"hsa-miR-199a-5p",11.1607960550549,10.257777930521,10.2141636705363,4.12655993801433,4.54417623950576,3.88801258540283,4.45674045123912,3.93517683868763
"hsa-miR-208a",3.13274133671738,18.347975541566,4.22843392051337,3.70487196445635,3.74286855102444,5.40558399196799,7.47793631599449,7.13422093976063
"hsa-miR-129-5p",5.84141967786825,5.99552974371853,5.87344411251538,4.47014636704151,4.38162946703366,4.37781785308364,4.77578803485639,4.37121034345557
"hsa-miR-148a",6.6111576224497,4.73747044908606,5.78884228985587,3.8569856897822,5.1129919779477,3.65041992519221,6.37564766849185,4.52299731273403
"hsa-miR-30c",8.49231388365146,8.54080611059151,8.77919404630654,3.67038715697383,5.50550988600518,5.64685387894268,10.2253894195766,9.11851287126647
"hsa-miR-30d",8.40232141045609,8.23963671422046,8.75082755465506,4.31607331602557,4.3956112485038,5.23641608080517,10.7454810554606,9.16777940161705
"hsa-miR-139-5p",6.05993926398308,4.63174456179176,3.71731998881557,3.66857301647589,5.97640946394518,7.24948326632449,3.58086906299287,4.09009124233395
"hsa-miR-147",3.8675999893454,3.34851571723545,3.70829761397424,3.5126061605049,5.31001285931932,8.92289654406856,4.65586698485473,5.28121603492904
"hsa-miR-7",4.48478262307787,5.30808414667178,6.77151588015205,6.44086916761087,9.40956065498278,4.42653313811667,7.26075020988341,5.50795316940504
"hsa-miR-10a",10.2007220877951,8.59053091282906,8.3803441728334,5.29590665529703,5.2791369557898,4.6417194195139,8.79520523345727,7.10009460959239
"hsa-miR-10b",9.96968582253157,9.14535902867286,8.56843119316746,3.61835613412171,4.75664971941103,3.78575977442701,6.40342111984747,4.59526494203758
"hsa-miR-34a",9.73537324275634,9.43852574019072,9.39629651666892,3.39876079044476,3.57385922157595,4.57990421089813,5.21342505295477,6.94444853103254
"hsa-miR-181a",7.73479766934893,8.83522617350095,8.52991072183588,3.39670752138398,5.0336872878706,4.04071712290735,8.55747518950198,7.96978365753082
"hsa-miR-181b",6.70755239885347,7.30587934677885,7.2035731388369,3.4594316186373,3.74006405884686,5.38905048785353,7.71286399114806,6.75528819513671
"hsa-miR-181c",6.24796547860302,7.29272654300422,7.26078783910741,9.94727749775635,4.07090448413358,3.75702324650746,6.84135677340291,5.27805911110695
"hsa-miR-182",3.50525580093216,7.50718414006649,5.32707653230024,3.91217080294995,4.08873524619028,6.11665586158262,7.8524546027955,6.33751486655071
"hsa-miR-182*",5.10013667128545,5.79983851413101,5.93128120202014,4.78502736223547,9.85664961918841,3.99276843076892,5.90972510949632,4.0309539916356
"hsa-miR-183",3.5126061605049,3.99774402605963,5.20855627634418,3.57204077457974,3.63075491923525,4.06056624540576,4.65145358008402,4.29484127140614
