"","GSM3182557","GSM3182558","GSM3182559","GSM3182560","GSM3182561","GSM3182562","GSM3182563","GSM3182564","GSM3182565","GSM3182566","GSM3182567","GSM3182568","GSM3182569","GSM3182570","GSM3182571","GSM3182572","GSM3182573","GSM3182574","GSM3182575","GSM3182576","GSM3182577","GSM3182578","GSM3182579","GSM3182580","GSM3182581","GSM3182582","GSM3182583","GSM3182584","GSM3182585","GSM3182586","GSM3182587","GSM3182588","GSM3182589","GSM3182590","GSM3182591","GSM3182592","GSM3182593","GSM3182594","GSM3182595","GSM3182596","GSM3182597","GSM3182598","GSM3182599","GSM3182600","GSM3182601","GSM3182602","GSM3182603","GSM3182604","GSM3182605","GSM3182606","GSM3182607","GSM3182608","GSM3182609","GSM3182610","GSM3182611","GSM3182612","GSM3182613","GSM3182614","GSM3182615","GSM3182616","GSM3182617","GSM3182618","GSM3182619","GSM3182620","GSM3182621","GSM3182622","GSM3182623","GSM3182624","GSM3182625","GSM3182626","GSM3182627","GSM3182628","GSM3182629","GSM3182630","GSM3182631","GSM3182632","GSM3182633","GSM3182634","GSM3182635","GSM3182636","GSM3182637","GSM3182638","GSM3182639","GSM3182640","GSM3182641","GSM3182642","GSM3182643","GSM3182644","GSM3182645","GSM3182646","GSM3182647","GSM3182648","GSM3182649","GSM3182650","GSM3182651","GSM3182652","GSM3182653","GSM3182654","GSM3182655","GSM3182656","GSM3182657","GSM3182658","GSM3182659","GSM3182660","GSM3182661","GSM3182662"
"hsa-let-7d-3p",7.06608919045777,5.85798099512757,0,6.8073549220576,8.81057163474115,5.8073549220576,6.55458885167764,0,0,0,0,8.55074678538324,7.77478705960117,0,6.2667865406949,6.53915881110803,9.7632123668144,2,0,8.94544383637791,6.24792751344359,0,3.4594316186373,3,9.20945336562895,1,9.35535109642481,0,5.95419631038687,8.19475685442225,5.24792751344359,4.75488750216347,6.61470984411521,1,5.24792751344359,5.83289001416474,7.78790255939143,4.4594316186373,9.85018683764577,7.20945336562895,5.93073733756289,7.49185309632967,8.44294349584873,0,6.14974711950468,8.33091687811462,8.09275714091985,9.25974326369078,4.32192809488736,0,9.8811139606751,2.8073549220576,1,0,0,0,6.8073549220576,7.96000193206808,5.8073549220576,7.64385618977472,7.14974711950468,5.20945336562895,6.12928301694497,3,8.29920801838728,8.23840473932508,9.57742882803575,2.58496250072116,0,6.84549005094437,7.15987133677839,0,6.91886323727459,2,5.95419631038687,4.75488750216347,4.75488750216347,7.13955135239879,8.12412131182919,0,4.32192809488736,7.876516946565,8.22881869049588,0,7.12928301694497,7.44294349584873,6.61470984411521,2.58496250072116,6.74146698640115,4.75488750216347,4.08746284125034,7.11894107272351,7.8073549220576,7.28540221886225,0,3.90689059560852,6.52356195605701,0,10.6284455401372,7.32192809488736,0,2.32192809488736,5.64385618977472,5.93073733756289,7.20945336562895,0
"hsa-let-7d-5p",7.31288295528436,6.49185309632967,0,6.56985560833095,9.57931593758001,3,4.90689059560852,0,0,0,1.58496250072116,8.08746284125034,6.4757334309664,0,6.35755200461808,6.74146698640115,8.77807712953536,3,0,7.63662462054365,6.64385618977472,0,2.58496250072116,3.70043971814109,9.11113567023471,3.16992500144231,7.49984588708321,0,6.02236781302845,6.75488750216347,4.39231742277876,3.4594316186373,4.8073549220576,0,5.24792751344359,4.90689059560852,9.09011241966429,4.58496250072116,9.06069593168755,5.4594316186373,5.95419631038687,7.54689445988764,7.4594316186373,0,6.10852445677817,8.467605550083,7.19967234483636,8.54303182025524,4.24792751344359,0,9.65284497300198,2.8073549220576,3.58496250072116,0,0,0,6.24792751344359,6.22881869049588,6.68650052718322,6.91886323727459,7.90689059560852,5.75488750216347,7.66533591718518,1,7.33091687811462,8.08214904135387,9.72451385311995,2.58496250072116,0,6.83289001416474,4.90689059560852,0,6.75488750216347,1,5.20945336562895,6,4,5.85798099512757,7.53915881110803,0,5.08746284125034,6.56985560833095,7.69348695749933,0,7.36632221424582,8.01122725542325,6.18982455888002,2.58496250072116,5.12928301694497,5,3.16992500144231,7.37503943134692,7.33985000288462,7.92481250360578,0,2.58496250072116,7.29462074889163,0,9.4594316186373,7.8703647195834,0,1.58496250072116,5.97727992349992,5.58496250072116,6.76818432477693,0
"hsa-let-7e-3p",0,0,0,0,0,0,0,0,0,0,0,1.58496250072116,0,0,0,1.58496250072116,2,0,0,0,0,0,0,0,2.8073549220576,0,2.32192809488736,0,0,0,0,0,0,0,0,1,1.58496250072116,0,2.58496250072116,0,0,2.8073549220576,1,0,0,0,1.58496250072116,0,0,0,0,1,0,0,0,0,1.58496250072116,0,0,1.58496250072116,1.58496250072116,0,0,0,1,0,1.58496250072116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.58496250072116,1,0,1.58496250072116,0,2,0,0,0,0,1,3.16992500144231,0,0,1,0,0,2.32192809488736,0,0,0,1,0,0,0
"hsa-let-7e-5p",9.39231742277876,8.52356195605701,0,7.90689059560852,12.7956338445068,6.7279204545632,7.84549005094437,0,0,1.58496250072116,4.16992500144231,10.5137275959524,9.65105169117893,0,8.64385618977473,9.16992500144231,11.3923174227788,6,0,10.6555307231556,8.99435343685886,0,6.53915881110803,6.02236781302845,11.4141566792741,6.95419631038687,10.8073549220576,1.58496250072116,8.17492568250068,10.2288186904959,7.05528243550119,5.8073549220576,7.49984588708321,0,7.8008998999203,6.96578428466209,11.5985178106126,7.74819284958946,12.2348174311173,8.06608919045777,8.7176764230664,9.4178525148859,10.7632123668144,0,8.54303182025524,10.5449644327892,11.2027360432502,11.577900836887,6.93073733756289,1.58496250072116,11.6416002158344,4,6.4757334309664,0,0,1,8.8073549220576,9.87498134765377,10.4051414631363,9.44708322620965,9.79928162152192,9.44086916761087,10.1163439612375,5.49185309632967,9.45532722030456,11.0498485494506,12.96560393651,5.04439411935845,0,9.18487534290828,7.3037807481771,0,9.00562454919388,3.32192809488736,7.98868468677217,8.59618975614441,7.02236781302845,9.91886323727459,10.6582114827518,0,7.4178525148859,10.8025163651212,10.5622424242211,0,9.81698362325538,9.99859042974533,8.21916852046216,4.90689059560852,8.19475685442225,7.44294349584873,5.78135971352466,9.95274124718649,10.6978363579624,11.2082343583398,1,4.8073549220576,9.66355810421727,0,12.5667675960329,10.4848228942621,0,3,8.21431912080077,7.54689445988764,10.0320457269308,0
"hsa-let-7f-1-3p",2,1.58496250072116,0,1.58496250072116,2.8073549220576,0,0,0,0,0,0,2.58496250072116,1.58496250072116,0,1,1.58496250072116,0,0,0,0,0,0,0,0,1.58496250072116,0,0,0,0,0,0,0,1.58496250072116,0,0,1,1.58496250072116,0,3.16992500144231,1,0,0,2,0,1.58496250072116,3.16992500144231,0,2.32192809488736,1,0,2.32192809488736,0,0,0,0,0,1,1.58496250072116,0,2.58496250072116,1,0,0,0,1,1,1.58496250072116,0,0,1,0,0,1.58496250072116,1.58496250072116,0,0,0,0,0,0,1.58496250072116,0,1.58496250072116,0,0,0,0,0,2,0,0,1,2,2,0,0,0,0,2,2,0,0,1.58496250072116,0,0,0
"hsa-let-7f-1-5p",11.1743015444676,10.3297963382207,0,9.4757334309664,14.8320988460391,7.94251450533924,9.47775826644389,0,0,1,5.70043971814109,11.8637991037288,11.3701424794954,0,10.3966047811819,10.6238814900135,13.3227731764546,7.4262647547021,0,12.3238991823973,10.652844973002,0,8.10852445677817,7.91288933622996,13.0759804624163,8.51963625284321,11.8025163651212,2.32192809488736,9.4241662888181,11.8057438721516,8.30833903013941,7.01122725542325,8.98868468677217,1,9.17741953798924,8.48381577726426,13.3006385539937,9.30149619498255,14.1768743753448,9.38586240064146,10.0209799389042,11.0195907283579,12.7232343008934,0,10.3219280948874,12.3492812288175,13.5568652467666,13.1682020062373,8.65463602852797,2,13.3611213347348,6.33985000288462,8.56605403817109,0,0,1,10.5877775163282,11.6635581042173,12.6744129818371,10.9693865213423,11.5731737846865,11.5255208090951,12.0491678723722,6.98868468677217,11.0007042690112,13.0040448598374,15.102836895753,6.74146698640115,0,10.8097681287104,8.70390357344466,0,10.9417812422785,4.70043971814109,9.5980525001616,10.3869402453243,8.467605550083,11.9904585650737,12.5410966153495,0,8.90388184573618,12.5454471816781,12.2398968224459,0,11.7245138531199,11.6816776552097,9.71080643369935,6.71424551766612,9.87958324961278,9.467605550083,7.467605550083,11.4450148458684,12.537461094633,13.4204866128258,1.58496250072116,6.4262647547021,11.3679607096416,0,14.4125698468052,12.3415188232452,1.58496250072116,3.8073549220576,9.81858217748086,9.283088353024,12.3069161135225,0
"hsa-let-7f-2-3p",1.58496250072116,1,0,2,0,0,0,0,0,0,0,2.58496250072116,2.58496250072116,0,1,0,2.32192809488736,0,0,3.8073549220576,2.58496250072116,0,0,0,4,0,3.32192809488736,0,0,0,0,0,1.58496250072116,0,2,0,3.58496250072116,0,4.32192809488736,2,1.58496250072116,3.4594316186373,2,0,1,2.8073549220576,1,3.32192809488736,1.58496250072116,0,3.8073549220576,0,0,0,0,0,0,1,0,2.32192809488736,1,0,2.58496250072116,0,2.58496250072116,2.58496250072116,3.4594316186373,0,0,2.32192809488736,0,0,1.58496250072116,0,0,2,0,1.58496250072116,1.58496250072116,0,0,0,3.16992500144231,0,2.8073549220576,2,0,0,1.58496250072116,0,1,2.32192809488736,2.32192809488736,1,0,0,1,0,3.90689059560852,2.32192809488736,0,0,1,1.58496250072116,1.58496250072116,0
"hsa-let-7f-2-5p",11.1817734388088,10.3365065598103,0,9.4757334309664,14.8359516991247,7.94836723158468,9.4898479604393,0,0,1,5.70043971814109,11.8657332708518,11.3744961456915,0,10.4019461239765,10.6275338844728,13.3323163301992,7.4262647547021,0,12.3339938827614,10.6555307231556,0,8.11894107272351,7.91288933622996,13.0816498677,8.52356195605701,11.8097681287104,2.32192809488736,9.42836017270429,11.8077574035893,8.30833903013941,7.01122725542325,8.9915218460757,1,9.17990909001493,8.49984588708321,13.3032099489448,9.30606168942834,14.1803754031282,9.38586240064146,10.0237543532994,11.0306671362469,12.731106854388,0,10.3297963382207,12.3583764803282,13.5654591369046,13.1728962458698,8.6582114827518,2,13.3646818558646,6.33985000288462,8.56605403817109,0,0,1,10.595257481449,11.6693280043959,12.6849677251439,10.9829935746943,11.5821419816588,11.5333297323058,12.0573148777827,7.01122725542325,11.0014081943928,13.0052736565639,15.1084427801546,6.74146698640115,0,10.8121773055144,8.70043971814109,0,10.9520131648895,4.75488750216347,9.59618975614441,10.3890935219045,8.47167521439204,11.9978851278291,12.5485811181651,0,8.90086680798075,12.5529092065339,12.2425786894513,0,11.728345714711,11.6873756834375,9.7176764230664,6.7279204545632,9.88569637333939,9.46964181723952,7.467605550083,11.4506957715729,12.5415806599912,13.4277056814528,1.58496250072116,6.4262647547021,11.3717766443379,0,14.4192360159559,12.3451279919767,1.58496250072116,3.90689059560852,9.81538329581354,9.28771237954945,12.3165643853969,0
"hsa-let-7g-3p",1.58496250072116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1.58496250072116,0,3.16992500144231,0,0,1.58496250072116,0,0,0,0,0,1.58496250072116,0,0,0,0,0,1,0,1,0,2.32192809488736,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2.58496250072116,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"hsa-let-7g-5p",9.4898479604393,9.03342300153745,0,8.79116288855502,11.2562086885274,6.3037807481771,6.96578428466209,0,0,0,0,10.4178525148859,9.20945336562895,0,7.84549005094437,8.90388184573618,10.6110247973074,5.35755200461808,0,9.51766938813381,8.36632221424582,0,5.12928301694497,5.49185309632967,10.4998458870832,5.16992500144231,9.66888498426625,0,8.24792751344359,8.89481776330794,6.90689059560852,5.08746284125034,7.14974711950468,0,6.90689059560852,7.18982455888002,11.5788443915582,7.31288295528436,11.5919897676151,6.4093909361377,8.2240016741981,9.30149619498255,9.54689445988764,0,8.39231742277876,10.5736471874933,9.31741261376487,10.393390457444,5.49185309632967,1,11.311748315005,3.70043971814109,5.58496250072116,0,0,0,8.02790599656988,8.61470984411521,8.45121111183233,8.45121111183233,9.87190523765919,7.8703647195834,9.36850646150769,3.16992500144231,9.6582114827518,10.4787696194758,11.4655664048094,2.8073549220576,0,9.11634396123747,7.01122725542325,0,8.22881869049588,1.58496250072116,7.48381577726426,7.97154355395077,6.32192809488736,8.40514146313634,9.7279204545632,0,7.2667865406949,8.25266543245025,10.2691266791494,0,9.64024493622235,9.63843591399047,8.19475685442225,4.39231742277876,7.74819284958946,7.14974711950468,5.75488750216347,9.70390357344466,9.35314682549808,9.5372184005386,0,4.64385618977472,9.18982455888002,0,11.7960396088298,9.68123841177781,0,2.32192809488736,7.78790255939143,8.01680828768655,8.89178370321831,0
