"","GSM2515715","GSM2515716","GSM2515717"
"hsa-miR-1297",1.20541684653279,0.539661374649345,1.76760312679722
"hsa-miR-2681-5p",0.67788731129342,1.9140727309435,0.777900779279781
"hsa-miR-5002-5p",0.882367714231076,1.07000547941816,1.58847698481549
"hsa-miR-4451",1.12374548225216,1.40675251301801,1.06367129430404
"hsa-miR-136-5p",0.679732190197289,1.720266234893,0.960764836409559
"hsa-miR-193a-3p",1.68479347558483,0.701059565624197,0.996476933277571
"hsa-miR-7-5p",0.352030997380001,1.43564349186817,1.44075777765504
"hsa-miR-25-3p",0.907776318467608,0.776398109497748,1.61399154944764
"hsa-miR-4419b",0.358955947188826,1.33444683075577,1.4290443573642
"hsa-miR-17-5p",1.12510012564439,0.431466088651214,1.56726049891645
"hsa-miR-23c",1.31749130494385,0.768849655588055,1.1924251383693
"hsa-miR-3685",1.72018210968991,0.973154604135936,0.268887132342071
"hsa-miR-4698",1.8138796319307,0.583349649419346,0.520192244864741
"hsa-miR-4511",0.87110916685432,0.872856266789399,1.45622918658613
"hsa-miR-3124-3p",1.41263593177493,1.03739203862203,0.740480078068647
"hsa-let-7i-5p",1.01396048903011,1.38962833533725,0.786086305385576
"hsa-miR-140-5p",0.821837615502063,0.785778474110568,1.48919201853904
"hsa-miR-3175",0.253899487277288,1.66643924404808,0.938905402955064
"hsa-miR-4290",1.21816721707034,0.994347115509787,0.927850213948227
"hsa-miR-138-5p",0.246450099616907,1.27573956577562,1.35806685437437
"hsa-miR-3654",0.987393486422598,1.52124730252176,0.36491401979836
"hsa-miR-106a-5p",0.95119223477283,0.503732481717909,1.47912958868379
"hsa-miR-185-5p",0.463319383735973,0.949978281177759,1.48291122913816
"hsa-miR-3976",0.990369650668721,1.50997178600359,0.326144450165588
"hsa-miR-663a",1.86585196852918,0.261690489129275,0.159723688937997
"hsa-miR-4421",1.32340399808245,1.09134525617249,0.38391498202576
"hsa-miR-638",1.38914967989235,1.02159883224924,0.362179052515027
"hsa-miR-4644",0.791446192651475,1.4188608095165,0.591982928235516
"hsa-miR-148a-3p",1.78160132823777,0.0966312423117942,0.472804742750426
"hsa-miR-4288",1.31274364090871,1.05611846795017,0.407982741426652
"hsa-miR-3621",1.7450644393526,0.335085898659718,0.314873337325124
"hsa-miR-4268",1.23206368656663,0.874615651304949,0.742584666919733
"hsa-miR-199b-5p",1.82559192013761,0.0318840614218487,0.342887713606241
"hsa-let-7f-5p",0.984411169894305,0.68911171252454,1.15024263550134
"hsa-miR-498",0.285742945855755,1.78811406674161,0.169142841049072
"hsa-miR-10b-5p",1.63906386664625,0.0506816565517273,0.714982595426423
"hsa-miR-200a-3p",1.86098210700557,0.00963942421433913,0.19396401297917
"hsa-miR-4636",0.69258070392383,1.50770606881427,0.38391498202576
"hsa-miR-3121-5p",0.020526494723132,1.6654232615245,0.591982928235516
"hsa-miR-98",0.164500403157835,1.26772828179472,1.09859703027639
