"","GSM3124520","GSM3124521","GSM3124522","GSM3124523","GSM3124524","GSM3124525","GSM3124526","GSM3124527","GSM3124528","GSM3124529","GSM3124530","GSM3124531","GSM3124532","GSM3124533","GSM3124534","GSM3124535","GSM3124536","GSM3124537","GSM3124538","GSM3124539","GSM3124540","GSM3124541","GSM3124542","GSM3124543","GSM3124544","GSM3124545","GSM3124546","GSM3124547","GSM3124548","GSM3124549","GSM3124550","GSM3124551","GSM3124552","GSM3124553","GSM3124554","GSM3124555","GSM3124556","GSM3124557","GSM3124558","GSM3124559"
"hsa-miR-4783-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4784",0.237,0.079,0.927,0.67,1.502,2.391,1.587,1,1.267,-0.013,1.26,0.906,0.965,-0.09,1.299,1.355,1.257,1.439,1.686,1.117,1.36,0.02,0.322,1.674,1.38,1.107,1.493,1.765,0.076,1.608,0.984,1.134,0.401,1.529,0.645,0.61,1.241,1.217,1.344,0.807
"hsa-miR-4785",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-1245b-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-1245b-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-2467-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-2467-3p",-3.322,-3.322,-3.322,-3.322,-3.265,-3.322,-3.322,-3.322,-2.144,-2.811,-3.322,-3.322,-3.322,-3.322,-2.148,-2.814,-0.459,-2.871,-2.666,-2.863,-2.396,-2.656,-3.13,-3.197,-2.777,-2.996,-2.707,-3.071,-2.678,-2.846,-3.322,-3.322,-3.322,-2.852,-3.079,-3.322,-2.978,-3.257,-2.73,-3.322
"hsa-miR-4786-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4786-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4787-5p",-0.397,-0.989,-0.545,0.13,0.363,0.161,0.437,0.905,-2.111,-0.982,-0.647,0.585,0.488,0.181,0.004,-1.499,0.449,-1.362,-0.958,-1.443,0.795,1.047,0.094,-1.327,-1.55,-1.276,-1.046,-1.326,-1.001,-1.633,-0.894,-1.396,-0.396,-1.193,-2.499,-2.42,-2.114,-1.511,-0.911,0.147
"hsa-miR-4787-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.791,-2.85,-2.877,-2.754,-3.108,-2.084,-3.235,-3.017,-2.91,-2.876,-3.118,-2.758,-2.786,-3.204,-2.589,-2.437,-2.278,-0.175,-2.391,-1.772,-2.103,-2.161,-2.026,-2.61,-0.673
"hsa-miR-4788",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4789-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4789-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4790-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.091,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4790-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4791",-2.345,-2.609,-2.7,-2.411,-1.394,-2.872,-3.319,-2.665,-2.509,-2.121,-2.739,-2.3,-2.2,-2.815,-1.035,-2.594,-3.322,-2.131,-1.982,-2.426,-3.042,-3.135,-2.612,-3.005,-2.879,-2.871,-2.317,-2.853,-2.403,-3.287,-2.954,-3.322,-2.394,-1.99,-2.747,-3.322,-2.339,-2.524,-2.854,-3.197
"hsa-miR-4793-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4793-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4794",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4795-5p",-2.274,-2.48,-1.927,-1.823,-1.491,-2.625,-2.567,-2.32,-3.058,-2.841,-2.503,-1.616,-1.962,-1.942,-3.113,-2.26,-2.176,-1.915,-1.953,-2.956,-2.718,-2.268,-2.64,-2.853,-2.295,-2.301,-2.299,-2.476,-2.928,-2.603,-2.975,-2.735,-3.322,-1.377,-3.322,-2.972,-1.978,-2.816,-2.295,-1.275
"hsa-miR-4795-3p",3.153,3.112,3.257,3.187,2.478,2.754,2.727,2.503,2.855,2.376,2.598,2.53,2.971,3.037,2.561,5.262,5.451,5.313,5.481,5.047,4.464,4.45,4.551,5.078,4.805,4.914,4.957,4.973,4.68,5.2,4.955,5.22,5.887,5.77,5.538,5.42,5.439,5.459,5.447,6.284
"hsa-miR-4796-5p",-0.051,-0.367,0.209,0.176,0.46,-0.252,0.303,-0.583,-0.649,-0.13,-0.071,-0.221,0.076,0.241,0.024,-1.792,-2.038,-1.132,-2.227,-1.836,-1.766,-2.199,-1.366,-1.741,-1.632,-1.47,-1.132,-1.323,-1.316,-2.154,-1.905,-1.395,-2.415,-1.174,-1.925,-1.293,-1.757,-1.773,-2.247,-0.785
"hsa-miR-4796-3p",-0.776,-1.127,-0.74,-1.041,0.094,-0.262,-0.139,-0.43,0.767,1.587,0.478,-0.6,-0.152,-1.566,0.671,0.889,4.276,0.853,1.051,0.065,1.265,1.172,0.799,1.156,1.188,0.782,1.13,0.938,0.159,1.279,0.496,-0.086,3.275,-2.031,1.302,-0.132,-0.123,1.036,0.898,-0.613
"hsa-miR-4797-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-1.65,-3.322,-1.835,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4797-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4798-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4798-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4799-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4799-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4800-5p",-2.216,-2.543,-1.342,-1.64,-1.214,-2.057,-2.991,-2.379,-0.922,-2.23,-2.123,-2.814,-1.664,-2.241,-1.389,-2.258,-2.214,-2.23,-2.343,-2.216,-1.896,-1.663,-1.852,-1.841,-2.018,-1.697,-1.871,-1.71,-1.973,-1.871,-2.178,-1.708,-2.21,-2.713,-1.725,-1.358,-2.59,-2.294,-1.869,-2.294
"hsa-miR-4800-3p",1.351,1.571,0.337,0.413,-0.052,0.628,0.592,0.398,0.376,1.129,0.333,0.426,0.528,0.671,0.742,1.784,3.677,2.598,2.859,2.207,3.058,3.234,2.861,1.979,2.337,2.155,1.934,0.402,1.715,2.336,1.879,2.217,2.533,0.911,3.34,1.966,2.16,2.099,2.314,2.553
"hsa-miR-4801",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4802-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4802-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4803",-0.533,-0.735,-1.05,-1.518,-0.409,-1.331,-1.399,-0.354,-2.926,-1.592,-1.25,-0.738,-1.184,-1.048,-1.198,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4804-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4804-3p",-1.273,-1.246,-2.013,-2.061,-2.189,-1.509,-1.42,-1.576,-1.95,-1.193,-1.699,-1.861,-1.636,-1.552,-1.757,-1.73,-2.249,-1.801,-2.446,-1.37,-1.643,-1.986,-2.03,-1.939,-1.892,-1.847,-1.551,-1.38,-1.787,-1.938,-2.213,-2.162,-1.551,-0.384,-2.325,-2.021,-1.609,-2.246,-1.88,-1.705
