"","GSM2123259","GSM2123260","GSM2123261","GSM2123262","GSM2123263","GSM2123264","GSM2123265","GSM2123266","GSM2123267","GSM2123268","GSM2123269","GSM2123270","GSM2123271","GSM2123272","GSM2123273","GSM2123274","GSM2123275","GSM2123276","GSM2123277","GSM2123278","GSM2123279","GSM2123280","GSM2123281","GSM2123282","GSM2123283","GSM2123284","GSM2123285","GSM2123286","GSM2123287","GSM2123288","GSM2123289","GSM2123290","GSM2123291","GSM2123292","GSM2123293","GSM2123294","GSM2123295"
"hsa-miR-628-3p",1,1,0,2,4,2.58496250072116,10.2620948453702,5.4262647547021,4.90689059560852,7.13955135239879,5,3.90689059560852,1,2.58496250072116,3,0,0,0,0,2.58496250072116,1,0,0,2.58496250072116,2.32192809488736,3.32192809488736,1.58496250072116,1.58496250072116,3.8073549220576,0,6.37503943134692,5,6.95419631038687,5.7279204545632,1,0,0
"hsa-miR-628-5p",0,0,0,1.58496250072116,3,2.32192809488736,8.07681559705083,3.4594316186373,3.90689059560852,7.56224242422107,5.28540221886225,4,0,0,2.32192809488736,0,0,0,1,2.32192809488736,0,1,0,2.32192809488736,2.32192809488736,2.32192809488736,2.58496250072116,1,2.8073549220576,0,6.61470984411521,5.97727992349992,7.49185309632967,6.35755200461808,1.58496250072116,0,0
"hsa-miR-629-3p",2,0,2,3.58496250072116,4.95419631038687,3.90689059560852,10.6724253419715,5.70043971814109,5.16992500144231,9.24317398347295,6.97727992349992,6.32192809488736,0,2,3.58496250072116,0,0,0,1.58496250072116,1,0,0,2.32192809488736,2.58496250072116,3.32192809488736,4.24792751344359,3.70043971814109,2,3,0,9.62753388447279,9.08746284125034,9.29462074889163,7.78135971352466,1.58496250072116,1.58496250072116,3.16992500144231
"hsa-miR-629-5p",2,0,1.58496250072116,3.32192809488736,5.16992500144231,3.90689059560852,10.3739526553702,5.70043971814109,5.39231742277876,7.66533591718518,5.32192809488736,4.08746284125034,0,2,3.70043971814109,0,0,1,1.58496250072116,1,0,0,2.32192809488736,2.8073549220576,3.4594316186373,3.58496250072116,3.90689059560852,1.58496250072116,3.4594316186373,1.58496250072116,6.28540221886225,5.75488750216347,7.04439411935845,5.55458885167764,1.58496250072116,1.58496250072116,1.58496250072116
"hsa-miR-630",1,1,1,4.16992500144231,6.35755200461808,5.58496250072116,9.69870466677034,6.14974711950468,5.04439411935845,9.99717948093762,7.4262647547021,6.14974711950468,0,3.8073549220576,2.8073549220576,0,0,0,0,3,1,0,2.32192809488736,2.8073549220576,2.58496250072116,2.58496250072116,1.58496250072116,1,2.58496250072116,0,6.98868468677217,6.53915881110803,7.60733031374961,5.78135971352466,1.58496250072116,0,1.58496250072116
"hsa-miR-631",0,2,2.8073549220576,3.58496250072116,5.08746284125034,3.4594316186373,9.34429590791582,6.04439411935845,5.4594316186373,8.876516946565,6.14974711950468,5.4594316186373,1,5.93073733756289,5.88264304936184,0,0,0,0,4.4594316186373,0,0,1.58496250072116,1.58496250072116,4.64385618977472,5.24792751344359,5.55458885167764,1,3.32192809488736,1,7.64385618977472,6.82017896241519,8.43045255166553,6.91886323727459,2.58496250072116,1,1.58496250072116
"hsa-miR-632",0,0,1,2,4.24792751344359,2,9.49585502688717,5.52356195605701,3.70043971814109,9.87190523765919,6.96578428466209,5.58496250072116,0,1,2.8073549220576,0,0,0,0,3.8073549220576,0,1,0,1.58496250072116,2.8073549220576,4,3.4594316186373,1,2.8073549220576,1,5.97727992349992,5.28540221886225,6.70043971814109,5.52356195605701,1,0,1.58496250072116
"hsa-miR-633",1,1,0,2,2.32192809488736,2,8.62205181945638,4.64385618977472,4.64385618977472,7.02236781302845,4.39231742277876,4.39231742277876,0,1.58496250072116,2.32192809488736,1,0,0,0,0,0,0,0,1.58496250072116,1,2.58496250072116,1,0,1.58496250072116,0,10.1823943534045,9.16741814583174,10.4189067312579,8.76155123244448,0,0,1
"hsa-miR-634",1,1,2,2.8073549220576,5.16992500144231,2.32192809488736,9.97154355395077,4.85798099512757,4.16992500144231,9.82017896241519,7.03342300153745,6.68650052718322,0,2.32192809488736,2,1,0,0,0,4.64385618977472,1,0,1.58496250072116,1.58496250072116,4.08746284125034,4,3.90689059560852,1.58496250072116,3.32192809488736,1.58496250072116,8.16490692667569,7.72109918870718,9.02236781302845,7.52356195605701,1,1.58496250072116,1
"hsa-miR-635",1,1,1.58496250072116,3,5,3,8.72451385311995,6.53915881110803,5.6724253419715,7.59991284218713,5.16992500144231,4.08746284125034,0,5.32192809488736,5.28540221886225,0,0,0,1.58496250072116,2.32192809488736,0,0,2,1.58496250072116,2.32192809488736,4.32192809488736,3.90689059560852,1.58496250072116,0,0,6.35755200461808,6.04439411935845,6.8073549220576,5.24792751344359,1,0,2
