"","GSM3741565","GSM3741566","GSM3741567","GSM3741568","GSM3741569","GSM3741570","GSM3741571","GSM3741572","GSM3741573","GSM3741574","GSM3741575","GSM3741576","GSM3741577","GSM3741578","GSM3741579","GSM3741580","GSM3741581","GSM3741582","GSM3741583","GSM3741584","GSM3741585","GSM3741586","GSM3741587","GSM3741588"
"hsa-miR-101-5p",0,2.2047924866254,1.60174748657378,0,0,0.583297160349293,0.82014549131125,1.00392566379649,1.49262724834623,1.13225591041258,0,1.17545875088618,1.29051805529243,0,0,0,0,0,0,0.802142792830195,0,1.87594888382393,2.11809265376936,0
"hsa-miR-103a-2-5p",0,1.76838400823604,1.39401236681388,2.55278054027768,0.864555694371208,1.31892909674299,0,0.587580796446138,0.931308473499645,1.13225591041258,1.86514062397029,0,2.41642804392416,0,0,0,0,1.27918522220516,0,0,1.82138066077681,0.617379263946136,1.41716290234365,0
"hsa-miR-103a-3p",8.6346449969505,9.96374295454532,9.3555349193108,9.90189282565418,9.05094335694254,9.72547423605248,8.71522366898027,9.65168709007891,9.34722812290646,9.49618959916688,9.56900279396028,8.50577308849324,9.821533631018,8.53979818563698,8.1690114145215,8.54515901416211,9.33743821371661,9.18437107849397,9.34189266005732,9.48017988660674,9.32819082377183,9.91522079822772,9.48384802462424,9.90498741981178
"hsa-miR-103b",8.63018279311986,9.95677197695516,9.34924653047235,9.89699083299062,9.05094335694254,9.72377495536217,8.71434740634245,9.64626677750297,9.34320444172921,9.49618959916688,9.55892730543585,8.50076884294787,9.81807083706802,8.53979818563698,8.16582718957822,8.54339682096593,9.32927695327348,9.17252721971986,9.33720057711246,9.47867683590537,9.32249172175703,9.91042479247211,9.47710011800558,9.89526059886954
"hsa-miR-105-3p",0,0,0.85920856725245,1.39096857983486,1.40138890911285,0,0.82014549131125,0,1.49262724834623,1.13225591041258,0,0,1.66413608677176,0.721494881838587,0,0.54200838916634,1.90185705209296,1.27918522220516,1.03810280057447,1.99086637918505,1.18084567204151,1.04835602756578,0,0
"hsa-miR-105-5p",10.0799519818592,9.70342888702002,9.84685129220293,9.66582168949931,9.00558742359502,9.71951797638945,9.61130318603549,9.8071135201014,10.0638785820744,10.0580769999613,9.86522233223214,9.8412418811951,9.68372836388818,10.1603046158395,10.0807000693525,9.89444774082464,10.0008665160535,10.0075947094823,9.79965232419342,9.98252793860906,9.75364970997753,9.7134120461469,9.91428814291089,9.15496350412974
"hsa-miR-106a-5p",1.15536878548568,1.13970572005046,1.60174748657378,2.55278054027768,0.864555694371208,2.16603621270042,1.01491134928059,0.587580796446138,1.49262724834623,1.75874007776013,1.21506797444222,0,1.29051805529243,1.5590850380235,0,0,0.935318702174488,1.27918522220516,2.64791933838231,0.802142792830195,0.708008978450852,2.2444612709203,1.41716290234365,1.28190062155577
"hsa-miR-106b-3p",6.68475199845864,8.26611651653987,7.88918413743203,8.01672450305156,9.10785156400179,8.23341953095126,6.27721120571562,7.86267528032444,7.8255579291993,7.95618770165185,8.28945669000337,6.08126049191388,8.41603912270953,6.83990537018434,6.372556185137,6.31990070666549,7.84543090704355,8.1181189542939,7.50106365694367,7.8504989005432,8.56692260868555,8.10321469933042,8.0943812241037,7.8769167867258
"hsa-miR-106b-5p",4.08375485428164,4.6477298099484,3.76740742284927,4.46552460348269,3.20285467529191,4.90205580266633,3.23594519506021,4.46691682184765,3.77590043500944,3.75661016435568,3.53258348537743,4.00932592682236,4.07961249386058,3.23810904683818,3.20932564015413,3.73464962653408,3.78370624519012,3.93264582102197,4.24107227067912,4.4477969418473,4.17838001873485,4.64580916039555,4.00318693155668,5.33516716140881
"hsa-miR-107",8.21337849918431,9.43155131496303,8.63311099520268,9.18857485475547,7.97348238971379,9.09172250674954,8.28460259225991,9.19765184401833,8.47058514625746,8.55415857409607,8.68183692457909,8.05156705408179,8.94242919503854,8.11596442143731,7.64107559563873,8.04499978718481,8.50094526803203,8.43801914863529,8.55480004793411,8.70808223003883,8.48765799297045,9.33100518166365,8.70383070027726,9.39013588252969
