"","GSM2108823","GSM2108824","GSM2108825","GSM2108826","GSM2108827","GSM2108828","GSM2108829","GSM2108830","GSM2108831","GSM2108832","GSM2108833","GSM2108834","GSM2108835","GSM2108836","GSM2108837","GSM2108838","GSM2108839","GSM2108840","GSM2108841","GSM2108842","GSM2108843","GSM2108844","GSM2108845","GSM2108846","GSM2108847","GSM2108848","GSM2108849","GSM2108850","GSM2108851","GSM2108852","GSM2108853","GSM2108854","GSM2108855","GSM2108856"
"hsa-miR-4281",13.299,13.069,13.169,12.362,13.476,13.247,14.668,12.447,11.681,12.807,12.286,12.814,13.241,13.093,13.89,13.114,14.204,14.119,14.262,14.315,12.447,10.383,12.771,12.585,13.18,13.625,12.138,11.112,11.051,11.915,12.909,11.535,14.272,14.378
"hsa-miR-4277",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4279",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4278",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4280",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4282",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,1.41,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,2.423,3.231,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4285",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4283",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4284",-3.322,3.084,2.11,2.048,2.121,-3.322,-3.322,-3.322,-3.322,2.395,-3.322,3.254,3.065,2.218,1.96,3.014,3.186,3.126,2.958,3.461,3.07,1.871,3.009,3.188,2.961,3.267,3.142,3.095,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-4286",2.039,2.841,-3.322,2.482,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,2.625,-3.322,-3.322,-3.322,-3.322,1.947,2.187,-3.322,2.326,2.811,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
