"","GSM2286937","GSM2286938","GSM2286939","GSM2286940","GSM2286941","GSM2286942","GSM2286943","GSM2286944","GSM2286945","GSM2286946","GSM2286947","GSM2286948","GSM2286949"
"hsa-miR-10a",14.0354,4.9873,9.9948,8.042,7.0154,8.0099,8.9696,16.0442,8.0172,4.9739,7.9908,7.02,6.9589
"hsa-miR-10b",-20.4377,11.0069,16.0312,14.038,8.9714,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-122",3.9953,4.9865,5.0275,3.023,2.9989,5.0131,3.0027,3.0045,7.0153,5.0076,6.002,5.0275,5.9741
"hsa-miR-124",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,9.0115,16.0496,7.0783,12.0248,14.0467,12.9937
"hsa-miR-125a-3p",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,8.9738
"hsa-miR-125a-5p",14.0354,6.0006,16.0312,10.017,11.0067,15.0311,10.9633,16.0442,16.0496,8.9587,12.0248,14.0467,8.9551
"hsa-miR-125b",10.0202,11.0069,11.0394,14.038,6.9972,8.0286,15.02,16.0442,9.0079,7.0017,7.0245,8.0313,8.9655
"hsa-miR-126",1.0063,-2.0152,3.0218,2.0289,-0.9641,1.0095,3.9999,4.0142,-0.9924,-1.0069,0.0045,0.0216,-1.0158
"hsa-miR-127-3p",7.0178,7.0172,9.0573,6.0008,14.0316,15.0311,15.02,16.0442,6.9851,13.0117,12.0248,10.0447,12.9937
"hsa-miR-127-5p",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-128",9.0173,11.0069,10.0017,14.038,14.0316,9.0129,15.02,16.0442,9.0309,6.9718,12.0248,10.0332,7.9743
"hsa-miR-129-3p",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-129-5p",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-130a",6.0329,3.9754,5.0358,7.0424,7.9208,7.0322,8.0093,9.0295,6.0377,4.9799,8.0314,9.9756,4.9853
"hsa-miR-130b",7.0281,2.9877,7.041,8.0318,10.0268,8.0046,9.0364,9.0476,7.0375,8.2167,12.0248,10.0333,4.9947
"hsa-miR-132",14.0354,7.0758,10.0498,14.038,10.0179,10.125,15.02,16.0442,7.057,5.9946,12.0248,10.0538,5.0069
"hsa-miR-133a",6.9986,4.0239,9.0318,9.0308,9.0127,11.0168,11.0307,7.0165,7.0066,8.0023,12.0248,9.0171,6.9657
"hsa-miR-133b",14.0354,11.0069,16.0312,14.038,8.9357,15.0311,15.02,16.0442,10.0302,13.0117,12.0248,14.0467,12.9937
"hsa-miR-134",7.0052,4.9918,6.9831,7.9798,10.0479,15.0311,9.0855,16.0442,7.0124,6.9509,12.0248,8.0457,6.9854
"hsa-miR-135a",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,12.0146,13.0117,12.0248,14.0467,8.9317
"hsa-miR-135b",14.0354,11.0069,16.0312,14.038,7.8223,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-136",2.987,8.0079,5.9895,3.9984,14.0316,11.9666,3.9702,13.0528,16.0496,10.475,12.0248,14.0467,9.9508
"hsa-miR-137",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-138",14.0354,11.0069,16.0312,14.038,10.0023,15.0311,15.02,12.0219,10.0138,13.0117,12.0248,14.0467,12.9937
"hsa-miR-139-3p",6.0331,11.0069,7.0374,14.038,8.1264,6.1805,15.02,8.0672,16.0496,13.0117,12.0248,6.1151,12.9937
"hsa-miR-139-5p",5.0285,1.9914,6.0051,5.006,3.014,5.007,6.0079,7.0149,4.0289,2.9958,3.0124,4.0221,2.9624
"hsa-miR-140-3p",14.0354,11.0069,12.0349,14.038,9.02,9.0182,15.02,13.1285,8.0355,6.9747,7.9923,8.0183,6.9798
"hsa-miR-140-5p",7.0076,4.9718,7.005,6.9801,6.9865,6.9948,8.9864,9.0212,4.9971,5.9829,5.9658,5.9964,4.9457
"hsa-miR-141",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-142-3p",1.9831,-0.0382,3.9915,2.9798,1.9967,4.0141,5.9825,7.019,2.0184,0.9616,3.9975,2.0121,-0.0463
"hsa-miR-142-5p",8.0051,8.0196,9.0084,14.038,8.0108,9.0079,15.02,10.0312,7.0284,6.9833,12.0248,7.017,5.9839
"hsa-miR-143",10.0299,5.997,10.0117,10.0642,9.0439,15.0311,15.02,16.0442,8.0322,8.0263,12.0248,10.0311,9.0206
"hsa-miR-145",7.0098,2.0005,10.0124,9.0348,5.0179,7.0021,9.9226,12.0287,3.0268,3.9916,6.0103,5.0256,3.971
"hsa-miR-146a",-0.0287,-2.0299,0.0021,1.9977,3.002,3.0102,4.9951,4.0077,0.0116,0.9797,1.9796,3.005,-0.0436
"hsa-miR-146b-3p",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,11.0491,13.0117,12.0248,14.0467,12.9937
"hsa-miR-146b-5p",5.0168,2.9904,5.0024,6.0211,5.016,6.0218,6.9936,7.0222,4.028,3.9805,5.0154,5.023,3.9693
"hsa-miR-147",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-147b",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-148a",14.0354,11.0069,16.0312,14.038,8.0117,7.019,15.02,16.0442,7.0099,7.9808,12.0248,9.0137,5.9595
"hsa-miR-148b",8.0149,5.9809,7.979,14.038,8.998,9.0044,15.02,11.0478,8.0349,13.0117,12.0248,8.0102,5.9404
"hsa-miR-149",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-150",2.0074,-0.0413,0.9748,3.0147,1.0144,1.9933,3.9858,2.994,2.0149,0.9622,2.0087,1.0099,1.9562
"hsa-miR-152",10.013,5.9663,8.9738,8.9974,8.9987,7.9913,10.995,10.0024,6.9871,6.9638,7.9879,9.013,5.9558
"hsa-miR-153",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-154",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,11.069,13.0117,12.0248,14.0467,12.9937
"hsa-miR-15a",0.9719,11.0069,3.0068,1.8771,6.002,15.0311,15.02,0.215,5.1278,13.0117,12.0248,14.0467,12.9937
"hsa-miR-15b",4.0249,0.9712,10.0444,6.9878,5.0225,6.0235,9.0155,9.9591,4.0206,3.0074,8.0602,5.0348,1.9968
"hsa-miR-16",1.0014,-1.0054,3.0116,2.0402,2.0127,1.9975,4.015,5.0421,3.0343,-0.0193,0.9875,2.0715,0.9986
"hsa-miR-17",0.0132,-2.0214,1.9978,2.0013,0.9939,1.9965,3.0105,3.029,1.0191,-0.03,1.0136,2.0238,-0.044
"hsa-miR-181a",6.0521,2.9928,6.0754,7.958,6.0199,8.0181,8.029,9.0035,7.0399,4.9914,7.9417,7.0376,4.9691
"hsa-miR-181c",9.9679,7.9086,12.0336,10.8958,9.9934,15.0311,15.02,12.9752,11.0229,9.9131,12.0248,11.025,8.9316
"hsa-miR-182",14.0354,11.0069,16.0312,14.038,14.0316,10.9825,10.933,16.0442,11.0028,8.9614,12.0248,14.0467,8.9581
"hsa-miR-183",14.0354,11.0069,16.0312,14.038,9.8888,10.9983,9.9761,12.0781,16.0496,13.0117,12.0248,10.0104,12.9937
"hsa-miR-184",5.4339,5.977,16.0312,14.038,14.0316,15.0311,15.02,12.0188,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-185",7.032,11.0069,8.0244,8.0532,7.9947,7.0005,7.8965,8.9366,7.0215,5.9871,12.0248,8.014,5.9626
"hsa-miR-186",14.0354,2.012,16.0312,7.4694,4.989,5.9978,15.02,16.0442,3.0036,3.9604,4.99,6.0331,3.9615
"hsa-miR-187",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-188-3p",14.0354,11.0069,16.0312,10.2511,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-18a",6.0158,3.0085,6.0424,3.304,6.0481,6.0197,15.02,8.852,6.0274,3.9957,4.061,6.0522,3.9924
"hsa-miR-18b",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,6.0204,13.0117,12.0248,14.0467,12.9937
"hsa-miR-190",14.0354,11.0069,11.2545,14.038,10.0052,10.9743,10.9711,16.0442,16.0496,13.0117,12.0248,10.0405,12.9937
"hsa-miR-191",1.0197,-1.0248,3.0089,2.0101,3.0167,3.9973,5.9875,4.9999,0.0253,0.9752,4.019,3.0171,0.9627
"hsa-miR-192",8.9901,4.9836,7.9899,8.0036,8.0168,6.9943,7.9866,9.0249,9.0288,8.9751,12.0248,8.0163,6.9646
"hsa-miR-193a-3p",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-193a-5p",7.0204,7.0045,7.0214,10.0209,10.0262,9.0118,9.0675,9.0664,12.0032,8.9972,8.0275,14.0467,9.0932
"hsa-miR-193b",9.0292,11.0069,8.0233,9.0363,6.0143,7.0111,11.0003,9.1687,9.0402,8.9897,8.0204,8.0467,12.9937
"hsa-miR-194",10.032,11.0069,16.0312,14.038,8.0282,9.0356,15.02,12.0297,10.0203,8.9934,6.9838,8.0136,8.9639
"hsa-miR-195",4.997,2.9986,5.0225,5.0111,4.0024,4.0056,4.9927,5.0239,4.0087,3.9824,3.9833,5.0515,3.9774
"hsa-miR-196b",14.0354,6.9925,12.0062,10.0598,14.0316,15.0311,15.02,16.0442,9.0079,13.0117,12.0248,14.0467,12.9937
"hsa-miR-197",3.035,1.9774,4.0781,4.0129,4.9982,7.0281,6.9633,6.0211,4.0049,3.982,5.0041,5.0308,3.9682
"hsa-miR-198",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-199a-3p",3.024,-0.0127,4.0131,4.0156,6.9279,7.0242,8.0462,8.0375,4.0332,4.0162,7.0169,5.9936,2.9654
"hsa-miR-199a-5p",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,12.0385,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-199b-5p",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,11.0232,13.0117,12.0248,14.0467,12.9937
"hsa-miR-19a",5.0005,3.9823,6.0044,4.9736,3.9784,4.0079,6.0205,6.0147,3.017,4.0335,4.0247,5.0186,2.961
"hsa-miR-19b",0.0264,-1.0274,0.0016,0.9879,0.01,-0.011,2.0601,1.0407,-0.9774,-1.0095,0.0031,0.0299,-1.0373
"hsa-miR-200a",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-200b",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,7.1369,13.0117,12.0248,14.0467,12.9937
"hsa-miR-200c",8.0079,11.0069,16.0312,14.038,14.0316,8.0535,15.02,16.0442,9.0063,8.0431,12.0248,8.096,5.9156
"hsa-miR-202",14.0354,11.0069,11.0007,14.038,14.0316,10.0471,9.0425,8.9957,16.0496,13.0117,12.0248,14.0467,8.0003
"hsa-miR-203",14.0354,11.0069,16.0312,10.0299,10.0274,7.0115,10.9998,12.036,11.0544,7.9945,12.0248,9.0217,9.0222
"hsa-miR-204",9.0036,11.0069,10.0045,14.038,10.0368,7.9963,10.0073,16.0442,10.0324,6.9907,8.0141,8.0359,12.9937
"hsa-miR-205",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,8.9945,14.0467,12.9937
"hsa-miR-208",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,12.0902,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-208b",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-20a",1.0203,-1.0012,2.0007,2.0159,2.0101,1.9837,3.0014,3.0295,1.0164,-0.0155,0.9877,2.0113,-0.0279
"hsa-miR-20b",3.9866,1.975,5.9976,5.0074,5.0034,6.0083,7.0078,6.0194,5.0358,3.9955,4.9872,5.0141,3.9728
"hsa-miR-21",1.9682,-0.0351,1.9976,4.1397,3.0022,3.0296,3.9777,5.0195,2.0187,1.9924,2.9887,3.0279,0.969
"hsa-miR-210",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-211",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-212",14.0354,6.9967,16.0312,10.047,10.091,11.0497,11.0332,12.0258,10.0166,9.0095,8.0625,14.0467,12.9937
"hsa-miR-214",14.0354,5.0057,16.0312,14.038,10.0141,9.042,15.02,16.0442,16.0496,8.9831,12.0248,14.0467,12.9937
"hsa-miR-215",8.0336,11.0069,16.0312,14.038,14.0316,9.0162,15.02,9.009,9.0373,9.0049,12.0248,14.0467,12.9937
"hsa-miR-216a",14.0354,11.0069,16.0312,14.038,14.0316,9.9891,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-216b",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-217",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-218",9.9882,7.9507,5.9326,9.9933,14.0316,9.9874,9.9793,11.9838,16.0496,13.0117,12.0248,14.0467,8.9634
"hsa-miR-219-1-3p",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-219-2-3p",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-219-5p",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-22",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-220",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-220b",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-220c",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-221",3.0054,-0.0162,2.9974,4.0201,6.0202,7.0441,7.1067,10.0482,3.0285,4.0135,6.0266,6.0475,2.979
"hsa-miR-222",1.9774,0.9797,2.9739,2.9892,2.9887,3.9873,4.9755,4.9874,1.9856,1.9599,2.9916,4.0102,1.944
"hsa-miR-223",-2.9971,-5.0319,-2.0178,-0.9885,-1.9981,-1.0177,3.0391,1.0231,-3.9968,-3.0145,-0.9947,-1.9726,-4.0558
"hsa-miR-224",6.9879,4.9127,9.9934,14.038,14.0316,9.0064,9.0982,16.0442,9.0454,6.998,8.0126,10.1361,9.0064
"hsa-miR-23a",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,8.4703,13.0117,12.0248,14.0467,12.9937
"hsa-miR-23b",14.0354,11.0069,16.0312,14.038,9.9893,11.0086,15.02,16.0442,16.0496,8.9964,12.0248,14.0467,12.9937
"hsa-miR-24",0.0114,-2.0088,1.02,2.0154,1.0065,2.0049,3.9803,4.0211,0.0284,-0.0044,2.0176,2.0684,-0.0479
"hsa-miR-25",4.0114,3.9821,3.9965,5.0032,5.9983,4.9977,4.9865,5.0151,4.9996,3.9737,3.9646,5.0047,3.9411
"hsa-miR-26a",2.9999,-0.0246,4.0047,3.0048,2.9944,5.0029,5.9848,6.012,2.042,1.9796,3.9968,4.0319,0.9784
"hsa-miR-26b",6.0119,1.9882,7.0124,7.0348,4.0152,6.0081,10.0252,8.026,3.0087,2.983,3.9977,4.014,2.9741
"hsa-miR-27a",4.9939,2.9629,5.9918,6.0037,5.9848,7.0052,10.0085,10.0232,4.9937,4.9854,5.982,4.9968,3.9472
"hsa-miR-27b",4.9992,2.9755,7.0098,14.038,5.987,9.0187,11.0069,9.0219,7.0308,4.9871,12.0248,8.0259,5.9676
"hsa-miR-28-3p",6.014,3.0033,5.9796,7.01,7.0043,8.0004,15.02,9.0473,4.9907,4.9903,6.0057,7.0245,3.9432
"hsa-miR-28-5p",8.0043,7.0348,10.9934,10.0087,10.0406,7.9865,15.02,16.0442,6.0219,6.9806,12.0248,8.0311,5.96
"hsa-miR-296-3p",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-296-5p",14.0354,11.0069,8.9847,10.0652,7.9825,7.9992,9.0008,10.0022,8.0765,9.9923,12.0248,10.0277,5.9928
"hsa-miR-298",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-299-3p",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,9.0734,10.0523,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-299-5p",14.0354,11.0069,16.0312,14.038,14.0316,11.0183,15.02,16.0442,-9.9719,13.0117,-11.9127,8.0551,-13.081
"hsa-miR-29a",6.0001,6.9859,6.9958,8.0008,4.9818,5.997,9.9911,10.0157,5.9847,4.9579,7.9649,5.0089,3.9214
"hsa-miR-29b",14.0354,11.0069,11.991,14.038,14.0316,11.0501,15.02,16.0442,10.0272,13.0117,12.0248,10.0717,12.9937
"hsa-miR-29c",10.0156,7.9974,10.0144,10.0216,9.0016,9.0111,12.0062,12.0263,8.0144,7.9973,7.9937,9.0215,6.9746
"hsa-miR-301a",5.9965,3.9671,6.988,9.0308,8.0194,9.0114,9.0131,11.0165,6.0294,5.9849,7.9791,8.0374,4.9723
"hsa-miR-301b",14.0354,5.9912,13.0062,14.038,14.0316,15.0311,15.02,16.0442,11.0239,13.0117,12.0248,14.0467,12.9937
"hsa-miR-302a",14.0354,-12.9715,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-302b",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,11.2783,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-302c",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-30b",2.992,-0.0269,5.0067,5.0207,3.0163,5.0217,6.9995,7.0281,2.0218,1.9951,4.0073,4.0265,1.9841
"hsa-miR-30c",3.0059,-0.0294,4.9975,4.0038,1.9995,4.0061,6.007,7.012,1.0141,0.9714,3.0053,3.021,0.9742
"hsa-miR-31",14.0354,11.0069,16.0312,14.038,6.9835,8.0293,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-32",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,8.9956,12.0248,14.0467,12.9937
"hsa-miR-320",2.0044,-1.0211,1.9966,3.0087,2.9919,3.9832,3.9863,4.0319,3.0138,2.9741,3.9983,5.0296,2.973
"hsa-miR-323-3p",6.9677,11.0069,9.1165,14.038,10.0845,11.0476,7.0418,10.0085,10.0292,8.9759,7.9996,10.1096,12.9937
"hsa-miR-324-3p",9.0116,5.9901,10.0136,10.0099,8.0153,9.0167,10.9218,10.0276,9.0194,8.9924,8.0089,10.0404,7.9757
"hsa-miR-324-5p",14.0354,7.0141,9.0247,14.038,9.0246,7.9756,15.02,16.0442,8.0054,9.005,12.0248,7.9993,5.9378
"hsa-miR-325",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-326",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-328",6.0198,2.9784,5.0166,7.055,5.9816,7.0212,11.0123,10.0482,5.019,3.9889,7.0032,6.024,3.985
"hsa-miR-329",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,13.0123,13.0117,12.0248,14.0467,12.9937
"hsa-miR-330-3p",10.0218,7.0693,11.0995,10.0133,14.0316,11.0285,15.02,16.0442,8.0411,7.1524,6.9629,14.0467,7.9046
"hsa-miR-330-5p",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-331-3p",5.9925,2.9777,8.021,6.046,5.0263,4.9973,8.2633,8.1243,4.0228,3.9649,6.0381,5.0333,2.9567
"hsa-miR-331-5p",14.0354,8.0397,16.0312,14.038,4.1437,8.0676,15.02,16.0442,12.0747,13.0117,6.7508,6.9818,12.9937
"hsa-miR-335",4.9973,2.9891,6.0016,6.9991,8.0057,10.0327,8.9611,10.0482,6.0359,5.99,7.989,7.0159,4.9806
"hsa-miR-337-5p",14.0354,11.0069,12.0236,14.038,10.0056,15.0311,15.02,16.0442,10.0189,13.0117,12.0248,14.0467,12.9937
"hsa-miR-338-3p",10.019,11.0069,16.0312,14.038,14.0316,15.0311,15.02,11.0533,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-339-3p",7.0182,5.9525,9.0157,8.0054,14.0316,9.0302,9.5069,11.0583,7.0151,7.008,12.0248,10.0283,6.9671
"hsa-miR-339-5p",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,9.0536,13.0117,12.0248,14.0467,12.9937
"hsa-miR-33b",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-340",8.021,5.951,7.9959,9.011,10.0144,9.0097,15.02,12.0126,7.0037,9.0068,8.0223,8.0331,5.9345
"hsa-miR-342-3p",3.9946,4,3.007,5.0334,3.0102,3.0105,6.9913,5.0192,4.0335,2.9916,3.009,3.0225,3.9784
"hsa-miR-342-5p",14.0354,11.0069,9.0495,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-345",10.002,5.9773,9.0231,8.0102,7.0117,9.0087,11.0242,11.0427,7.0185,6.9868,6.9854,10.0261,5.9496
"hsa-miR-346",14.0354,11.0069,16.0312,14.038,4.1024,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-34a",7.0032,11.0069,7.0218,14.038,14.0316,6.0427,6.9177,7.0161,8.0692,13.0117,12.0248,14.0467,12.9937
"hsa-miR-34c-5p",14.0354,11.0069,16.0312,10.0791,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-361-5p",14.0354,11.0069,12.0627,10.0948,14.0316,11.0124,15.02,16.0442,9.0302,8.0003,12.0248,14.0467,12.9937
"hsa-miR-362-3p",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,10.9942,16.0442,12.0202,13.0117,12.0248,14.0467,12.9937
"hsa-miR-362-5p",14.0354,11.0069,16.0312,14.038,10.0375,15.0311,15.02,16.0442,11.0327,7.9913,8.0054,14.0467,8.965
"hsa-miR-363",14.0354,11.0069,16.0312,14.038,10.0058,8.024,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-365",10.013,11.0069,12.0303,10.0332,6.986,10.0093,15.02,11.9979,10.0149,6.9805,6.0127,7.0011,8.9666
"hsa-miR-367",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-369-3p",14.0354,11.0069,16.0312,10.004,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-369-5p",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,16.0496,13.0117,12.0248,14.0467,12.9937
"hsa-miR-370",14.0354,11.0069,16.0312,14.038,14.0316,15.0311,15.02,16.0442,7.9522,13.0117,12.0248,14.0467,12.9937
