"","GSM2478346","GSM2478347","GSM2478348","GSM2478349","GSM2478350","GSM2478351","GSM2478352","GSM2478353","GSM2478354","GSM2478355","GSM2478356","GSM2478357","GSM2478358","GSM2478359","GSM2478360"
"hsa-miR-128",12.0104896428303,11.6132968201607,12.2144678758777,11.8068355549776,8.53985672051819,11.3873927000716,11.4749531110003,11.3224746375175,11.7287665988144,10.9786961607695,9.910327926299,10.874927572076,11.2017134914258,11.7448380411503,10.9640592331645
"hsa-miR-192-5p",11.6761951108888,9.85491512208329,11.0211465543115,10.8329453796884,12.5064067660745,9.82694565041549,10.7824003737304,10.9245898483016,10.3449616135529,11.0237543532994,10.0333404021286,10.533027922424,10.3531357956773,10.1613208699559,10.192983169974
"hsa-miR-26b-5p",11.0670107674135,11.3704585624055,11.1713519624778,11.3964656421615,11.9056389657254,10.8377304160643,11.3054917921107,11.5041784199111,11.7066082520888,12.1819504266979,10.9419865935053,11.3901098281426,11.6672401899558,10.6935653627079,11.4997761418526
"hsa-miR-148b-3p",11.3866115880356,11.6441717448023,11.3603258644522,11.3378281458144,11.1204970984442,11.3555217868852,10.3520544639708,11.1387709605407,11.2322890038923,11.4897576637654,10.7948219733312,10.9402989131522,10.5597976957549,10.8712045058844,11.4318057502299
"hsa-miR-181a-5p",10.9168348851483,11.5092950156448,11.9767932180848,11.1355553904255,11.038966986903,12.0330512669503,11.9932073121284,11.999580796744,11.8457526916225,12.9789410002248,12.3794406442292,11.335384771498,10.5340596564504,11.5958448847175,11.6856554977652
"hsa-miR-10a-5p",11.381634874102,11.1342594508241,11.5726812809257,11.3276256190275,7.56201340683177,12.0263194036255,11.9269593633458,9.48681491417497,11.9123205268976,11.5581241075405,13.2824962750144,12.8708925322641,10.6883289994439,11.7476559329324,11.5078788610085
"hsa-miR-1307-3p",10.9946292198441,11.5068877164875,11.2074780562269,11.5090920858059,8.70462992763602,10.3800280833808,11.1010630319784,10.063799518531,11.2235673527964,9.45801692015867,8.92008483763417,8.92430776891051,9.55895636263893,10.5724444404117,9.47307658929647
"hsa-miR-20a-5p",10.4885732509388,10.5591667419197,11.0708186375333,10.474821327015,11.9305303787584,9.86516102751077,9.89737657954591,9.40038849497914,10.1182403132429,11.8792347859598,10.1359913855525,10.4503143012333,11.838045702389,10.4246806953304,10.9087078474761
"hsa-miR-127-3p",10.6140196144357,11.4427413800156,10.2775315099835,12.1200596358123,7.87122761235798,9.90974310767542,8.86999475034407,6.07446262070454,8.82994467109771,8.32836077601051,7.60177078840771,9.72120174632065,9.63858071927423,9.94283702305608,9.46742214498825
"hsa-miR-378a-3p",10.9336759033938,10.6903035947742,11.4941455598492,10.6333857984604,11.0859039417178,12.680873738139,13.4133171978596,12.2973490651305,13.3607154253929,12.6979253836572,12.1502454997882,11.5912979306664,11.4751102223283,13.1628507527094,13.146991812713
"hsa-miR-744-5p",11.0278507198389,11.3831102463315,11.1802883694545,11.3828617544848,8.51629098561495,9.69731512171625,10.4067152273596,9.69088846466211,10.1098698219383,8.22429114917635,8.00028174886153,8.02297805492676,8.89929649464017,10.1581173460639,8.86183133069761
"hsa-miR-532-5p",10.5581049695929,10.5451672069979,10.887258700896,10.8939916142067,11.4932350170126,11.1967004747715,10.7772306535274,11.8155153900334,11.4499585150199,10.6527374389293,9.59210192613503,10.1340668852259,10.3875757961834,10.962310424095,11.3183959342897
