"","GSM1112869","GSM1112870","GSM1112871","GSM1112872","GSM1112873","GSM1112874","GSM1112875","GSM1112876","GSM1112877","GSM1112878","GSM1112879","GSM1112880","GSM1112881","GSM1112882"
"hsa-miR-1197",5.49185309632967,6.06608919045777,4.64385618977472,5.32192809488736,5.95419631038687,5.58496250072116,4.85798099512757,4.90689059560852,4.85798099512757,5.08746284125034,6.2667865406949,6.82017896241519,5.61470984411521,5.64385618977472
"hsa-miR-122-3p",1,1,1,1,1,1,1,1.58496250072116,1,1,1,1,1,1
"hsa-miR-122-5p",7.29462074889163,6.91886323727459,1,1,9.10852445677817,9.33315535031062,6.4093909361377,6.93073733756289,10.3641346550081,10.3342732853072,1,1,8.4594316186373,8.4262647547021
"hsa-miR-1224-3p",1.58496250072116,1.58496250072116,1,2,2,2,1.58496250072116,1,1,1,2,3,2,2
"hsa-miR-1224-5p",6.37503943134692,6.52356195605701,7.92481250360578,8.55842071326866,9.85174904141606,10.075479149488,6.61470984411521,6.3037807481771,10.6917435191713,10.5507467853832,5.90689059560852,6.28540221886225,10.2514824106202,10.2008986050384
"hsa-miR-1225-5p",1.58496250072116,1.58496250072116,1,1,1,1,1,1,1,1,1,2,1,1
"hsa-miR-1228-5p",1,1,1,1,1,2,1,1,1,1,1,1,1.58496250072116,1
"hsa-miR-1234-5p",1,1,1,1,1,1.58496250072116,1,1,1,1,1,1,1,1
"hsa-miR-124-3p",17.3994197967889,17.6301746780806,11.9534689622288,12.2659080092311,12.8552578271932,12.7479831403019,18.0551235302981,17.1194883043296,12.9681267613563,13.0187217919702,18.1666730837536,17.7925679057268,12.4380120876511,12.5352753766208
"hsa-miR-124-5p",4.4594316186373,4.32192809488736,1,2.32192809488736,4.90689059560852,4.52356195605701,3.58496250072116,4,4.85798099512757,5,4.70043971814109,5.28540221886225,4.52356195605701,4.16992500144231
"hsa-miR-1246",6.33985000288462,6.06608919045777,2,2.8073549220576,7.58496250072116,7.74819284958946,7.89481776330794,6.52356195605701,9.12412131182919,9.10590850857116,8.30833903013941,7.51569983828404,8.48784003382305,8.78463484555752
"hsa-miR-1247-3p",1,1.58496250072116,1,2.32192809488736,2,2,1.58496250072116,1,2.32192809488736,2.32192809488736,1,1,2,2.32192809488736
"hsa-miR-1247-5p",2,2.32192809488736,4.32192809488736,3.58496250072116,1.58496250072116,2,2.32192809488736,2,2,1,2,3.32192809488736,1,1
