"","GSM2445880","GSM2445881","GSM2445882","GSM2445883","GSM2445884","GSM2445885","GSM2445886","GSM2445887","GSM2445888","GSM2445889","GSM2445890","GSM2445891","GSM2445892","GSM2445893","GSM2445894","GSM2445895","GSM2445896","GSM2445897","GSM2445898","GSM2445899","GSM2445900","GSM2445901","GSM2445902","GSM2445903","GSM2445904","GSM2445905","GSM2445906","GSM2445907","GSM2445908","GSM2445909","GSM2445910","GSM2445911","GSM2445912","GSM2445913","GSM2445914","GSM2445915","GSM2445916","GSM2445917","GSM2445918","GSM2445919","GSM2445920"
"hsa-miR-181b-5p",3.877744249949,3.92789645372882,3.93734439215023,3.91838623444635,3.93734439215023,3.95977015521147,3.91552090075196,3.91647664443772,3.91838623444635,3.90303827011291,3.90785207184596,3.91073266190291,3.94579495674006,3.88264304936184,3.90785207184596,3.89530262133331,3.89627184880738,3.8972404255748,3.94860084749336,3.90785207184596,3.92694824794977,3.93545974780529,3.92029330021101,3.92219784839637,3.92599941855622,3.89820835250872,3.93545974780529,3.93073733756289,3.92314918047231,3.94110631094643,3.90977310414164,3.94204525991605,3.93451650158608,3.90207357931074,3.9174317553901,3.92409988564074,3.94110631094643,3.90014226035982,3.90881290773955,3.90881290773955,3.92789645372882
"hsa-miR-323a-3p",3.86294724802092,3.90207357931074,3.87381319835909,3.89917563048051,3.92219784839637,3.90592847817313,3.87381319835909,3.90881290773955,3.8972404255748,3.90014226035982,3.93922657772821,3.89820835250872,3.92504996472736,3.90496571868403,3.92029330021101,3.88752527074159,3.90592847817313,3.90496571868403,3.89917563048051,3.89433274227769,3.91647664443772,3.90207357931074,3.89433274227769,3.93734439215023,3.87479696589867,3.9174317553901,3.90400231628369,3.93262815702213,3.90689059560852,3.93451650158608,3.89917563048051,3.90689059560852,3.92789645372882,3.90881290773955,3.92504996472736,3.91838623444635,3.92504996472736,3.8972404255748,3.92789645372882,3.89917563048051,3.90014226035982
"hsa-miR-181a-5p",3.85798099512757,3.89336221076387,3.90110824301451,3.88068552526112,3.88752527074159,3.88264304936184,3.84899843040002,3.85199883711245,3.90014226035982,3.89044669267991,3.89820835250872,3.89044669267991,3.91647664443772,3.8499992594661,3.8569856897822,3.88068552526112,3.87085786436376,3.89530262133331,3.91456452349394,3.88166461932035,3.8569856897822,3.90689059560852,3.89530262133331,3.88752527074159,3.88752527074159,3.86789646399265,3.86690797814317,3.87282875953489,3.87085786436376,3.88655014732434,3.877744249949,3.8923910259134,3.88849973551412,3.87676249078156,3.87970576628229,3.89530262133331,3.90303827011291,3.87479696589867,3.87085786436376,3.88068552526112,3.91073266190291
"hsa-miR-99b-5p",3.87676249078156,3.87381319835909,3.85996954822103,3.89141918684608,3.88655014732434,3.87676249078156,3.83592407425437,3.86096279785812,3.87381319835909,3.88752527074159,3.93545974780529,3.88459792099006,3.9174317553901,3.86987140617771,3.90110824301451,3.85798099512757,3.86987140617771,3.89336221076387,3.88068552526112,3.86789646399265,3.90400231628369,3.88849973551412,3.87872534148011,3.90303827011291,3.84599177066457,3.88264304936184,3.88459792099006,3.88264304936184,3.87872534148011,3.88166461932035,3.86492897228979,3.86888427302877,3.90400231628369,3.88362081628567,3.88557436437143,3.91073266190291,3.90496571868403,3.86789646399265,3.90303827011291,3.87578006306849,3.87676249078156
"hsa-miR-433-3p",3.82476785314329,3.8569856897822,3.83491342970104,3.85598969730848,3.88068552526112,3.90400231628369,3.87578006306849,3.88752527074159,3.85598969730848,3.86987140617771,3.9126498648972,3.86987140617771,3.90785207184596,3.82680268428583,3.8499992594661,3.8073549220576,3.83895176695194,3.88264304936184,3.86690797814317,3.84699468696557,3.93357263826102,3.854993016757,3.83794324189103,3.87381319835909,3.83390207666916,3.8499992594661,3.87872534148011,3.83693401132109,3.83794324189103,3.84899843040002,3.8569856897822,3.84899843040002,3.87676249078156,3.86591881455221,3.84197311892718,3.88655014732434,3.87970576628229,3.854993016757,3.86690797814317,3.85598969730848,3.86888427302877
"hsa-let-7g-5p",3.87282875953489,3.87970576628229,3.84398384404833,3.84799690655495,3.85199883711245,3.84899843040002,3.87872534148011,3.83187724119167,3.85996954822103,3.86987140617771,3.82578562746479,3.854993016757,3.84599177066457,3.86789646399265,3.88947354253111,3.88752527074159,3.88068552526112,3.84599177066457,3.84498815668261,3.85996954822103,3.81044310384517,3.85598969730848,3.85099939471647,3.86888427302877,3.89141918684608,3.86987140617771,3.84297883178833,3.88459792099006,3.86195536414487,3.877744249949,3.87872534148011,3.89917563048051,3.85598969730848,3.86690797814317,3.87085786436376,3.84398384404833,3.85099939471647,3.88655014732434,3.86096279785812,3.86987140617771,3.83794324189103
"hsa-miR-30d-5p",3.87184364850932,3.85399564717639,3.88655014732434,3.77294133783134,3.87381319835909,3.81147103052984,3.83390207666916,3.83086375675176,3.83895176695194,3.85897561429202,3.84197311892718,3.87872534148011,3.85798099512757,3.89044669267991,3.82680268428583,3.88264304936184,3.78659636189081,3.87085786436376,3.87872534148011,3.84599177066457,3.87381319835909,3.83895176695194,3.89433274227769,3.84498815668261,3.83187724119167,3.87872534148011,3.84096670448742,3.83794324189103,3.84096670448742,3.79493566280354,3.81659970653491,3.81352468929781,3.84398384404833,3.87676249078156,3.854993016757,3.877744249949,3.87381319835909,3.87381319835909,3.87085786436376,3.87578006306849,3.88557436437143
"hsa-miR-24-3p",3.85996954822103,3.88655014732434,3.9126498648972,3.88557436437143,3.84599177066457,3.85199883711245,3.81044310384517,3.82578562746479,3.86294724802092,3.84398384404833,3.85299758761332,3.83390207666916,3.87282875953489,3.79493566280354,3.84398384404833,3.82476785314329,3.87184364850932,3.84398384404833,3.86492897228979,3.86294724802092,3.77925972037238,3.87381319835909,3.84599177066457,3.88166461932035,3.86492897228979,3.82273014794452,3.81249822533356,3.84096670448742,3.85299758761332,3.87282875953489,3.86789646399265,3.87872534148011,3.86294724802092,3.84498815668261,3.85299758761332,3.84899843040002,3.85598969730848,3.83995958748953,3.83592407425437,3.8499992594661,3.84599177066457
"hsa-miR-27b-3p",3.83390207666916,3.85798099512757,3.86195536414487,3.84599177066457,3.85199883711245,3.84699468696557,3.84699468696557,3.82781902461732,3.8499992594661,3.83086375675176,3.82171021503467,3.84599177066457,3.84699468696557,3.84498815668261,3.86888427302877,3.8499992594661,3.84197311892718,3.83794324189103,3.84297883178833,3.85099939471647,3.84398384404833,3.854993016757,3.85598969730848,3.85598969730848,3.88068552526112,3.84297883178833,3.84398384404833,3.88068552526112,3.86096279785812,3.8569856897822,3.8569856897822,3.87578006306849,3.86294724802092,3.85299758761332,3.85598969730848,3.84699468696557,3.86591881455221,3.85399564717639,3.8499992594661,3.85199883711245,3.84699468696557
"hsa-miR-27a-3p",3.83289001416474,3.85798099512757,3.86195536414487,3.84599177066457,3.85199883711245,3.84599177066457,3.84599177066457,3.82578562746479,3.8499992594661,3.82984955984469,3.82171021503467,3.84398384404833,3.84498815668261,3.84398384404833,3.86789646399265,3.84899843040002,3.84096670448742,3.83794324189103,3.84297883178833,3.8499992594661,3.84297883178833,3.854993016757,3.85598969730848,3.85598969730848,3.87970576628229,3.84197311892718,3.84398384404833,3.87970576628229,3.86096279785812,3.8569856897822,3.8569856897822,3.87578006306849,3.86195536414487,3.85199883711245,3.85598969730848,3.84498815668261,3.86591881455221,3.85299758761332,3.84899843040002,3.85199883711245,3.84699468696557
