"","GSM980306","GSM980307","GSM980308","GSM980309","GSM980310","GSM980311","GSM980312","GSM980313","GSM980314","GSM980315","GSM980316","GSM980317","GSM980318","GSM980319","GSM980320","GSM980321","GSM980322","GSM980323","GSM980324","GSM980325"
"hsa-miR-101-5p",-0.062,0.677,0.582,-0.029,-0.01,-0.076,-0.242,-0.365,-0.263,-0.036,-0.131,-0.081,-0.395,0.139,0.098,0.166,0.008,-0.008,-0.102,0.708
"hsa-miR-101-3p",-0.813,-0.566,-0.363,0.397,0.094,1.033,0.761,-0.744,0.658,-0.088,0.978,0.763,-0.662,-0.308,1.714,0.069,-0.341,1.497,0.717,1.338
"hsa-miR-29b-1-5p",-2.903,-3.372,-2.47,-3.014,-0.945,-2.177,-3.223,1.167,-1.783,0.431,0.271,-0.063,-3.496,-3.554,0.455,-0.011,-1.909,0.526,0.142,0.011
"hsa-miR-29b-3p",-2.716,-2.246,-1.666,-0.714,-0.037,0.065,-2.07,-0.964,-1.837,-0.185,0.037,0.689,-1.328,-1.995,0.257,-0.256,-1.455,1.197,0.248,0.181
"hsa-miR-29b-2-5p",-7.536,-0.178,0.255,-0.092,0.495,0.363,-1.157,0.137,0.308,0.701,0.34,0.63,-0.604,-7.132,0.389,0.458,-0.253,0.286,0.092,0.234
"hsa-miR-103a-2-5p",-1.045,-0.547,-0.429,0.614,1.444,2.29,-0.568,1.583,-0.378,1.175,0.456,1.266,-1.251,-0.948,0.665,0.657,-0.904,1.081,1.183,1.871
"hsa-miR-103a-3p",-0.181,-0.179,0.074,-0.196,0.113,0.039,-0.058,0.05,0.054,0.048,0.072,0.247,-0.119,-0.145,0.213,-0.039,0.164,0.09,0.082,0.068
"hsa-miR-105-5p",0.147,0.531,-0.206,-0.05,-0.033,-0.379,0.645,0.173,-0.015,0.016,0.097,-0.163,-0.201,-0.16,-0.184,-0.289,-0.295,0.015,0.117,0.339
"hsa-miR-105-3p",0.494,0.794,0.198,0.556,-0.11,-0.317,0.037,-0.01,0.404,0.206,0.076,0.407,0.304,-0.227,-0.122,0.342,0.226,-0.206,-0.23,-0.083
"hsa-miR-106a-5p",-0.318,-0.005,-0.083,0.004,-0.084,0.019,0.055,-0.004,0.098,0.015,-0.005,0.277,0.049,0.152,0.221,0.021,-0.018,0.148,0.336,0.076
"hsa-miR-106a-3p",0.258,0.095,-0.261,0.156,-0.038,0.129,0.155,-0.061,-0.298,-0.135,0.075,-0.005,0.292,-0.086,-0.265,0.124,0.274,0.005,-0.104,0.093
"hsa-miR-107",-0.259,-0.159,0.116,-0.103,0.092,0.018,-0.033,0.171,0.221,0.018,0.013,0.309,-0.486,-0.063,0.012,-0.012,0.044,0.018,0.241,0.286
"hsa-miR-16-2-3p",0.794,-0.349,-0.507,0.917,0.191,-0.41,3.706,-0.075,0.025,0.059,0.026,-0.039,-0.346,0.268,-0.113,-0.257,-0.226,0.043,-0.026,-0.291
"hsa-miR-192-5p",-6.941,-0.919,-0.459,-0.086,-0.593,-0.178,-0.809,0.152,0.065,-0.424,-0.312,0.088,0.581,-3.792,-0.457,-0.004,-0.022,0.026,0.004,0.166
"hsa-miR-192-3p",-0.883,-0.063,-0.744,-0.916,-0.79,0.555,-0.949,1.159,0.093,-0.681,-0.14,-0.07,-0.826,-1.221,0.471,0.008,-0.069,0.737,-0.008,0.382
"hsa-miR-196a-5p",-0.715,0.043,-0.305,0.234,-0.458,-0.113,-0.361,-0.417,-0.305,-0.196,0.186,0.356,-0.322,-1.138,-0.129,0.554,-0.603,0.305,-0.022,0.022
"hsa-miR-197-3p",0.986,-2.079,0.388,-1.535,0.162,0.23,-0.93,1.173,-0.162,1.004,0.566,0.98,-2.663,-0.209,0.669,0.191,-0.891,0.657,0.834,0.301
"hsa-miR-198",-0.695,-0.621,0.232,-0.674,0.466,0.052,-0.045,0.404,-0.173,-0.031,0.455,-0.356,0.097,-1.252,-0.225,-0.178,-0.377,0.118,0.307,0.093
"hsa-miR-199a-5p",-2.919,-3.613,-2.554,-1.972,-0.084,-0.349,-3.364,0.136,-1.583,0.084,-1.43,0.387,-3.578,-2.786,0.366,-2.466,-3.2,0.616,0.274,0.675
"hsa-miR-199a-3p",-4.819,-1.88,-1.809,-0.042,-0.575,-0.975,-0.991,0.042,-0.61,0.044,-0.755,0.71,-0.708,-5.95,0.046,-1.072,-0.592,0.259,0.349,0.802
"hsa-miR-208a-3p",-0.215,0.167,-0.014,0.21,-0.021,0,0.321,-0.038,-0.338,0.005,0,-0.003,0.253,0.248,-0.119,0.112,-0.234,-0.109,-0.038,-0.18
"hsa-miR-129-5p",-0.127,-1.005,0.438,-0.776,1.7,0.921,-0.627,1.094,-1.045,0.192,0.997,0.691,-0.916,-1.04,0.278,-0.073,-1.017,1.195,0.332,0.625
"hsa-miR-129-1-3p",0.842,-0.084,-0.339,0.275,-0.242,0.141,0.581,-0.05,-0.14,0.105,0.075,-0.494,-0.226,-0.167,-0.052,0.156,-0.024,0.101,-0.017,0.225
"hsa-miR-148a-5p",0.1,-0.127,1.181,-0.178,-0.305,-0.185,-0.254,-0.091,0.003,0.003,-0.476,-0.191,-0.076,1.887,-0.003,-0.499,-0.397,-0.114,0.179,0.262
"hsa-miR-148a-3p",-2.77,-3.523,-2.133,-1.07,-0.576,0.025,-3.219,0.529,-0.858,-0.025,-0.273,0.762,-2.881,-3.78,0.6,-0.141,-1.618,0.894,0.623,0.843
"hsa-miR-30c-5p",-0.059,-0.447,0.034,-0.041,-0.07,0.148,-0.034,0.351,0.298,-0.081,-0.498,0.073,0.807,-0.693,-0.365,-0.26,-0.281,0.187,0.166,0.187
"hsa-miR-30c-2-3p",-0.345,0.028,-0.178,-0.174,-0.286,-0.044,0.079,-0.333,0.083,-0.133,-0.03,0.051,-0.152,0.458,-0.431,-0.212,-0.144,0.081,0.083,-0.028
"hsa-miR-30d-5p",0.019,0.383,0.452,0.182,0.304,0.159,0.329,0.092,-0.082,0.1,0.125,0.002,-0.004,-0.016,-0.027,0.073,-0.002,-0.131,-0.133,0.071
"hsa-miR-30d-3p",1.633,0.312,-0.131,-0.203,-0.248,-0.102,0.489,0.084,-0.406,-0.121,-0.353,0.06,-0.006,0.185,-0.195,0.232,-0.118,-0.028,-0.054,0.053
"hsa-miR-139-5p",-3.953,-2.405,-1.565,-0.912,-0.116,-0.125,-4.356,0.291,-0.789,0.202,-0.117,0.943,-3.008,-4.559,0.707,-0.43,-0.252,0.712,0.116,0.803
"hsa-miR-139-3p",-0.595,-0.619,-0.297,-0.768,0.011,-0.676,-0.931,0.862,-0.011,-0.307,0.398,0.803,-0.984,-1.519,0.956,0.633,-0.608,0.286,-0.582,1.035
"hsa-miR-147a",-0.003,0.17,-0.01,-0.094,0.004,0.028,-0.059,0.144,0.326,0.214,-0.078,-0.009,0.146,-0.046,-0.013,0.171,-0.143,0.348,0.077,0.092
"hsa-miR-7-5p",-3.398,-2.52,-0.752,1.118,0.271,0.317,-2.679,0.486,-0.271,1.077,0.853,1.747,-2.674,-2.395,1.821,1.818,-0.622,1.642,0.606,1.842
"hsa-miR-7-1-3p",-1.286,-1.357,-0.878,-0.082,0.178,0.327,-1.373,0.844,-0.11,0.24,-0.034,0.692,-1.033,-0.815,0.003,0.364,-0.739,0.946,-0.003,0.662
"hsa-miR-7-2-3p",0.29,-0.397,0.122,-0.027,0.359,-0.211,0.35,-0.402,0.366,0.381,-0.227,-0.009,-0.112,0.781,1.137,-0.257,-0.209,-0.419,-0.083,0.009
"hsa-miR-10a-5p",0.402,0.133,-0.771,-0.023,0.023,0.366,-0.535,-0.241,-0.681,-0.321,-0.857,0.028,-0.869,-0.906,-0.15,-0.343,-0.83,0.642,-0.151,0.223
"hsa-miR-10a-3p",0.049,-0.007,-0.11,-0.118,0.007,-0.179,0.042,-0.063,-0.094,-0.098,-0.118,-0.271,0.203,0.381,-0.168,0.223,0.103,-0.049,-0.368,-0.028
"hsa-miR-10b-5p",0.28,-0.128,-0.014,0.014,0.223,-0.098,-0.058,-0.182,-0.413,-0.245,-0.042,0.048,-0.357,0.391,-0.564,0.184,-0.162,-0.108,0.052,-0.147
"hsa-miR-10b-3p",1.062,0.04,-0.059,-0.028,-0.127,-0.284,-0.231,-0.157,0.299,0.257,-0.111,-0.061,0.474,0.277,-0.3,0.028,-0.219,-0.373,-0.096,-0.175
"hsa-miR-34a-5p",-1.308,-1.758,-1.802,-1.895,-1.138,0.055,-2.264,-0.038,-1.244,-0.245,-1.046,0.984,-2.035,-2.018,0.385,0.661,-0.625,0.038,0.274,0.079
"hsa-miR-34a-3p",-0.126,-0.211,-0.315,-0.065,-0.249,0.082,0.179,-0.472,-0.161,-0.035,-0.192,0.244,0.759,-0.005,0.072,-0.014,0.005,-0.066,-0.378,0.076
"hsa-miR-181a-5p",-0.221,-0.519,0.156,-0.599,0.412,0.305,-0.202,0.245,0.185,0.255,0.028,0.137,-0.283,-0.291,0.298,-0.622,-0.332,0.321,0.445,0.159
"hsa-miR-181a-2-3p",-2.677,-2.605,-2.176,-1.99,-0.087,0.217,-3.541,0.21,-1.81,0.038,-0.941,0.432,-3.23,-3.548,0.334,-1.23,-1.331,0.866,0.419,-0.038
"hsa-miR-181b-5p",-6.076,-0.902,-0.038,-0.607,-0.03,-0.386,-2.6,-0.015,-0.189,0.178,0.03,0.188,-1.389,-3.021,0.092,-0.324,-0.109,0.049,0.064,0.134
"hsa-miR-181c-5p",-3.675,-0.777,-0.165,-0.681,1.171,1.768,-2.746,0.762,0.068,0.465,1.037,1.17,-2.703,-4.043,2.466,-1.371,-1.136,1.965,0.505,1.451
"hsa-miR-181c-3p",-0.879,-0.922,-0.591,-0.337,0.006,0.252,-0.914,0.194,-0.739,-0.177,0.011,0.253,-0.522,-0.834,1.172,-0.871,-0.029,0.472,-0.196,-0.006
"hsa-miR-182-5p",-0.27,0.587,-0.004,0.604,0.004,-0.092,-0.195,0.116,-0.158,0.308,0.196,-0.181,0.595,-0.095,0.532,0.637,0.387,0.244,0.312,0.053
"hsa-miR-182-3p",0.211,-0.367,-0.523,-0.116,-0.289,-0.246,-0.166,-0.247,-0.237,0.301,-0.148,-0.008,0.105,0.322,0.041,-0.038,-0.523,-0.12,0.385,0.008
"hsa-miR-183-5p",-4.789,0.204,-0.165,0.515,-0.211,-0.071,-0.166,0.081,0.141,0.071,0.089,-0.386,0.935,-4.276,0.218,0.719,0.147,0.112,0.104,0.084
"hsa-miR-183-3p",-5.318,0.059,-0.059,0.901,0.708,0.823,-0.657,1.045,-0.18,0.989,0.652,0.113,-0.336,-3.37,0.651,1.168,-0.095,0.657,0.576,0.401
"hsa-miR-187-5p",0.504,-0.037,-0.165,0.019,-0.411,-0.13,0.007,-0.059,0.007,-0.249,0.044,-0.39,-0.007,2.86,-0.087,-0.037,-0.02,0.182,-0.256,0.024
"hsa-miR-187-3p",-0.146,-0.287,0,0.506,-0.143,-0.305,0.047,0.78,-0.496,-0.003,0.041,0,-0.368,0.074,-0.088,-0.083,-0.334,0.28,-0.461,-0.125
"hsa-miR-196a-3p",0.089,-0.111,-0.019,0.152,0.027,0.141,0.068,0.146,0.007,0.176,-0.153,0.017,-0.098,0.245,0.005,-0.145,0.065,-0.118,-0.228,-0.333
"hsa-miR-199b-5p",0.015,-0.081,-0.435,-0.193,-0.412,-0.415,-0.267,-0.113,-0.173,-0.273,-0.313,0.126,0.393,0.016,0.003,-0.003,0.179,0.168,-0.044,-0.142
"hsa-miR-199b-3p",-5.561,-2.183,-1.078,0.122,-0.037,-0.538,-0.631,-0.003,-0.144,0.003,-0.169,0.891,-0.314,-5.715,0.259,-0.692,-0.385,0.471,0.112,0.958
"hsa-miR-203a-3p",-0.183,-0.393,0.089,0.113,-0.201,0.017,0.25,0.04,-0.222,0.113,-0.292,-0.029,-0.028,-0.241,-0.21,0.399,-0.109,-0.183,-0.017,-0.026
"hsa-miR-204-5p",0.481,0.061,-0.114,0.111,-0.186,0.511,0.685,-0.112,-0.13,-0.003,-0.018,-0.128,-0.055,0.138,0.003,-0.004,0.118,-0.13,0.504,-0.14
"hsa-miR-205-5p",-0.147,-0.06,-0.006,0.061,0.281,-0.12,0.751,0.105,-0.521,0.113,0.434,0.337,0.006,0.741,0.205,-0.024,-0.138,0.421,-0.017,-0.111
"hsa-miR-205-3p",-0.183,-0.063,0.302,0.458,-0.083,0.024,-0.035,-0.169,0.123,0.387,0.058,-0.024,0.286,-0.517,0.09,0.075,0.381,0.034,0.197,0.057
"hsa-miR-210-3p",-2.909,-0.159,0.076,-0.376,-0.068,0.068,-0.114,0.081,-0.62,0.22,-0.114,0.224,-0.433,1.144,0.944,0.199,-0.844,0.285,0.141,0.076
"hsa-miR-211-5p",0.073,-0.299,-0.24,0.079,0.301,0.065,0.254,-0.201,-0.305,0.157,0.157,0.182,0.47,-0.368,-0.151,-0.491,0.003,-0.058,0.253,-0.003
"hsa-miR-212-3p",-1.197,-0.457,0.034,-0.845,-0.287,0.348,-0.282,-0.192,-0.038,0.152,-0.034,0.258,0.59,0.747,-0.091,-0.428,-0.508,-0.049,0.197,-0.093
