"","GSM867220","GSM867221","GSM867222","GSM867223","GSM867224","GSM867225","GSM867226"
"hsa-miR-1260",5.08141,3.44409,5.6685,4.51568,4.90451,5.19527,6.65682
"hsa-miR-940",5.41476,5.36057,6.90143,6.7215,2.88755,3.2628,4.62227
"hsa-miR-328",3.50252,2.48657,5.08548,4.58435,5.99177,5.36872,8.0781
"hsa-miR-18b",7.19552,7.24879,5.90509,5.92242,3.64412,3.49888,1.66123
"hsa-miR-196a-2 ",6.67826,6.26808,5.93737,5.61829,3.94041,4.99623,1.55789
"hsa-miR-1271",4.52713,4.50325,3.29631,2.33914,7.04581,7.36348,5.62406
"hsa-miR-1237",3.28691,2.64208,4.333,5.02212,5.36052,5.93845,8.03996
"hsa-miR-625",6.33744,6.59885,5.78762,5.05283,3.2896,4.34449,3.15324
"hsa-miR-503",6.80039,6.42076,4.91873,5.55909,3.93402,4.11323,2.33757
"hsa-miR-593",2.37533,3.52047,3.74645,3.98443,6.38594,5.90741,8.14437
"hsa-miR-195",3.0726,3.26738,7.19119,7.05041,3.92032,3.71424,5.80388
"hsa-miR-337",4.08488,4.01286,3.65026,3.68313,5.62205,5.36876,7.53408
"hsa-miR-510",4.57518,4.25047,4.478,3.36429,6.59737,7.3347,3.34411
"hsa-miR-194-2 ",6.52798,6.22308,3.99056,5.29178,3.98901,3.82534,4.05763
"hsa-miR-424",7.09614,6.83493,5.38933,4.93203,4.02862,3.49829,2.11885
"hsa-miR-937",1.72513,1.38981,2.65121,2.52439,7.54264,6.92545,11.1072
"hsa-miR-411",1.81921,2.20117,2.51548,2.79846,7.21667,6.93888,10.3605
"hsa-miR-1236",4.07717,3.25256,4.25893,2.63917,6.44058,5.36035,7.57009
"hsa-miR-512-1 ",5.05333,5.05982,3.48352,3.76844,5.3619,4.71754,6.11111
"hsa-miR-675",4.60947,4.4521,6.48858,6.54416,4.4747,4.88044,2.08763
"hsa-miR-517a",6.20143,6.22562,5.02574,5.8072,3.06006,4.02367,3.18133
"hsa-miR-654",2.82044,1.82007,2.96231,2.96791,6.3506,6.40039,10.1427
"hsa-miR-220a",3.75557,2.95059,2.93282,2.44431,6.18493,6.29705,8.81513
"hsa-miR-128-1 ",5.92696,5.9518,4.80412,3.19897,4.478,4.66481,4.27503
"hsa-miR-204",2.02752,3.65051,2.41761,4.00731,6.02882,5.96133,9.1957
"hsa-miR-498",5.57305,5.63861,6.50824,6.40615,3.02675,3.52438,2.57214
"hsa-miR-421",6.09787,5.97665,4.83117,3.83551,3.94242,4.17337,4.33997
"hsa-miR-767",6.48644,6.40321,5.81547,5.49882,2.0644,2.83569,4.08387
"hsa-miR-451",4.50314,5.078,5.30276,4.40305,4.77013,4.66055,4.2291
"hsa-miR-1323",5.51742,6.24391,6.05809,5.88872,3.08002,3.39972,2.66996
"hsa-miR-640",3.47007,2.15718,2.37191,3.4537,6.38069,6.61913,8.33064
"hsa-miR-489",3.89658,5.23385,4.90466,2.42475,5.46522,5.06082,5.65857
"hsa-miR-939",4.91774,4.36,7.87531,8.06585,2.95545,2.35015,1.87607
"hsa-miR-150",1.89341,4.51296,8.19687,8.88025,2.65967,4.21679,1.99363
"hsa-miR-513a-1 ",3.42827,2.2627,4.50326,5.00555,6.2991,7.34543,3.16199
"hsa-miR-635",4.48723,3.68036,4.59861,4.4894,4.35319,4.89409,5.41547
"hsa-miR-33b",6.27186,5.98073,2.10352,4.95784,4.23371,3.83965,4.51029
"hsa-miR-29b-2 ",6.81319,6.82161,2.96311,2.40581,4.56918,6.60484,1.65413
"hsa-miR-1178",2.73878,2.49357,2.17734,1.8288,6.39958,6.59501,9.4482
"hsa-miR-214",4.95147,4.26227,5.56842,4.75336,4.41819,3.68638,4.02684
"hsa-miR-491",5.55975,5.62037,3.6922,4.73181,3.95975,4.38361,3.63901
"hsa-miR-409",3.74383,3.64145,3.69646,4.53276,4.63416,4.74083,6.36292
"hsa-miR-575",2.95844,2.67678,8.20705,8.49419,2.29671,3.00956,3.53692
"hsa-miR-572",2.4399,4.76839,5.86017,6.08236,4.78543,4.01059,3.2112
"hsa-miR-589",5.46134,5.41183,4.57871,4.02422,3.81392,3.72352,4.14135
"hsa-miR-769",5.43209,5.71142,3.48503,4.05851,4.306,4.01059,4.06018
"hsa-miR-432",2.4313,2.8553,1.95322,3.21679,5.90948,5.51764,9.00852
"hsa-miR-7-2 ",3.08264,3.35183,4.02709,3.80332,4.96761,5.04231,6.44558
"hsa-miR-631",2.54922,3.16817,4.13102,2.7917,5.35267,5.24518,7.44043
"hsa-miR-637",3.63116,2.63244,5.39061,5.42232,4.46812,4.41198,4.60636
"hsa-miR-564",2.11773,4.37374,4.52751,3.37841,5.28847,5.44103,5.40199
"hsa-miR-516b-2 ",6.719,6.59764,6.32587,6.82885,1.58708,1.04666,1.38163
"hsa-miR-874",3.02203,2.87398,6.84309,7.36259,3.46045,4.40751,2.44376
"hsa-miR-192",5.46851,5.28912,3.77366,4.75733,3.39586,4.3203,3.307
"hsa-miR-758",1.79844,2.68075,2.70949,1.59854,6.25985,6.15028,9.06371
"hsa-miR-188",5.73271,5.38885,4.96669,3.83162,3.57033,4.20001,2.43655
"hsa-miR-554",2.34251,2.42038,2.18118,3.61453,6.44791,5.53873,7.35585
"hsa-miR-371",5.39928,4.78304,5.15016,4.96022,3.1196,3.64356,2.81809
"hsa-miR-1284",2.0633,2.67166,2.00987,3.35151,5.83999,5.78794,8.14025
"hsa-miR-634",1.762,3.15707,4.38418,3.65194,5.37457,4.9669,6.54585
"hsa-miR-10a",5.62543,5.69479,3.39998,5.63547,2.7813,3.54753,3.1503
"hsa-miR-154",3.28262,2.22472,2.05537,3.34256,5.53138,5.50674,7.86015
"hsa-miR-199a-1 ",5.849,5.93273,4.45183,5.84573,2.7742,2.36262,2.41387
