"","GSM2729742","GSM2729743","GSM2729744","GSM2729745","GSM2729746","GSM2729747","GSM2729748","GSM2729749","GSM2729750","GSM2729751","GSM2729752","GSM2729753","GSM2729754","GSM2729755","GSM2729756","GSM2729757","GSM2729758","GSM2729759","GSM2729760","GSM2729761","GSM2729762","GSM2729763","GSM2729764","GSM2729765","GSM2729766","GSM2729767","GSM2729768","GSM2729769","GSM2729770","GSM2729771","GSM2729772","GSM2729773","GSM2729774","GSM2729775","GSM2729776","GSM2729777","GSM2729778","GSM2729779","GSM2729780","GSM2729781","GSM2729782","GSM2729783","GSM2729784","GSM2729785","GSM2729786","GSM2729787","GSM2729788","GSM2729789","GSM2729790","GSM2729791","GSM2729792","GSM2729793","GSM2729794"
"hsa-miR-100-5p",-4.53189001043478,-3.67955988652175,-3.24122788391305,-5.01177474956522,-5.75738374826087,-5.76306319391304,-7.40151292521739,-5.91398564043478,-5.9664095147826,-6.04512888043478,-7.68884181304348,-5.96033409043478,-6.09387705130434,-5.56786528478261,-7.34714022043478,-6.2716921826087,-4.25542606086957,-5.9866768373913,-4.6152690026087,-1.18297229043478,0.0754505308695563,-8.57378908956521,-5.42358296173912,-5.77471544565218,-4.87468144391304,-7.30325141347825,-6.15359821043478,-6.96191348347827,-8.02923640391305,-5.29116499173913,-5.44431657217392,-4.27864211347827,-2.96592690043478,-6.93564939173913,-7.0135058,-4.93598110173913,-4.19729193130435,-4.74193477217391,-3.11296661826087,-6.17378786608695,-4.04852677739131,-2.20597760173913,-4.88276115913044,-4.78240662086956,-3.77238727434783,-4.28325737260869,-8.37807562347826,-7.70745868217391,-7.67465240869565,-6.67211452304348,-5.79498945086957,-6.93657838347827,-3.12770765565216
"hsa-miR-101-3p",-1.28934654043478,-0.522459766521745,-1.70061632391305,-0.898808499565224,-0.754694508260869,-0.976126403913039,-0.0131289152173863,-0.878516930434778,-0.832031404782605,-0.398124110434775,-1.19456753304348,-0.189454850434785,-0.302045591304342,-0.210146934782607,-0.272648860434781,-0.354316972608697,-0.58365960086957,-0.6941730973913,-0.594792792608697,-0.471021760434784,-2.19361549913044,-0.871899329565213,-0.98124257173912,-1.03801824565218,-0.31970835391304,-0.359705473478254,-0.94680656043478,-0.510838883478272,-0.937452793913046,-1.15875581173913,-0.674695152173921,-1.44222776347827,-2.73968790043478,-1.12995578173913,-0.82817373,-0.773250221739129,0.24222039869565,-2.00591546217391,-2.41499210826087,-1.81908804608695,-2.68911913739131,-1.68694433173913,-1.42978030913044,-0.0136036508695625,-1.42152564434783,-1.79350877260869,-0.976796853478262,-0.998938032173918,-0.65979294869565,-1.23598340304348,-1.11229002086957,-1.71321294347826,-1.86398802565216
"hsa-miR-103a-3p",-2.40783898043478,-1.60167841652175,-1.46050173391305,-1.05023496956522,-1.35525507826087,-1.19273281391304,-1.49314218521739,-1.65042856043478,-1.89372585478261,-2.02270165043478,-1.01571471304348,-1.20380171043479,-1.45780757130434,-1.35164010478261,-1.60837643043478,-1.5704329326087,-1.21398187086957,-1.6188554073913,-1.4886068326087,-1.33033176043478,-1.68737318913044,-1.76895774956521,-1.26723329173912,-1.49481884565218,-0.978579463913039,-1.83766270347826,-1.20829451043478,-1.66754619347827,-1.89693212391305,-3.34954546173913,-3.66092050217392,-1.65168029347827,-2.67746759043478,-1.38272436173913,-3.00623722,-1.01966215173913,-1.58079474130435,-1.37543390217391,0.122617241739128,-2.04296401608695,-1.70998789739131,-2.67190103173913,-2.42260406913044,-2.18521758086956,-2.75551775434783,-2.96162651260869,-1.94493262347826,-2.15056935217392,-1.63330196869565,-0.614508543043474,-1.95488120086957,-1.86216849347826,-0.578047605652163
"hsa-miR-106a-5p",-1.33879020043478,-1.24616561652175,-0.807192633913051,-1.03828829956522,-0.486345868260869,-0.997673553913039,-0.591542125217387,-0.652793120434779,-0.153777004782604,0.052876119565223,-1.20440124304348,-1.21658909043478,-0.691251851304344,-0.471741124782607,-0.747948210434778,-0.986483672608696,-1.00580494086957,-0.847300587391299,-0.775607232608699,-0.286347070434783,-0.58756225913044,-0.152009799565214,-0.228551231739122,-0.802817245652179,-1.14801400391304,-0.412854353478256,-0.613371100434779,-0.473187713478271,-0.654459023913045,-0.815442991739129,-0.589150542173922,-0.719723483478266,-1.14854720043478,-0.45739707173913,-0.107962610000001,-1.41807128173913,-0.327084651304347,-0.46450889217391,0.463538521739128,0.93486981391305,-0.0136193173913064,-0.46592654173913,0.604529290869561,-0.235391440869563,-0.66016756434783,-0.58552611260869,-0.310696363478261,-0.281703982173919,-0.808229628695649,-0.228247113043476,-0.195693080869567,-0.797032873478265,-0.0842238956521619
"hsa-miR-106b-5p",-3.62641381043478,-1.74999081652175,-2.84371338391305,-2.97822392956522,-3.02272586826087,-3.09526747391304,-3.27914906521739,-2.42282557043477,-2.4329638347826,-2.37928093043478,-2.11174043304348,-2.84316862043478,-2.70916087130434,-2.33495045478261,-2.53791327043478,-2.21321456260869,-3.48381335086957,-2.1303120273913,-2.8815115626087,-2.22708614043478,-2.36000499913044,-2.58731026956522,-3.16656038173912,-2.68269793565218,-2.97634380391304,-2.02741496347825,-2.17279874043478,-2.17690517347827,-2.43437325391305,-4.27622748173913,-3.31815494217392,-2.73484735347826,-3.27126092043478,-2.45800899173913,-2.66013886,-2.62871043173913,-1.94221727130435,-2.30790689217391,-2.52414135826087,-1.88078634608695,-3.29376705739131,-2.08930056173913,-2.46526629913044,-2.30129607086956,-2.13799102434783,-3.85105421260869,-2.03178580347826,-2.96128305217392,-2.49982403869565,-2.94822943304348,-3.63072997086957,-1.96005803347827,-3.07207057565216
"hsa-miR-107",-2.70651790043478,-2.87597218652175,-4.16054964391305,-2.37862531956522,-2.93481965826087,-2.25241275391304,-2.84359492521739,-2.42471952043478,-2.5254701247826,-1.90907482043478,-1.71967954304348,-1.71172499043479,-1.89080827130434,-2.0226267247826,-2.45887993043478,-2.6083244326087,-2.70217742086957,-2.5936442173913,-2.6069851926087,-2.00526381043478,-2.54652898913044,-3.37283626956522,-3.26346790173912,-2.78723899565218,-2.25189554391304,-3.17552636347825,-2.29225363043478,-2.68546459347827,-3.13551740391305,-3.35016414173912,-4.76182521217392,-3.75426750347826,-3.42207956043478,-2.16066734173913,-3.7856408,-2.77391789173913,-2.71779566130435,-3.75822136217391,-2.29851335826087,-3.13999668608695,-4.6919642973913,-5.17740525173913,-4.33091113913044,-3.87983489086956,-2.96943798434783,-3.68224714260869,-2.92689330347826,-2.72585879217392,-1.71572690869565,-2.78171023304348,-2.45705412086957,-2.63652842347826,-1.78844182565216
"hsa-miR-10a-5p",-5.11887244043478,-7.80784809652175,-6.25746077391305,-2.23644582956522,-1.87754208826087,-7.06644360391304,-6.80893321521739,-6.71076619043478,-9.2485509147826,-9.60676494043478,-5.94812132304348,-5.50331466043478,-6.18068611130434,-7.8709876647826,-8.92773298043478,-7.70833022260869,-2.75141587086957,-9.5911103073913,-7.3619144226087,-6.91519666043478,-4.13903717913044,-11.3594052195652,-4.31387005173912,-9.15514961565218,-4.48347542391304,-5.68884702347826,-8.16449963043478,-8.80412584347827,-3.82366276391305,0.596828708260873,-5.11370595217392,-4.73368355347826,-2.34613655043478,-8.42578596173913,-4.33203213,-7.36982138173913,1.36702534869566,-7.85828464217391,-7.76471153826087,-6.67480384608695,-7.67922354739131,-1.33102535173913,0.0341911308695586,0.292120579130437,-8.09153151434783,-3.74760977260869,-8.36634578347826,-7.70745868217391,-6.88057556869565,-7.88201297304348,-3.24996757086957,-7.14859398347827,-7.48981748565216
"hsa-miR-10b-5p",-3.69472885043478,-4.76585316652175,-2.31842114391305,-3.51881273956522,-5.88097949826087,-2.93425009391304,-4.38166202521739,-3.88082078043477,-4.8965979547826,-4.92575992043477,-5.10775647304348,-4.30105859043478,-5.31173156130434,-4.3991545347826,-4.65275707043478,-3.98215890260869,-5.07528080086957,-4.4428430173913,-5.3057440926087,-2.73646258043478,-2.82483455913044,-5.75440607956522,-4.36506128173912,-3.44419731565218,-4.16662431391304,-6.51338694347826,-4.14363202043478,-3.90304371347827,-5.12007626391305,-3.31338476173913,-4.20048325217392,-3.77531849347826,-2.97955579043478,-4.70894512173913,-5.14373069,-3.04165438173913,-2.60751936130435,-3.57792807217391,-4.40186896826087,-5.75960950608695,-3.84280027739131,-3.78180899173913,-5.42982048913044,-4.71587449086956,-4.13594778434783,-1.83919541260869,-5.45459544347826,-5.79604340217391,-4.27300644869565,-5.53459622304348,-5.19121336086957,-4.48460734347826,-3.76531002565216
"hsa-miR-122-5p",0.263078149565217,1.76394204347825,1.65634796608695,-0.114911059565223,-0.665262528260868,-2.39155045391304,-0.617002485217387,-1.73745204043478,-0.866902804782605,-0.656868990434777,-1.92555647304347,-1.37963196043479,-0.778593271304342,-3.74433957478261,-0.99033844043478,-3.8771358126087,-1.17274256086957,-1.0528756373913,0.529471437391301,-1.74267538043478,-0.483001899130446,-4.89941915956522,-0.248993171739123,-3.84602954565218,-0.0101175439130401,-0.556692873478255,-0.994992410434779,-2.62632274347827,-4.30569499391305,-1.42196419173913,1.45335986782608,0.338326796521734,1.53972873956522,-3.02099530173913,-2.30669016,-2.61660599173913,-3.16530321130435,-1.61925662217391,-2.31163675826087,-3.78184207608695,-1.57870475739131,-0.718767341739131,0.413011960869561,-2.80626836086956,2.83508286565217,-1.05054239260869,-3.29995432347826,-2.81400935217392,-1.52147366869565,-2.65810665304348,-1.28241449086957,-2.03377206347826,-0.166571685652162
"hsa-miR-124-3p",-5.11887244043478,-0.199164246521747,0.0196320460869508,-2.15690025956522,-5.91039206826087,-4.96898889391304,-4.63360817521739,-1.65042856043478,-4.0495381747826,-1.72063466043478,-5.59931052304347,-5.96033409043478,-6.24726588130434,-4.8668392447826,-3.36505129043478,-1.8626483426087,-1.95858436086957,-0.847300587391299,-3.8326462826087,-2.73646258043478,-4.04884286913044,-9.20181045956521,-6.15778317173912,-7.35295303565218,-4.48347542391304,-8.00417401347825,-2.30506052043478,-3.22983322347827,-0.372289243913048,-0.412200691739127,0.389313417826077,-4.06402645347827,-6.24668551043478,-8.68498021173913,-9.50332249,-4.93598110173913,-0.75092625130435,-3.48475155217391,-3.11296661826087,-0.548765026086951,-8.5813841973913,-2.25756421173913,-3.86424673913044,-1.06246907086956,-4.47317294934783,1.10259012739131,-4.18018898347826,-3.56144925217392,-5.03236060869565,-5.06712444304348,-3.06892755086957,-5.65452512347826,-4.97543896565216
"hsa-miR-125a-5p",-4.05229165043478,-5.08468777652174,-3.08641814391305,-5.17201762956522,-2.51269056826087,-4.96898889391304,-1.06500482521739,-5.24768410043477,-5.05781594478261,-5.87839124043478,-3.81134841304348,-0.268743390434786,-4.59894767130434,-8.52443701478261,-5.29931355043478,-4.56899843260869,-1.61160202086957,-4.5848913473913,-1.8247063826087,-4.01683178043478,-1.02184071913044,-5.45997916956521,-2.00126128173912,-6.08262922565218,-3.41980324391304,-4.48146177347826,-3.27569238043478,-2.48233657347827,-4.42899003391305,-3.03102660173912,-2.84408766217392,-4.60718434347826,-2.93543494043478,-4.80540941173913,-5.803585,-5.55302076173913,-0.20984695130435,-9.54430358217391,-3.75527666826087,-0.752453516086952,0.112637912608694,-6.29147028173913,-6.07645581913044,-1.91613442086956,-3.96791350434783,-1.57732868260869,-5.08917312347826,-6.49488735217392,-4.43299425869565,-2.39656518304347,-2.27023729086957,-3.66894136347826,-3.04457282565216
"hsa-miR-125b-5p",-3.17806452043478,-3.01132751652175,-4.08613166391305,-3.75669927956522,-3.69948143826087,-4.13511442391304,-3.40490771521738,-4.76734183043478,-4.2834706147826,-4.25655426043478,-4.46171180304347,-4.03582895043478,-4.43898807130434,-3.9608848447826,-4.62364789043478,-4.0707920526087,-4.59238909086957,-4.5480077073913,-3.5225962626087,-4.12422979043478,-4.04884286913044,-5.91924066956522,-3.05460793173912,-3.03426121565218,-3.85361813391304,-4.16481513347825,-4.16806288043478,-5.29204814347827,-5.53125098391304,-2.68155625173913,-3.35720424217392,-5.15305366347826,-4.80768394043478,-4.65855836173913,-4.31813005,-3.73098511173913,-0.20984695130435,-3.23739264217391,-2.99623015826087,-3.52836415608695,-3.3494959873913,-2.87337274173913,-2.20228369913044,-4.06853071086956,-1.92160556434783,-3.84993856260869,-5.09963648347826,-6.50889702217392,-5.83332186869565,-4.29985656304347,-3.96956684086957,-4.35321605347827,-2.97918091565216
"hsa-miR-126-3p",0.791254169565221,-1.01013544652175,-0.869431743913051,0.666661440434776,0.390336631739132,-0.289590783913042,0.150262734782615,-0.492273870434779,-0.691314454782603,-0.810744560434777,-0.395584923043479,-0.617318200434784,-0.592646681304341,0.168585235217392,-0.326403960434778,0.0275440673913039,0.0317279691304328,0.0926182526086983,-0.585186982608697,0.455341159565219,-1.35132730913044,0.0426677104347846,-0.335123071739122,0.267879614347819,0.699918876086961,-0.280062703478254,-0.662588960434778,-1.17281236347827,-0.557618393913046,-0.412200691739127,-1.53618801217392,-0.504969683478265,0.220085449565218,-0.542018911739131,-0.85293003,-0.732937081739131,-0.203411341304346,0.88446126782609,0.33190852173913,-2.83435628608695,-0.802580987391305,-0.23038620173913,-1.77478250913044,-1.18445103086956,-1.05211091434783,0.386828767391307,-1.78842906347826,-1.53936259217392,-0.903983028695649,0.197919776956525,-0.73209753086957,-0.650863503478263,-0.574659945652161
"hsa-miR-126-5p",-3.33257724043478,-5.35829719652174,-3.86075501391305,-4.13285766956522,-3.44678818826087,-3.37203298391304,-4.34785306521739,-4.61927474043478,-4.3332973947826,-5.20288920043478,-4.38200457304348,-5.10915059043479,-4.46374761130434,-3.6831201947826,-4.57609136043478,-4.56899843260869,-5.09674231086957,-3.9891593173913,-4.4471506626087,-6.54171916043478,-3.66234245913045,-3.72201148956522,-4.84227133173912,-4.04062910565218,-4.39671269391304,-4.74462491347825,-4.44142288043478,-5.13067437347827,-5.24822970391304,-6.21396006173913,-3.76479263217392,-4.30153169347826,-3.45954129043478,-3.88933443173913,-5.45852625,-5.44797004173913,-3.78671620130434,-3.48475155217391,-3.09323201826087,-5.18103340608695,-3.6962191973913,-3.42122252173913,-3.56432612913044,-4.23415098086956,-4.56189160434783,-2.76238095260869,-4.92290358347826,-5.41161183217392,-4.85135048869565,-3.01678578304347,-5.23810013086957,-4.16236749347827,-3.39597156565216
"hsa-miR-127-3p",1.48062620956522,-1.78362232652175,-2.39920356391305,-9.03578663956522,-3.12053417826087,-6.02152839391304,1.29443602478261,-6.48884286043478,-7.8149376847826,-4.92575992043477,-3.66769011304348,-8.26209823043479,-7.81079563130434,-1.4121300547826,-9.59455352043478,-0.354316972608697,-3.48381335086957,-9.0982657373913,-3.8769290026087,-0.0201324204347806,-0.796738419130445,-7.02476853956521,-1.72023037173912,-0.543345435652178,-4.48347542391304,-6.65159183347825,-1.81051575043478,-7.51146269347827,-6.52884746391305,-5.34869740173913,-2.22985576217392,-0.0913178534782659,-2.95718577043478,-9.69327189173913,-10.60332906,-1.78702288173913,-0.00611073130434647,-5.87625382217391,-5.47572491826087,-9.82891609608695,-8.32136041739131,0.560916568260872,-3.68598356913044,1.64838053913044,-6.53122653434783,-3.79803029260869,-6.44809252347826,-2.54051503217392,-6.05216774869565,-7.95491181304348,-6.90353847086957,-7.24480581347826,-5.74134144565216
"hsa-miR-127-5p",0.791254169565221,-8.56655449652175,-4.25912797391305,-6.93727902956522,-3.18495312826087,-9.19731033391304,-6.11341809521738,-5.64029587043478,-0.400672924782604,-4.09931300043478,-0.395584923043479,-8.08654869043479,-5.67415313130434,-9.3275099147826,6.51690411956522,-4.0367486226087,-4.25542606086957,1.6436382726087,-9.1044054526087,-5.25538655043478,-6.39043308913044,-8.02281223956522,-3.43592191173912,-2.80740069565218,-4.48347542391304,-4.87399045347825,-9.01206884043478,-5.44701924347827,-8.62729327391304,-4.25155474173912,-4.42933865217392,-0.504969683478265,-2.95718577043478,-7.97838358173913,-10.76751389,-5.44797004173913,-2.80602177130434,-1.02187537217391,1.81160648173913,-9.90102024608695,-8.0155835373913,-4.05304366173913,0.49755791086956,-4.36805369086956,-4.47317294934783,3.44949108739131,-8.85958330347826,-10.1023551821739,-3.27871678869565,-5.06712444304348,-7.91163199086957,-9.85891302347826,-4.97543896565216
