"","GSM4292511","GSM4292512","GSM4292513","GSM4292514","GSM4292515","GSM4292516","GSM4292517","GSM4292518","GSM4292519","GSM4292520","GSM4292521","GSM4292522","GSM4292523","GSM4292524","GSM4292525","GSM4292526","GSM4292527","GSM4292528","GSM4292529","GSM4292530","GSM4292531","GSM4292532","GSM4292533","GSM4292534","GSM4292535","GSM4292536","GSM4292537","GSM4292538","GSM4292539"
"hsa-let-7c-5p",7.97154355395077,9.40514146313634,8.10852445677817,9.59245703726808,9.71596199025514,9.56414948998573,9.21916852046216,7.62935662007961,8.07681559705083,7.90086680798075,7.82654848729092,8.64745842645492,7.62935662007961,8.90388184573618,8.75488750216347,8.4262647547021,5.04439411935845,9.88722061546838,10.4988492065317,8.81378119121704,10.9865531497567,8.0389189892923,9.35314682549808,9.10328780841202,9.3151495622563,9.56605403817109,8.2240016741981,8.07681559705083,9.14210705730255
"hsa-let-7d-3p",7.24792751344359,7.18982455888002,7.2667865406949,8.59991284218713,9.16239132875691,8.89178370321831,7.7279204545632,3.90689059560852,7.76155123244448,6.22881869049588,6.55458885167764,5.88264304936184,5.4262647547021,5.95419631038687,7.40087943628218,6.4262647547021,1.58496250072116,9.18487534290828,9.46147944728616,8.61838550225861,6.24792751344359,7.31288295528436,7.93073733756289,7.64385618977472,7.93663793900257,9.19475685442225,7.71424551766612,6.7279204545632,6.10852445677817
"hsa-let-7d-5p",6.04439411935845,6.88264304936184,6.04439411935845,7.01122725542325,7.8008998999203,7.25738784269265,3,2.32192809488736,2.58496250072116,3.58496250072116,4,5.20945336562895,3.4594316186373,3.4594316186373,2.8073549220576,5.35755200461808,2.58496250072116,7.876516946565,8.61838550225861,6.75488750216347,5.70043971814109,5.93073733756289,4.16992500144231,4.58496250072116,4.75488750216347,4.8073549220576,4.70043971814109,4.24792751344359,5.49185309632967
"hsa-let-7e-3p",2,4.32192809488736,1,2.8073549220576,2.58496250072116,3,0,0,1,0,1.58496250072116,1.58496250072116,1,0,0,1.58496250072116,0,2.8073549220576,3.32192809488736,2.58496250072116,0,0,1,2,1,0,0,1.58496250072116,0
"hsa-let-7e-5p",5.93073733756289,5.95419631038687,5.58496250072116,8.24792751344359,8.14974711950468,8.29001884693262,7.4594316186373,5,6.06608919045777,6.08746284125034,6.16992500144231,7.01122725542325,5.4262647547021,6.49185309632967,6.58496250072116,7.10852445677817,3.70043971814109,8.40087943628218,9.11113567023471,7.11894107272351,8.82972273508606,5.35755200461808,6.95419631038687,6.59991284218713,6.93073733756289,7.09803208296053,6.89481776330794,6.39231742277876,7.17990909001493
"hsa-let-7f-1-3p",3.16992500144231,3.8073549220576,2.8073549220576,3.8073549220576,4.70043971814109,4.39231742277876,0,1.58496250072116,2.32192809488736,1,2.32192809488736,2.32192809488736,2,2.8073549220576,1.58496250072116,1.58496250072116,0,4.8073549220576,5.49185309632967,3.8073549220576,4.24792751344359,3,3.32192809488736,2.8073549220576,3.8073549220576,2.8073549220576,2.32192809488736,0,2.8073549220576
"hsa-let-7f-2-3p",1.58496250072116,3.32192809488736,2,2,3.70043971814109,2.58496250072116,1,1,0,1.58496250072116,0,0,1,1.58496250072116,0,0,0,2.32192809488736,3.70043971814109,2.32192809488736,3.16992500144231,2.58496250072116,0,0,0,0,1.58496250072116,1,0
"hsa-let-7f-5p",8.24317398347295,8.10328780841202,7.876516946565,10.0593444608244,10.5830827675029,10.3685064615077,9.38154295118458,7.65821148275179,7.93663793900257,8.06069593168755,7.93663793900257,8.90388184573618,7.57742882803575,8.34872815423108,9.44501484586842,8.98013957763916,5.61470984411521,10.7490313820402,11.6193029554157,9.40087943628218,10.8193807908646,7.94836723158468,8.4757334309664,8.39660478118186,8.75822321472672,8.71424551766612,8.31741261376487,8.00562454919388,8.55074678538324
"hsa-let-7g",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7g-3p",2.32192809488736,1,1.58496250072116,2.58496250072116,3,3.58496250072116,1.58496250072116,2.58496250072116,0,2.8073549220576,1.58496250072116,3.70043971814109,1.58496250072116,3.16992500144231,1,2,1,3.16992500144231,3.16992500144231,2.32192809488736,3.16992500144231,1,2.32192809488736,3.70043971814109,3.16992500144231,3,2,2,3.4594316186373
"hsa-let-7g-5p",7.45121111183233,11.0781508077346,7.12928301694497,8.97154355395077,9.59991284218713,9.211888294546,6.53915881110803,5.49185309632967,5.64385618977472,6.84549005094437,6.59991284218713,7.60733031374961,6.08746284125034,7.10852445677817,6.8073549220576,7.93663793900257,4,9.66177809777199,10.5304063370991,8.24792751344359,8.94544383637791,7.4178525148859,6.56985560833095,6.84549005094437,6.93073733756289,6.7279204545632,7.37503943134692,6.71424551766612,7.4757334309664
"hsa-let-7i-3p",5.20945336562895,4.4594316186373,6.14974711950468,6.74146698640115,7.3037807481771,6.4757334309664,3.16992500144231,0,1,3.4594316186373,3.8073549220576,4.52356195605701,1.58496250072116,3,2,3.8073549220576,0,6.58496250072116,6.82017896241519,5.49185309632967,3.58496250072116,5.55458885167764,2.32192809488736,1.58496250072116,1.58496250072116,1.58496250072116,3.70043971814109,3.32192809488736,3.58496250072116
"hsa-let-7i-5p",11.7640422173066,12.2030420555625,12.0525680508042,12.8643796261862,13.6287872625439,13.3219280948874,11.9740560226256,10.9929383361658,10.871135184243,11.8462739113499,11.7536346188534,13.1016474500308,11.3575520046181,12.2775780024157,11.7176764230664,12.6485822833637,8.69348695749933,13.5101460201554,14.154739011761,12.270295326472,14.1181299774973,11.9686667931952,11.9347965921784,12.0505289055306,12.0566377151132,12.0361736125535,12.4170613467603,12.0234078431402,12.2656150464845
"hsa-miR-1-3p",1.58496250072116,3.32192809488736,1.58496250072116,2.32192809488736,3.16992500144231,2.32192809488736,3.32192809488736,1,0,1.58496250072116,0,2.32192809488736,2,0,2,2,0,2.32192809488736,3.58496250072116,2,3.32192809488736,2.58496250072116,3.16992500144231,0,1,1,1.58496250072116,2.32192809488736,1.58496250072116
