Unnamed: 0,samples
hsa-miR-23a-3p,25427
hsa-miR-23a-5p,25584
hsa-miR-23b-3p,25641
hsa-miR-23b-5p,26259
hsa-miR-23c,25044
hsa-miR-24-2-5p,25549
hsa-miR-24-3p,25640
hsa-miR-25-3p,25639
hsa-miR-25-5p,26321
hsa-miR-2682-5p,24371
hsa-miR-26a-1-3p,25547
hsa-miR-26a-2-3p,25552
hsa-miR-26a-5p,25635
hsa-miR-26b-3p,25553
hsa-miR-26b-5p,26350
hsa-miR-27a-3p,25640
hsa-miR-27a-5p,25547
hsa-miR-27b-3p,25638
hsa-miR-27b-5p,25553
hsa-miR-28-3p,26126
hsa-miR-28-5p,26839
hsa-miR-296-3p,26093
hsa-miR-296-5p,26130
hsa-miR-29a-3p,25641
hsa-miR-29a-5p,25547
hsa-miR-29b-1-5p,25579
hsa-miR-29b-2-5p,25549
hsa-miR-29b-3p,25638
hsa-miR-29c-3p,25635
hsa-miR-29c-5p,25553
hsa-miR-301a-3p,25639
hsa-miR-301a-5p,24368
hsa-miR-301b-3p,19545
hsa-miR-301b-5p,17329
hsa-miR-3064-5p,24354
hsa-miR-3065-3p,25614
hsa-miR-3065-5p,25648
hsa-miR-3074-3p,25612
hsa-miR-3074-5p,24351
hsa-miR-30a-3p,25635
hsa-miR-30a-5p,25637
hsa-miR-30b-3p,25582
hsa-miR-30b-5p,26350
hsa-miR-30c-1-3p,25585
hsa-miR-30c-2-3p,25583
hsa-miR-30c-5p,25642
hsa-miR-30d-3p,25548
hsa-miR-30d-5p,25638
hsa-miR-30e-3p,25635
hsa-miR-30e-5p,25636
hsa-miR-31-3p,25575
hsa-miR-31-5p,25635
hsa-miR-3115,25612
hsa-miR-3116,25555
hsa-miR-3120-5p,24322
hsa-miR-3121-3p,25552
hsa-miR-3124-5p,25587
hsa-miR-3126-3p,25559
hsa-miR-3127-5p,25650
hsa-miR-3129-3p,24321
hsa-miR-3129-5p,25554
hsa-miR-3130-3p,25616
hsa-miR-3130-5p,25559
hsa-miR-3131,25700
hsa-miR-3133,25611
hsa-miR-3135b,24404
hsa-miR-3136-5p,25611
hsa-miR-3138,25642
hsa-miR-3139,25611
hsa-miR-3140-3p,25613
hsa-miR-3140-5p,24376
hsa-miR-3141,25643
hsa-miR-3143,25606
hsa-miR-3144-3p,25617
hsa-miR-3144-5p,25617
hsa-miR-3146,25614
hsa-miR-3147,25698
hsa-miR-3148,25642
hsa-miR-3149,25642
hsa-miR-3150a-3p,25554
hsa-miR-3150a-5p,24322
hsa-miR-3157-3p,24318
hsa-miR-3157-5p,25560
hsa-miR-3158-3p,25618
hsa-miR-3158-5p,24355
hsa-miR-3159,25610
hsa-miR-3161,25697
hsa-miR-3162-5p,25591
hsa-miR-3164,25701
hsa-miR-3168,25670
hsa-miR-3170,25611
hsa-miR-3173-5p,24321
hsa-miR-3174,25643
hsa-miR-3175,25610
hsa-miR-3176,25608
hsa-miR-3178,25616
hsa-miR-3180,25121
hsa-miR-3180-3p,25649
hsa-miR-3182,25666
hsa-miR-3183,25612
hsa-miR-3184-5p,25552
hsa-miR-3187-3p,25593
hsa-miR-3188,25643
hsa-miR-3189-3p,25593
hsa-miR-3192-5p,25438
hsa-miR-3194-3p,24317
hsa-miR-3194-5p,25592
hsa-miR-3195,25701
